#weight  minuslogpost            As         ns        H0       ombh2      omch2         tau   omega_de      logA  minuslogprior  minuslogprior__0      chi2  chi2__ffp8_1_raw_545_0001
      2     412.12527 2.2093498e-09 0.98012284 69.980112 0.022665758  0.1140643 0.090508695 0.71939938 3.0952834     -22.569411        -22.569411 869.38937                  869.38937
      5     411.93273 2.1984709e-09 0.98043178 70.181875  0.02270479 0.11360873 0.088499898  0.7218561 3.0903472     -22.569411        -22.569411 869.00427                  869.00427
      1     412.02473 2.2030797e-09 0.98108238  70.13758 0.022668382 0.11376258 0.089425232 0.72126594 3.0924414     -22.569411        -22.569411 869.18829                  869.18829
      4     408.51352 2.1823534e-09 0.97861256 69.687797 0.022559613 0.11467947 0.083717689 0.71599224 3.0829889     -22.569411        -22.569411 862.16587                  862.16587
     13     408.55901  2.176459e-09 0.97852914 69.684656 0.022559944 0.11469533 0.082278805  0.7159333 3.0802843     -22.569411        -22.569411 862.25685                  862.25685
      5     408.51971 2.1757554e-09 0.97850915 69.683716 0.022560814 0.11470283 0.082116425  0.7159084  3.079961     -22.569411        -22.569411 862.17824                  862.17824
      3     408.34643 2.1907457e-09 0.97804763 69.760523 0.022588348 0.11459481 0.085441568 0.71669901 3.0868271     -22.569411        -22.569411 861.83168                  861.83168
      3     408.51156 2.2765144e-09 0.97715299 69.884796 0.022618832 0.11437497  0.10509976 0.71809339 3.1252306     -22.569411        -22.569411 862.16195                  862.16195
      2     408.37764 2.2549003e-09 0.97515483 69.619346 0.022600862 0.11512421 0.098907803 0.71443081 3.1156908     -22.569411        -22.569411  861.8941                   861.8941
      7     408.60013 2.2261188e-09 0.97378026 69.439307  0.02256196  0.1153948  0.09162188 0.71246757 3.1028447     -22.569411        -22.569411 862.33908                  862.33908
     14     408.47829 2.2379347e-09 0.97391818 69.452563 0.022562557 0.11534139 0.094473346 0.71268679 3.1081385     -22.569411        -22.569411 862.09541                  862.09541
      4     408.79133 2.2443211e-09  0.9729793  69.33936 0.022577225 0.11567327 0.095417191 0.71102712 3.1109882     -22.569411        -22.569411 862.72148                  862.72148
      1     409.32698 2.2655145e-09 0.97334397  69.61154 0.022622149 0.11509314   0.1008938 0.71438693  3.120387     -22.569411        -22.569411 863.79279                  863.79279
      4     409.32819 2.2659841e-09 0.97340857 69.613764 0.022625578   0.115101  0.10105898 0.71438189 3.1205942     -22.569411        -22.569411 863.79519                  863.79519
      4     410.02528 2.1924791e-09 0.97049767  68.87083 0.022480384  0.1164991 0.082284528 0.70554504  3.087618     -22.569411        -22.569411 865.18938                  865.18938
      7     409.93788 2.2040411e-09 0.97155242 68.931676 0.022503557 0.11626341 0.085578442 0.70651191 3.0928776     -22.569411        -22.569411 865.01458                  865.01458
      1     408.80505 2.2180502e-09 0.97517162 69.740735 0.022679828 0.11499782 0.090439162 0.71552155 3.0992136     -22.569411        -22.569411 862.74893                  862.74893
      2      409.5372 2.2136363e-09 0.97531649 69.771155 0.022699763 0.11493764  0.08934671 0.71585222 3.0972217     -22.569411        -22.569411 864.21322                  864.21322
      4     409.25926 2.2340929e-09 0.97605379 69.920999 0.022701034 0.11456781 0.094487939 0.71782267 3.1064204     -22.569411        -22.569411 863.65734                  863.65734
      2     408.83955  2.246128e-09 0.97808075 70.273619 0.022707435  0.1136961 0.098598908 0.72239961 3.1117929     -22.569411        -22.569411 862.81791                  862.81791
 2 410.19312 2.2775299e-09 0.97658043  70.22539 0.022699498 0.11393438  0.10519701 0.72155109 3.1256766 -22.569411 -22.569411 865.52506 865.52506
 8 410.18899 2.2471002e-09 0.97533004  70.14789 0.022725242 0.11414922 0.097795473 0.72044657 3.1122257 -22.569411 -22.569411 865.51681 865.51681
13 410.17696  2.246495e-09 0.97527708 70.136737 0.022723756 0.11417114  0.09764163 0.72031612 3.1119563 -22.569411 -22.569411 865.49275 865.49275
10 409.93873 2.2518468e-09  0.9750376 70.030308    0.022736 0.11446813 0.098285031 0.71883482 3.1143358 -22.569411 -22.569411 865.01628 865.01628
 3 410.38602 2.2095113e-09 0.97071465 69.131378 0.022637005 0.11653665 0.086023301  0.7073541 3.0953564 -22.569411 -22.569411 865.91086 865.91086
 4 410.91648 2.1965118e-09 0.97037651 69.082832 0.022656975  0.1166926 0.082767698 0.70657404 3.0894556 -22.569411 -22.569411 866.97179 866.97179
 8 410.55536 2.2293744e-09 0.97058188  69.19229 0.022665397 0.11636675 0.090689672 0.70816471 3.1043061 -22.569411 -22.569411 866.24954 866.24954
 2 410.86692 2.1609633e-09 0.96903796 68.786193  0.02265976 0.11728251 0.074089598 0.70278515 3.0731392 -22.569411 -22.569411 866.87266 866.87266
 5 409.27804 2.1573797e-09 0.97206016 69.226985 0.022680099 0.11623606 0.074971342 0.70869917 3.0714795 -22.569411 -22.569411  863.6949  863.6949
 5 410.25925 2.2770727e-09 0.97392116 69.563788 0.022724005 0.11528574  0.10387795 0.71338619 3.1254758 -22.569411 -22.569411 865.65731 865.65731
 7 410.08179 2.2737521e-09 0.97389189  69.54119 0.022717144  0.1153315  0.10304656 0.71311946 3.1240165 -22.569411 -22.569411 865.30241 865.30241
 1 413.48327 2.2948075e-09 0.98417075 71.200114 0.022751778 0.11107261  0.11317877 0.73466479  3.133234 -22.569411 -22.569411 872.10537 872.10537
 6 413.12696   2.29011e-09 0.98494608 71.220712 0.022748389 0.11109131  0.11221585 0.73478807 3.1311849 -22.569411 -22.569411 871.39274 871.39274
 3 413.17268  2.312406e-09 0.98478848 71.219396 0.022751009 0.11106834  0.11754596 0.73481838 3.1408736 -22.569411 -22.569411 871.48418 871.48418
 2 412.32895 2.2985762e-09 0.98347551 71.003238 0.022742404 0.11157122  0.11359775  0.7322209  3.134875 -22.569411 -22.569411 869.79672 869.79672
10 412.51392 2.3218795e-09 0.98154925 70.856531 0.022839121  0.1128363  0.11683826  0.7283985 3.1449621 -22.569411 -22.569411 870.16666 870.16666
 4 414.03994 2.2805187e-09 0.98066766 70.851718  0.02288078 0.11296653  0.10668971 0.72801919  3.126988 -22.569411 -22.569411 873.21871 873.21871
 1  414.1383 2.2874759e-09 0.98082645 70.905249 0.022899016 0.11289784  0.10840054 0.72853005 3.1300341 -22.569411 -22.569411 873.41542 873.41542
 1 415.48941 2.2367268e-09 0.98407903 71.509224 0.023005968 0.11139504  0.09971905 0.73582612 3.1075986 -22.569411 -22.569411 876.11763 876.11763
 4 415.60478 2.2564953e-09  0.9837407 71.383019 0.023013934 0.11163627  0.10424228 0.73440213  3.116398 -22.569411 -22.569411 876.34837 876.34837
 4 413.08707 2.2781657e-09 0.97901249 70.610693  0.02292909 0.11336772  0.10679308 0.72525769 3.1259557 -22.569411 -22.569411 871.31297 871.31297
 9 410.20267 2.1895982e-09 0.97844768 70.082809 0.022767826 0.11419121 0.086247817 0.71975495 3.0863032 -22.569411 -22.569411 865.54417 865.54417
 1 413.84788 2.2360897e-09 0.98069987 70.387245 0.022776558 0.11380271 0.097866906 0.72294043 3.1073138 -22.569411 -22.569411 872.83459 872.83459
 1 413.45693  2.245801e-09  0.9778253 69.981807 0.022551931 0.11430655 0.098848429 0.71915074 3.1116473 -22.569411 -22.569411 872.05269 872.05269
10 411.71054 2.2217763e-09  0.9766372 69.968619 0.022579053 0.11448906 0.092390916 0.71861665 3.1008921 -22.569411 -22.569411  868.5599  868.5599
 1 412.03764 2.2175091e-09 0.97609522 70.018848 0.022673362 0.11460348 0.091239695 0.71859448 3.0989696 -22.569411 -22.569411 869.21409 869.21409
 2 411.65901  2.280183e-09 0.98304673 70.830625 0.022737297 0.11268113  0.10832867 0.72871203 3.1268408 -22.569411 -22.569411 868.45685 868.45685
 1 411.84767 2.2665588e-09 0.98366107 70.899892 0.022737653 0.11253028  0.10543289 0.72954125 3.1208478 -22.569411 -22.569411 868.83416 868.83416
 1 412.04324 2.1473835e-09 0.98104925 70.235748 0.022679526 0.11371946 0.076318763 0.72210938 3.0668352 -22.569411 -22.569411  869.2253  869.2253
 3 411.43762 2.1879037e-09 0.98082397 70.465415 0.022757541 0.11339807 0.085914713 0.72440801  3.085529 -22.569411 -22.569411 868.01407 868.01407
 8 410.71067 2.1896574e-09 0.98029443 70.305822 0.022730428 0.11378074 0.085994956  0.7224361 3.0863302 -22.569411 -22.569411 866.56016 866.56016
 6 411.91666 2.2105862e-09  0.9769342 70.019904  0.02257829 0.11413768 0.088978495 0.71974694 3.0958428 -22.569411 -22.569411 868.97215 868.97215
 3 410.81652 2.1976956e-09 0.97614045 69.756257 0.022543953 0.11472466  0.08556998 0.71648875 3.0899945 -22.569411 -22.569411 866.77187 866.77187
 4 409.89339 2.2178531e-09 0.97679237 69.878028 0.022565948 0.11440959 0.090752705 0.71807619 3.0991248 -22.569411 -22.569411  864.9256  864.9256
 5 410.00337  2.281788e-09  0.9787687 70.495757 0.022626676 0.11292737  0.10736246 0.72585568 3.1275444 -22.569411 -22.569411 865.14557 865.14557
 4 410.06784 2.2806411e-09 0.97850165 70.317879 0.022547958 0.11308368  0.10690092 0.72431005 3.1270417 -22.569411 -22.569411  865.2745  865.2745
 5 410.44975 2.2801563e-09 0.97971941 70.531167 0.022561954 0.11259667   0.1073795 0.72692576 3.1268291 -22.569411 -22.569411 866.03832 866.03832
 5 410.40418 2.2646749e-09 0.97890967 70.375441  0.02254754   0.112964  0.10320559 0.72500334 3.1200163 -22.569411 -22.569411 865.94718 865.94718
