#weight  minuslogpost            As         ns        H0       ombh2      omch2         tau   omega_de      logA  minuslogprior  minuslogprior__0      chi2  chi2__ffp8_1_raw_545_0001
      1     411.70179 2.1891719e-09   0.980656 70.166776 0.022508098 0.11328563 0.086184655 0.72279215 3.0861084     -22.569411        -22.569411 868.54239                  868.54239
      2      413.1396 2.1363569e-09 0.98182391 70.200153 0.022481862 0.11306951 0.074490651 0.72354746 3.0616871     -22.569411        -22.569411 871.41803                  871.41803
      8     410.82817 2.1324762e-09 0.97898018 69.694322 0.022540693 0.11424519 0.073080499 0.71697846 3.0598689     -22.569411        -22.569411 866.79517                  866.79517
      3     409.65673 2.1671799e-09 0.97932653  69.69619  0.02254601 0.11437165 0.081265777 0.71672235 3.0760118     -22.569411        -22.569411 864.45228                  864.45228
      2     410.26672 2.1551226e-09 0.98009618 69.723249 0.022546371 0.11430219 0.078753462 0.71708432 3.0704327     -22.569411        -22.569411 865.67227                  865.67227
      3     409.48566 2.1718042e-09 0.97908266  69.65115 0.022551787 0.11451838 0.082113071 0.71604148 3.0781434     -22.569411        -22.569411 864.11014                  864.11014
      2     409.13401 2.1549768e-09 0.97846659 69.511099 0.022530735  0.1148654  0.07776902 0.71422148 3.0703651     -22.569411        -22.569411 863.40684                  863.40684
      7     409.86671 2.1474553e-09 0.97805272 69.403765 0.022419049 0.11476958  0.07580551 0.71376765 3.0668686     -22.569411        -22.569411 864.87224                  864.87224
      3     410.01351 2.1566051e-09 0.97804236 69.474641 0.022433246 0.11459231 0.078073825 0.71468922 3.0711204     -22.569411        -22.569411 865.16584                  865.16584
      1     409.76339 2.1090439e-09 0.97544713 69.381226 0.022510008 0.11514484 0.065280853 0.71261314 3.0488198     -22.569411        -22.569411  864.6656                   864.6656
      2     408.36037 2.1603107e-09 0.97171317 68.965107 0.022554438 0.11642623 0.075790851 0.70634706 3.0728372     -22.569411        -22.569411 861.85956                  861.85956
      4     408.80797 2.1569002e-09 0.97351322 69.265202 0.022539858 0.11555085 0.075818306 0.71074106 3.0712572     -22.569411        -22.569411 862.75476                  862.75476
      3     408.92427 2.1605074e-09  0.9733009 69.260745 0.022543932 0.11556091 0.076594264 0.71067437 3.0729282     -22.569411        -22.569411 862.98736                  862.98736
      1     408.79834 2.1949346e-09 0.97204696 69.077348 0.022538489 0.11608008 0.083817462 0.70805942 3.0887373     -22.569411        -22.569411 862.73549                  862.73549
      7     408.22945 2.1889564e-09 0.97580737  69.17985 0.022473779 0.11582206 0.083584229 0.70959825   3.08601     -22.569411        -22.569411 861.59771                  861.59771
      3     408.19426 2.1985109e-09 0.97602175 69.196862 0.022466062 0.11579993 0.085877481 0.70980336 3.0903654     -22.569411        -22.569411 861.52733                  861.52733
      4     408.01937 2.1782741e-09 0.97455602 69.010116 0.022496324 0.11629461  0.08063832 0.70712839  3.081118     -22.569411        -22.569411 861.17757                  861.17757
      3      408.0907 2.1386675e-09 0.97517218 69.062856  0.02249258 0.11625398 0.071597297 0.70766855  3.062768     -22.569411        -22.569411 861.32022                  861.32022
      6     408.17082 2.1764464e-09 0.97265534 69.010596 0.022572222 0.11653074 0.079523023 0.70647728 3.0802785     -22.569411        -22.569411 861.48045                  861.48045
      1     408.11849 2.1754614e-09  0.9731897 69.186785 0.022589436 0.11595895 0.080008294 0.70912887 3.0798259     -22.569411        -22.569411  861.3758                   861.3758
 1 409.35075 2.2441545e-09 0.97280962  69.31866 0.022605398 0.11567033 0.096104953 0.71080199 3.1109139 -22.569411 -22.569411 863.84033 863.84033
 4 411.16096 2.3499112e-09 0.98150926 70.502618  0.02269486 0.11289022  0.12353923 0.72584659 3.1569626 -22.569411 -22.569411 867.46074 867.46074
 7 412.12507 2.3690216e-09 0.98148552 70.541576 0.022725664 0.11288002  0.12771726 0.72610792 3.1650621 -22.569411 -22.569411 869.38896 869.38896
 3 409.62423 2.2838618e-09 0.97875807 70.238634 0.022679361 0.11361365  0.10703863 0.72234702 3.1284529 -22.569411 -22.569411 864.38729 864.38729
12 409.84289 2.2691883e-09  0.9774744 69.874432 0.022617186   0.114319  0.10291657 0.71812777 3.1220073 -22.569411 -22.569411 864.82461 864.82461
 4 408.95125 2.1446694e-09 0.97579074 69.385943 0.022519397 0.11570677 0.073213279 0.71146554 3.0655705 -22.569411 -22.569411 863.04132 863.04132
 2 408.70656 2.1637338e-09 0.97613737 69.525472  0.02255372 0.11541854 0.078014101 0.71314775 3.0744205 -22.569411 -22.569411 862.55195 862.55195
 4 409.16638 2.1791043e-09 0.97375096  69.36556 0.022473259 0.11543761 0.081128439 0.71195122  3.081499 -22.569411 -22.569411 863.47159 863.47159
 7 409.68222 2.1493014e-09 0.96996054 68.735447 0.022454156 0.11695187 0.072294959 0.70348116 3.0677279 -22.569411 -22.569411 864.50326 864.50326
 7 409.13875  2.165069e-09 0.96974666 68.745326 0.022519764 0.11711076 0.075594229 0.70309134 3.0750373 -22.569411 -22.569411 863.41633 863.41633
 2 409.00954 2.1745915e-09 0.97015684 68.795702 0.022516348 0.11696167 0.078164822 0.70384823 3.0794259 -22.569411 -22.569411  863.1579  863.1579
 3 408.82294 2.2057494e-09 0.97123035 68.971074 0.022524263 0.11657259 0.085744001 0.70615363 3.0936524 -22.569411 -22.569411 862.78471 862.78471
22 408.61071 2.2012947e-09 0.97298677 69.194869 0.022488889 0.11593113 0.085641053 0.70946494 3.0916308 -22.569411 -22.569411 862.36025 862.36025
 6 412.46255  2.230316e-09 0.97517307 69.720762 0.022507247 0.11468082 0.094319629  0.7163657 3.1047284 -22.569411 -22.569411 870.06393 870.06393
 1 412.75262 2.2323757e-09 0.97542291 69.742299 0.022506715  0.1146228 0.094955391 0.71666123 3.1056515 -22.569411 -22.569411 870.64406 870.64406
 1  411.9782 2.2183789e-09 0.97289825  68.84112 0.022349002 0.11588455 0.090349245 0.70686483 3.0993618 -22.569411 -22.569411 869.09523 869.09523
 6  412.0424 2.2126482e-09 0.97292674 68.850092 0.022347256 0.11584829 0.089066364 0.70702139 3.0967752 -22.569411 -22.569411 869.22363 869.22363
 1  411.9888 2.2045745e-09 0.97206987 68.710954 0.022346207  0.1162035 0.086755773  0.7050835 3.0931196 -22.569411 -22.569411 869.11642 869.11642
 2 411.76426 2.1379125e-09 0.97237442 69.040218 0.022485886 0.11572219 0.071017119 0.70860653  3.062415 -22.569411 -22.569411 868.66734 868.66734
 3 410.07937 2.1414101e-09 0.97376189 69.184689 0.022500482  0.1155063 0.072343388 0.71024276 3.0640497 -22.569411 -22.569411 865.29755 865.29755
5 412.15931  2.215525e-09  0.9751253 68.772104 0.022377893 0.11607743 0.090213067 0.70580729 3.0980745 -22.569411 -22.569411 869.45743 869.45743
2 412.25561 2.2034488e-09 0.97579846 68.792109  0.02236461 0.11600908 0.087574253 0.70615085 3.0926089 -22.569411 -22.569411 869.65005 869.65005
3 414.44199 2.1354588e-09 0.97258765 67.886177 0.022242269 0.11815588 0.070231551 0.69386292 3.0612666 -22.569411 -22.569411  874.0228  874.0228
1 415.00187 2.0604192e-09 0.97679361 68.115815 0.022122207 0.11765071 0.052434442 0.69727115 3.0254946 -22.569411 -22.569411 875.14257 875.14257
4 416.24169 2.0537629e-09 0.97604347 67.848912 0.022086515 0.11821594 0.050329571 0.69373443 3.0222588 -22.569411 -22.569411 877.62221 877.62221
3 415.31694 2.1158478e-09 0.97586505  68.34835 0.022275297 0.11765737 0.064673387 0.69898556 3.0520407 -22.569411 -22.569411  875.7727  875.7727
3 415.32164 2.0828276e-09  0.9741419 68.419414 0.022180105 0.11736766 0.056188567 0.70043277 3.0363115 -22.569411 -22.569411 875.78211 875.78211
5  416.0355 2.1294555e-09 0.97541741  68.61554 0.022175837 0.11688962 0.067876001 0.70316727 3.0584514 -22.569411 -22.569411 877.20983 877.20983
8 416.94782 2.1223189e-09  0.9754857 68.633652 0.022184675 0.11694475 0.066041391 0.70318813 3.0550944 -22.569411 -22.569411 879.03446 879.03446
1 415.03978 2.0557912e-09 0.97152897 68.121991 0.022174375 0.11824797  0.04892028  0.6959266 3.0232459 -22.569411 -22.569411 875.21838 875.21838
2 415.75629 2.0608201e-09 0.97154058 68.126823 0.022143755 0.11814466 0.050186839  0.6962583 3.0256891 -22.569411 -22.569411  876.6514  876.6514
1 414.14297 2.1353536e-09 0.96641218 68.068052 0.022352584 0.11790816 0.067341878 0.69579326 3.0612173 -22.569411 -22.569411 873.42476 873.42476
1 413.62371 2.1319819e-09 0.96689548 68.153764 0.022363555  0.1177368 0.066764271 0.69690324 3.0596371 -22.569411 -22.569411 872.38624 872.38624
1 413.58495 2.1326376e-09 0.96659948 68.105325   0.0223589 0.11788225  0.06669028 0.69616841 3.0599446 -22.569411 -22.569411 872.30872 872.30872
4 412.32631 2.1050815e-09 0.96826488 67.948556 0.022260274 0.11808662 0.060825385 0.69453577 3.0469393 -22.569411 -22.569411 869.79145 869.79145
