#weight  minuslogpost            As         ns        H0       ombh2      omch2         tau   omega_de      logA  minuslogprior  minuslogprior__0      chi2  chi2__ffp8_1_raw_857_0004
      5      412.0278 2.0997491e-09 0.96855307 67.625028 0.022272878 0.11880661 0.071130215 0.69000405 3.0444029     -22.569411        -22.569411 869.19442                  869.19442
      8     414.66616 2.1103828e-09 0.96885559 67.476054 0.022129495  0.1188314  0.07342653  0.6888942 3.0494545     -22.569411        -22.569411 874.47115                  874.47115
      1     415.17242 2.1085697e-09 0.96854326 67.403129 0.022121002 0.11896763 0.072784881 0.68793949 3.0485949     -22.569411        -22.569411 875.48366                  875.48366
      1     415.87261 2.1475457e-09 0.96986443 67.659821 0.022114554 0.11833652 0.082438523 0.69169552 3.0669108     -22.569411        -22.569411 876.88405                  876.88405
      5     413.98711 2.1702891e-09 0.97340142 67.776717 0.022143421 0.11819845 0.088915832 0.69299582 3.0774455     -22.569411        -22.569411 873.11305                  873.11305
      1     413.67809 2.1054565e-09 0.97124015 67.510508 0.022116362 0.11910492 0.072601764 0.68864034 3.0471174     -22.569411        -22.569411 872.49501                  872.49501
      3     411.82361 2.1739222e-09 0.97083814 67.691853 0.022217178 0.11896894 0.088597612  0.6903831 3.0791181     -22.569411        -22.569411 868.78604                  868.78604
      3     411.56225 2.1680647e-09 0.97099734 67.699037 0.022226458 0.11896179 0.087364673 0.69044416   3.07642     -22.569411        -22.569411 868.26333                  868.26333
      4     411.72501 2.1722782e-09 0.97138258 67.789431 0.022221894 0.11873668 0.088500914 0.69176896 3.0783616     -22.569411        -22.569411 868.58883                  868.58883
      5     410.85869 2.2354493e-09 0.97443515 68.395442 0.022229282 0.11697932  0.10517485 0.70094777 3.1070273     -22.569411        -22.569411  866.8562                   866.8562
      6     410.78292 2.2402993e-09 0.97421281 68.399141 0.022235997 0.11698627  0.10623899 0.70095091 3.1091946     -22.569411        -22.569411 866.70466                  866.70466
      9     411.25576 2.3061471e-09 0.97569113 68.496171 0.022335174 0.11710764  0.12100826 0.70132749 3.1381633     -22.569411        -22.569411 867.65034                  867.65034
      5     410.91393 2.3211602e-09 0.97806192 68.833508 0.022361128 0.11625133  0.12593802 0.70600027 3.1446522     -22.569411        -22.569411 866.96669                  866.96669
      1     410.63988 2.3080626e-09 0.97792431 68.818024 0.022363254 0.11626233  0.12284984 0.70584025 3.1389936     -22.569411        -22.569411 866.41859                  866.41859
     14     410.90126 2.2989278e-09 0.97354551 68.212431 0.022285359 0.11756026  0.11885221 0.69797187 3.1350279     -22.569411        -22.569411 866.94134                  866.94134
      2     410.86928 2.2831803e-09 0.97260282 68.088282 0.022294585 0.11790636  0.11474015 0.69610301 3.1281544     -22.569411        -22.569411 866.87738                  866.87738
      1     410.24048 2.2813786e-09 0.97236679 68.337173 0.022327689 0.11734877  0.11499835 0.69943572  3.127365     -22.569411        -22.569411 865.61979                  865.61979
      3     410.59808 2.2847264e-09 0.97229364 68.296957  0.02231495 0.11739958  0.11578891 0.69900003 3.1288314     -22.569411        -22.569411 866.33499                  866.33499
      3     410.84304 2.2877018e-09 0.97192419  68.26177 0.022310953  0.1174819  0.11628197 0.69852156 3.1301328     -22.569411        -22.569411 866.82489                  866.82489
      4      411.0545 2.2994644e-09 0.97166821 68.284154 0.022320477 0.11743463  0.11883232 0.69880012 3.1352613     -22.569411        -22.569411 867.24783                  867.24783
 4 410.61205 2.2967145e-09 0.97227924 68.374765 0.022330649 0.11719151  0.11855601 0.70009617 3.1340647 -22.569411 -22.569411 866.36293 866.36293
 4 411.24809 2.2961377e-09 0.97029877 68.029669 0.022331868 0.11810872  0.11732669 0.69506132 3.1338135 -22.569411 -22.569411   867.635   867.635
 7 410.01253 2.2690694e-09   0.971135 68.055775 0.022391176 0.11821874  0.11124683 0.69492961 3.1219549 -22.569411 -22.569411 865.16388 865.16388
 2 410.81897 2.2749968e-09 0.96946995 67.857428  0.02238374 0.11875572  0.11175723 0.69199355 3.1245637 -22.569411 -22.569411 866.77677 866.77677
 2 411.23741 2.2460228e-09 0.96884892 67.687496 0.022374508 0.11916811  0.10453756 0.68956513 3.1117461 -22.569411 -22.569411 867.61364 867.61364
 2 409.89593 2.2049075e-09 0.97019889 67.993619 0.022339518 0.11829994 0.096152656 0.69430771 3.0932706 -22.569411 -22.569411 864.93068 864.93068
 5  411.3472 2.1692313e-09 0.96996505 67.563523 0.022235771 0.11924962 0.087202418  0.6885502 3.0769579 -22.569411 -22.569411 867.83323 867.83323
 1 412.52146 2.2003632e-09 0.96840725 67.337132 0.022227415 0.11983565  0.09343162 0.68517847 3.0912076 -22.569411 -22.569411 870.18174 870.18174
 1 412.55219 2.2231656e-09 0.96990468 67.434507 0.022187158 0.11935751 0.099525316 0.68722699 3.1015172 -22.569411 -22.569411  870.2432  870.2432
 1 412.06376 2.2187139e-09 0.96987879   67.5273 0.022253935 0.11920453 0.098561614 0.68827503 3.0995128 -22.569411 -22.569411 869.26635 869.26635
