#weight  minuslogpost            As         ns        H0       ombh2      omch2         tau   omega_de      logA  minuslogprior  minuslogprior__0      chi2  chi2__ffp8_1_raw_857_0004
      1     409.40114 2.2531384e-09 0.97825773 69.052327 0.022433436 0.11576879  0.11160891 0.70872096 3.1149092     -22.569411        -22.569411  863.9411                   863.9411
      2     411.31536 2.2427044e-09 0.98149261 69.193146 0.022360866 0.11512833  0.11053291 0.71139467 3.1102675     -22.569411        -22.569411 867.76955                  867.76955
      1     411.89762 2.2349444e-09 0.98343595 69.636734 0.022411291  0.1141129  0.11010921  0.7170498 3.1068014     -22.569411        -22.569411 868.93405                  868.93405
      1     412.24343 2.2312151e-09 0.98280186 69.491299 0.022391872 0.11439655  0.10914812 0.71531706 3.1051314     -22.569411        -22.569411 869.62568                  869.62568
      2     411.32689 2.2316201e-09 0.98185046 69.347555 0.022399159 0.11482635  0.10853996 0.71322677 3.1053129     -22.569411        -22.569411 867.79261                  867.79261
      8     410.93664 2.2516155e-09 0.98092204 69.414252 0.022415671 0.11470135  0.11299989 0.71400275  3.114233     -22.569411        -22.569411  867.0121                   867.0121
      2     410.39761 2.1759985e-09 0.97415011 68.210459 0.022344912   0.117851 0.091519166 0.69720153 3.0800727     -22.569411        -22.569411 865.93405                  865.93405
      1     411.21409 2.1575565e-09 0.96784628 67.434333  0.02240193 0.11990637 0.084110206  0.6855461 3.0715614     -22.569411        -22.569411 867.56701                  867.56701
      4     410.99792  2.163764e-09 0.96794028 67.543432 0.022418542 0.11971933   0.0856104 0.68693469 3.0744344     -22.569411        -22.569411 867.13467                  867.13467
      7     410.28901 2.1999244e-09 0.96779534 67.730769 0.022421988 0.11909772 0.094261429 0.69001163 3.0910081     -22.569411        -22.569411 865.71684                  865.71684
      9     410.17832 2.2038082e-09 0.96814184 67.772711  0.02242541  0.1190084  0.09533102 0.69058218  3.092772     -22.569411        -22.569411 865.49547                  865.49547
      5     409.52168 2.1930753e-09  0.9712786 68.039728 0.022445332 0.11830875 0.094245536 0.69447428 3.0878899     -22.569411        -22.569411 864.18217                  864.18217
      1     409.80486 2.2178671e-09 0.97142298 67.949355 0.022385972 0.11848429 0.099878234 0.69340941 3.0991311     -22.569411        -22.569411 864.74854                  864.74854
      2     410.45626 2.1827469e-09 0.96969375 67.666703 0.022335423 0.11903054 0.091212977 0.68976012 3.0831692     -22.569411        -22.569411 866.05135                  866.05135
     11     410.43328 2.1945264e-09 0.97557294 68.832503 0.022369492 0.11626037  0.09721934 0.70595497 3.0885514     -22.569411        -22.569411 866.00539                  866.00539
      3     412.73269 2.1939313e-09 0.97601923 69.000575 0.022363508 0.11583454  0.09771701 0.70829265 3.0882801     -22.569411        -22.569411 870.60419                  870.60419
      1     411.44754 2.1856031e-09 0.98091019  69.68302  0.02240671 0.11417251 0.097417779 0.71731225 3.0844769     -22.569411        -22.569411 868.03391                  868.03391
      2     412.92677 2.1858063e-09 0.97404316  68.49846 0.022301815 0.11688321  0.09303116 0.70189686 3.0845699     -22.569411        -22.569411 870.99235                  870.99235
      1     413.47541 2.1797473e-09 0.97316424 68.613855 0.022354403 0.11673196 0.091341665 0.70310829  3.081794     -22.569411        -22.569411 872.08964                  872.08964
      1     413.28792 2.0608664e-09 0.97117367 68.068501 0.022295644 0.11781093 0.062637924 0.69613003 3.0257116     -22.569411        -22.569411 871.71467                  871.71467
2 413.39883 2.1027718e-09 0.97145279 68.141154 0.022285539 0.11760234 0.072690822 0.69724867 3.0458415 -22.569411 -22.569411 871.93648 871.93648
1 413.82364 2.1050337e-09 0.97213276 68.260829 0.022286918 0.11727847 0.073587479 0.69900141 3.0469166 -22.569411 -22.569411 872.78609 872.78609
1 411.58988 2.0987284e-09 0.97696275 68.717927  0.02233726 0.11623388 0.075018221 0.70509795 3.0439167 -22.569411 -22.569411 868.31859 868.31859
1 411.22927 2.1088767e-09  0.9771953  68.76734 0.022360922 0.11616079 0.077444362 0.70562612 3.0487405 -22.569411 -22.569411 867.59737 867.59737
2 410.98433 2.1137562e-09 0.97641663 68.839776 0.022412111  0.1160137  0.07869991 0.70644767 3.0510517 -22.569411 -22.569411 867.10748 867.10748
1  411.3566 2.0989937e-09 0.97588365 68.730691  0.02240133 0.11625643 0.074950151 0.70502411 3.0440431 -22.569411 -22.569411 867.85202 867.85202
6 412.30175 2.0868624e-09 0.97573264 68.824046 0.022433796 0.11624883 0.072223062 0.70577131 3.0382468 -22.569411 -22.569411 869.74233 869.74233
1  414.1208 2.1019244e-09 0.96785917 67.456334 0.022392756 0.12002627 0.069681527 0.68550785 3.0454384 -22.569411 -22.569411 873.38042 873.38042
1 414.49781 2.1497075e-09 0.96922223 67.729557 0.022447523 0.11944281 0.081617681 0.68919258 3.0679169 -22.569411 -22.569411 874.13444 874.13444
4 413.56899 2.1405376e-09 0.96727524  67.59859 0.022523975 0.11996443 0.079025223 0.68667828 3.0636421 -22.569411 -22.569411 872.27681 872.27681
1 413.51994 2.1721114e-09 0.96634165 67.363876 0.022465465 0.12032877 0.085984517 0.68381712 3.0782848 -22.569411 -22.569411 872.17871 872.17871
2 413.01658 2.1830725e-09 0.96710919 67.511133 0.022474171 0.11997235 0.088945122 0.68595786 3.0833184 -22.569411 -22.569411 871.17198 871.17198
3 414.79488 2.1895628e-09 0.96927466 67.489452 0.022458141 0.12008745 0.090985995 0.68553855  3.086287 -22.569411 -22.569411 874.72858 874.72858
2 416.12411 2.0939461e-09 0.96879198 67.923679 0.022585721 0.11887928 0.071002233  0.6918885 3.0416355 -22.569411 -22.569411 877.38704 877.38704
7 416.93773 2.1213453e-09 0.96789077 68.120164 0.022756823 0.11872867 0.077088332 0.69361919 3.0546356 -22.569411 -22.569411 879.01427 879.01427
2 415.55235 2.2147247e-09 0.97151374 68.835614 0.022865525 0.11731775   0.1002203 0.70270315 3.0977132 -22.569411 -22.569411 876.24353 876.24353
1  419.1912 2.1956239e-09 0.97591051 69.246735 0.022890607 0.11598027 0.097690481 0.70895976 3.0890513 -22.569411 -22.569411 883.52123 883.52123
2 418.20055 2.1831316e-09  0.9788839 69.636611 0.022864942 0.11508751 0.095828601 0.71410349 3.0833455 -22.569411 -22.569411 881.53993 881.53993
1 417.71675   2.18792e-09 0.97910137 69.674358 0.022860535 0.11496895 0.097132323 0.71466648 3.0855364 -22.569411 -22.569411 880.57231 880.57231
3 416.73453 2.0266199e-09 0.97302426  68.64487 0.022653617  0.1168877 0.056339235 0.70241102 3.0089544 -22.569411 -22.569411 878.60789 878.60789
 1 416.97935 2.2008685e-09 0.96905757  69.32512 0.022803705 0.11574974  0.09645176 0.71027803 3.0914372 -22.569411 -22.569411 879.09752 879.09752
 3 416.86342 2.2007457e-09 0.96917287 69.340178 0.022804328 0.11572078 0.096480238 0.71046277 3.0913814 -22.569411 -22.569411 878.86565 878.86565
 1 416.83317 2.1801684e-09 0.97109144 69.539269 0.022862132 0.11526045 0.092917472 0.71295071 3.0819872 -22.569411 -22.569411 878.80516 878.80516
 5 414.30495 2.2576541e-09 0.97436275 69.938398 0.022859507 0.11430374  0.11245983 0.71817893 3.1169114 -22.569411 -22.569411 873.74873 873.74873
13 410.87768 2.3104695e-09 0.97322323 69.088182 0.022602436 0.11571915  0.12278287 0.70877318 3.1400358 -22.569411 -22.569411 866.89419 866.89419
