#weight  minuslogpost            As         ns        H0       ombh2      omch2         tau   omega_de      logA  minuslogprior  minuslogprior__0      chi2  chi2__ffp8_1_raw_545_0002
      4     415.74347 2.2069459e-09 0.96921291 68.532695 0.022602309 0.11736983 0.086427985 0.70051874 3.0941947     -22.569411        -22.569411 876.62576                  876.62576
      6     415.19322  2.204306e-09 0.96919872  68.47711 0.022580479 0.11744707  0.08566854 0.69991417 3.0929978     -22.569411        -22.569411 875.52527                  875.52527
      1     416.28029 2.2276428e-09 0.96870884 68.430948 0.022602582  0.1176849 0.090764003  0.6989541 3.1035291     -22.569411        -22.569411 877.69941                  877.69941
      2     415.37146 2.2175512e-09 0.96573497 68.003568 0.022555391 0.11859942 0.086341198 0.69328275 3.0989886     -22.569411        -22.569411 875.88175                  875.88175
      1     415.37502 2.2174525e-09 0.96573723 68.005045 0.022556249   0.118597 0.086321007 0.69329945 3.0989441     -22.569411        -22.569411 875.88886                  875.88886
      1     416.79773  2.264846e-09 0.96930404 68.345955 0.022549725 0.11766187 0.098861237 0.69836734 3.1200919     -22.569411        -22.569411 878.73428                  878.73428
      3     416.45253 2.2539679e-09 0.96891482 68.232604  0.02250379 0.11782812 0.096083784 0.69710592 3.1152773     -22.569411        -22.569411 878.04388                  878.04388
      1     416.46225 2.2408942e-09 0.96972389 68.336202 0.022506092 0.11761043 0.093290724 0.69848483 3.1094601     -22.569411        -22.569411 878.06331                  878.06331
      4     416.48276 2.2406058e-09 0.96923169 68.358185 0.022519062 0.11758399 0.093025589 0.69870755 3.1093314     -22.569411        -22.569411 878.10434                  878.10434
      1     418.44182 2.1209823e-09 0.96191973 67.192344 0.022454624 0.12020166 0.061384723 0.68250628 3.0544644     -22.569411        -22.569411 882.02246                  882.02246
      2     415.36104 2.0507424e-09 0.96457366  67.32676 0.022520396 0.11998881  0.04611695 0.68409721  3.020787     -22.569411        -22.569411 875.86091                  875.86091
      1     414.42774 2.0401347e-09  0.9641444  67.23352 0.022510258 0.12028381 0.043329795 0.68259023 3.0156009     -22.569411        -22.569411  873.9943                   873.9943
      4     414.37842 2.0386094e-09 0.96381338 67.174178 0.022504346 0.12042747 0.042797092 0.68172393  3.014853     -22.569411        -22.569411 873.89565                  873.89565
      1      414.1776 2.0374038e-09 0.96385075 67.124615 0.022453811 0.12046518 0.042203914 0.68128219 3.0142614     -22.569411        -22.569411 873.49402                  873.49402
     16     414.35059 1.9951957e-09 0.96243564 67.154245 0.022534853 0.12070741 0.031346316 0.68084655 2.9933272     -22.569411        -22.569411 873.84001                  873.84001
      3     414.47663 1.9818832e-09 0.96052055 66.754521  0.02246862 0.12158158 0.026757617 0.67519986 2.9866326     -22.569411        -22.569411 874.09208                  874.09208
     11     414.50492 1.9805069e-09 0.96078419 66.806623 0.022485346 0.12151295  0.02654406 0.67582259 2.9859379     -22.569411        -22.569411 874.14866                  874.14866
     18     414.48526 1.9923454e-09 0.96097794 66.848723 0.022477019  0.1213782 0.029434328 0.67655096 2.9918976     -22.569411        -22.569411 874.10935                  874.10935
      4     413.54152 2.0895816e-09 0.96143605  67.08432 0.022439846 0.12084266 0.053635364 0.68009145  3.039549     -22.569411        -22.569411 872.22186                  872.22186
      6      413.3151 2.0923769e-09  0.9628395 67.240291 0.022451828  0.1204133 0.055003355 0.68249699 3.0408858     -22.569411        -22.569411 871.76903                  871.76903
 3 413.08139  2.081228e-09 0.96175794 67.082272 0.022437752 0.12075024 0.052050859 0.68028195 3.0355432 -22.569411 -22.569411 871.30161 871.30161
 1 413.98063 2.0597497e-09 0.96193193 67.115629 0.022390243 0.12029512 0.047292885  0.6817155 3.0251696 -22.569411 -22.569411 873.10008 873.10008
 2 413.80254 2.1033436e-09 0.96531084 67.609966 0.022408379 0.11904731 0.059554063 0.68904293 3.0461134 -22.569411 -22.569411 872.74391 872.74391
 8 415.86126 2.0921563e-09 0.96398033 67.841674 0.022466666 0.11857204 0.057269474 0.69206939 3.0407803 -22.569411 -22.569411 876.86134 876.86134
 1 414.78126 2.1892017e-09 0.96708096 67.737529 0.022409038 0.11917959 0.079877206 0.68992329 3.0861221 -22.569411 -22.569411 874.70135 874.70135
17 414.66464 2.1844233e-09 0.96664799 67.683736 0.022405454 0.11930787 0.078516088   0.689158 3.0839369 -22.569411 -22.569411  874.4681  874.4681
 2 415.24498  2.196734e-09 0.96764724 67.837756 0.022420578 0.11899627 0.081763611 0.69121214 3.0895568 -22.569411 -22.569411 875.62877 875.62877
 5 415.50969 2.2090877e-09 0.96419088 67.689374  0.02240634 0.11907803 0.083900396 0.68970947 3.0951647 -22.569411 -22.569411  876.1582  876.1582
 5 415.46549 2.2100741e-09 0.96420521 67.695015 0.022411601 0.11908244 0.084101852 0.68974009 3.0956111 -22.569411 -22.569411 876.06979 876.06979
 5 415.59944 2.2098981e-09 0.96417618 67.673542 0.022395182 0.11907857 0.083955679 0.68958746 3.0955315 -22.569411 -22.569411 876.33769 876.33769
 4  417.8078 2.1980302e-09 0.96563952  68.58911 0.022621353 0.11729656 0.083120762 0.70112646 3.0901467 -22.569411 -22.569411 880.75442 880.75442
 4  417.8617 2.2023528e-09 0.96540254 68.548207 0.022620975 0.11743411 0.083940366 0.70047774 3.0921113 -22.569411 -22.569411 880.86223 880.86223
 1 417.25928 2.2365167e-09 0.97116721 68.843972 0.022543503 0.11650596 0.094175191  0.7051676 3.1075047 -22.569411 -22.569411 879.65738 879.65738
 4 418.09391 2.2341428e-09  0.9712307 68.850128  0.02255584 0.11647425 0.093925015 0.70526118 3.1064427 -22.569411 -22.569411 881.32664 881.32664
 7 417.60412 2.2191295e-09 0.97284611 69.194729 0.022585389  0.1155186 0.091421767 0.71012382 3.0997001 -22.569411 -22.569411 880.34707 880.34707
 4 417.92427 2.1682429e-09 0.97288147 68.559759 0.022584823  0.1169648 0.079194802 0.70165403 3.0765022 -22.569411 -22.569411 880.98736 880.98736
 4 417.73587 2.1752113e-09 0.97205593 68.427148 0.022580161 0.11734845  0.08039387  0.6996871 3.0797109 -22.569411 -22.569411 880.61056 880.61056
 5 418.31892 2.1728567e-09 0.97226399 68.505834 0.022606559 0.11720397 0.080096424  0.7006282 3.0786278 -22.569411 -22.569411 881.77667 881.77667
 1 417.72481 2.1628766e-09   0.969966 68.162467 0.022660802 0.11843055 0.075879505 0.69484769 3.0740242 -22.569411 -22.569411 880.58844 880.58844
 6 414.24022 2.1598213e-09 0.96501298 67.513014 0.022504708 0.11984686 0.072579279 0.68618369 3.0726106 -22.569411 -22.569411 873.61927 873.61927
 5 414.71097 2.1775494e-09  0.9647305  67.55923 0.022520497 0.11976414 0.076696807 0.68675953 3.0807852 -22.569411 -22.569411 874.56076 874.56076
