#weight  minuslogpost            As         ns        H0       ombh2      omch2         tau   omega_de      logA  minuslogprior  minuslogprior__0      chi2  chi2__ffp8_1_raw_143_0001
      7     412.11162 2.1786163e-09 0.97347873  68.70611 0.022528237 0.11696076 0.078287432 0.70305212  3.081275     -22.569411        -22.569411 869.36206                  869.36206
      4     414.04186 2.1464352e-09 0.96681736 67.642722 0.022482461 0.11975063 0.066206214 0.68764498 3.0663935     -22.569411        -22.569411 873.22255                  873.22255
      2     413.05433 2.1117329e-09 0.96771476 67.573983 0.022414488  0.1197246 0.058520221 0.68721504  3.050094     -22.569411        -22.569411 871.24749                  871.24749
      2     413.10696 2.1131518e-09 0.96780602 67.578645 0.022415266 0.11972566 0.058894416 0.68725417 3.0507657     -22.569411        -22.569411 871.35275                  871.35275
      1     411.94341 2.0756885e-09 0.96827959 67.771125 0.022400717 0.11926166 0.050428331 0.69007007  3.032878     -22.569411        -22.569411 869.02565                  869.02565
      6     411.78137 2.0735915e-09 0.97248142 68.640645  0.02255764 0.11716266 0.052155285 0.70199449 3.0318672     -22.569411        -22.569411 868.70156                  868.70156
      2     411.26365 2.0887467e-09 0.97481491 68.942192   0.0224733 0.11620523  0.05675314 0.70678748 3.0391493     -22.569411        -22.569411 867.66612                  867.66612
      5     412.46021 2.0076188e-09 0.97005626 68.282943 0.022393546 0.11778342 0.035075143 0.69788467 2.9995344     -22.569411        -22.569411 870.05925                  870.05925
      5     412.97443 2.0327045e-09  0.9785035 69.417572 0.022451921 0.11517505 0.045275362 0.71297186 3.0119523     -22.569411        -22.569411 871.08769                  871.08769
      6     412.98336 2.0900577e-09 0.98183682 70.123981 0.022500691 0.11352874 0.060781935 0.72197438 3.0397768     -22.569411        -22.569411 871.10554                  871.10554
      1     412.73891 2.1561657e-09 0.97947649 70.281848 0.022633089 0.11379989 0.075376312 0.72240501 3.0709166     -22.569411        -22.569411 870.61665                  870.61665
      1     412.40963 2.1744504e-09 0.97912412 70.336986 0.022635986  0.1136423 0.079500778 0.72315273  3.079361     -22.569411        -22.569411 869.95808                  869.95808
      1     412.24128 2.1933955e-09 0.97980413 70.466267 0.022643878 0.11330194 0.084503038  0.7248372 3.0880359     -22.569411        -22.569411 869.62139                  869.62139
      2     412.48313 2.1528109e-09 0.97770311 70.276638 0.022663911 0.11371165 0.074484668 0.72248009 3.0693595     -22.569411        -22.569411 870.10508                  870.10508
      3       410.152 2.1560605e-09 0.97134818 68.403002 0.022350497 0.11755541 0.071164129 0.69952358 3.0708678     -22.569411        -22.569411 865.44283                  865.44283
     17     410.69123 2.1903762e-09 0.96966313 68.308635 0.022422109 0.11801779 0.078197622 0.69754839 3.0866584     -22.569411        -22.569411 866.52128                  866.52128
      1     411.21898 2.1939181e-09 0.96837142 68.165746 0.022431749 0.11837824 0.078424524 0.69548257 3.0882741     -22.569411        -22.569411 867.57679                  867.57679
      1     411.96857 2.1741955e-09 0.96844577 67.820384 0.022373576 0.11891326 0.073834583 0.69133658 3.0792438     -22.569411        -22.569411 869.07596                  869.07596
      2     411.49699 2.1969654e-09 0.96979232  68.20982 0.022451774 0.11802814 0.080381336 0.69658541 3.0896621     -22.569411        -22.569411 868.13281                  868.13281
      5     410.46723 2.1773987e-09 0.97069446 68.461166 0.022486932 0.11743409 0.076383594 0.70000167  3.080716     -22.569411        -22.569411 866.07329                  866.07329
 6 410.93865 2.2532009e-09 0.97200343 68.934725 0.022516538  0.1163666 0.094826812  0.7062934 3.1149369 -22.569411 -22.569411 867.01612 867.01612
 3 411.64116 2.2362078e-09 0.96937589 68.426786 0.022452082  0.1175925 0.089368605 0.69943624 3.1073666 -22.569411 -22.569411 868.42115 868.42115
 1 411.59984 2.2356346e-09 0.96939355 68.423241 0.022450309 0.11759349  0.08923862 0.69940677 3.1071102 -22.569411 -22.569411  868.3385  868.3385
 3 411.94358 2.1920933e-09 0.97790265 69.352277 0.022555026  0.1156527  0.08310049 0.71122366  3.087442 -22.569411 -22.569411 869.02599 869.02599
 1 413.44436 2.1831711e-09 0.97869685 69.659053  0.02265711 0.11496651 0.082083353 0.71496534 3.0833635 -22.569411 -22.569411 872.02754 872.02754
 6 413.41372 2.1938447e-09 0.97942055 69.731383 0.022643302 0.11469955    0.084948 0.71613378 3.0882407 -22.569411 -22.569411 871.96626 871.96626
14 411.32944  2.171268e-09 0.97962261 69.788489 0.022593772 0.11445012 0.079615824 0.71721197 3.0778964 -22.569411 -22.569411  867.7977  867.7977
 2 413.45978 2.2231641e-09 0.97625543 69.046418 0.022454466 0.11567877  0.09038406 0.70881584 3.1015165 -22.569411 -22.569411 872.05838 872.05838
 2 415.18564 2.1927659e-09 0.97420712 68.749361 0.022511913 0.11649321 0.082588611 0.70444937 3.0877488 -22.569411 -22.569411  875.5101  875.5101
 5 414.41844 2.0847077e-09 0.96989198 68.634068 0.022667368 0.11720232  0.05475686 0.70162025 3.0372138 -22.569411 -22.569411  873.9757  873.9757
 3 414.16215 2.0992767e-09 0.96985087 68.580546 0.022637276 0.11722234 0.058278678 0.70117576 3.0441779 -22.569411 -22.569411 873.46312 873.46312
 1 412.58912 2.1057713e-09 0.97164729 68.792675 0.022613192 0.11667317 0.060459513 0.70422716 3.0472669 -22.569411 -22.569411 870.31706 870.31706
 7 412.63859 2.1008022e-09 0.97139106 68.755496 0.022605087  0.1167406 0.059159582 0.70378169 3.0449044 -22.569411 -22.569411   870.416   870.416
 1 413.09643  2.128028e-09  0.9724433 69.139949 0.022705198 0.11604361 0.066230183 0.70831539 3.0577808 -22.569411 -22.569411 871.33169 871.33169
10 412.57067  2.133501e-09  0.9750654 69.522856  0.02268187 0.11499767 0.068868435 0.71373177 3.0603494 -22.569411 -22.569411 870.28017 870.28017
 1 410.99863 2.1997748e-09 0.97663355 70.141614  0.02273757 0.11388234 0.085087596 0.72091395 3.0909401 -22.569411 -22.569411 867.13608 867.13608
 2  410.8256 2.1873249e-09 0.97503414 69.883877 0.022701675 0.11446729 0.081145022 0.71772732 3.0852644 -22.569411 -22.569411 866.79003 866.79003
10 410.77247 2.1898941e-09 0.97519488 69.899276 0.022696284 0.11440483 0.081832695 0.71799055 3.0864383 -22.569411 -22.569411 866.68377 866.68377
