#weight  minuslogpost            As         ns        H0       ombh2      omch2         tau   omega_de      logA  minuslogprior  minuslogprior__0      chi2  chi2__ffp8_1_raw_143_0003
      8     427.60488 1.9926945e-09 0.95763928 66.182944 0.022133183 0.12265176 0.023914351 0.66788807 2.9920728     -22.569411        -22.569411 900.34859                  900.34859
      4     423.90101 2.1661974e-09 0.96541339 67.704656 0.022261257 0.11916932 0.070153547 0.68996689 3.0755584     -22.569411        -22.569411 892.94083                  892.94083
      7     423.66808  2.150482e-09 0.96307156 66.787131  0.02225537 0.12142249 0.064496825 0.67635172 3.0682771     -22.569411        -22.569411 892.47498                  892.47498
      1     424.28966 2.1259759e-09 0.96301943  66.63881  0.02218605 0.12157793  0.05840117 0.67471545 3.0568161     -22.569411        -22.569411 893.71814                  893.71814
      3     426.91387 2.0284749e-09 0.95798144 65.616492 0.022163564 0.12427453 0.032174486 0.65828961 3.0098693     -22.569411        -22.569411 898.96656                  898.96656
      1     426.17994 2.0203309e-09 0.95858287 65.830832 0.022189913 0.12382498 0.030673514 0.66148769 3.0058464     -22.569411        -22.569411 897.49871                  897.49871
      1       427.396 2.0254091e-09 0.95954701 66.082356 0.022314789 0.12339539 0.032537311 0.66475749 3.0083568     -22.569411        -22.569411 899.93082                  899.93082
      2      427.7778 2.0688786e-09 0.96034537 66.365589 0.022320224 0.12255574 0.043340318 0.66950691 3.0295918     -22.569411        -22.569411 900.69443                  900.69443
      2     428.55983 2.2054768e-09 0.96572566 67.383204 0.022392882 0.12007162 0.078298647 0.68472468 3.0935288     -22.569411        -22.569411 902.25849                  902.25849
      1     428.54265 2.2069952e-09 0.96572664 67.387499 0.022396455 0.12007765 0.078647114 0.68474374  3.094217     -22.569411        -22.569411 902.22413                  902.22413
      6     423.17605 2.2074435e-09 0.96835932 67.961531 0.022362503 0.11873751 0.080680465 0.69302184 3.0944202     -22.569411        -22.569411 891.49092                  891.49092
      3     425.02542 2.2574292e-09 0.97021936 68.751821 0.022520848 0.11712552 0.093492874 0.70311392 3.1168117     -22.569411        -22.569411 895.18967                  895.18967
      1     425.96316 2.2076172e-09 0.96914087 68.609211  0.02253864 0.11749097 0.081393034 0.70106426 3.0944988     -22.569411        -22.569411 897.06513                  897.06513
      3     426.08242 2.2128235e-09 0.96878935 68.635815 0.022553348 0.11751826 0.082500844 0.70120681 3.0968544     -22.569411        -22.569411 897.30367                  897.30367
      1      427.8561 2.2513856e-09   0.970221 69.100631 0.022672082  0.1165937 0.092396338 0.70690067 3.1141309     -22.569411        -22.569411 900.85103                  900.85103
      1     428.14323 2.2539185e-09 0.97001981 69.159618 0.022663021 0.11640802 0.092909775 0.70780759 3.1152553     -22.569411        -22.569411 901.42528                  901.42528
      1     427.68072 2.2606818e-09 0.96984108 69.086013 0.022644592 0.11657485 0.094290901 0.70687372 3.1182515     -22.569411        -22.569411 900.50026                  900.50026
      1     428.41681 2.2294834e-09 0.97387102  69.29607 0.022625574 0.11607898 0.089529307 0.70972039  3.104355     -22.569411        -22.569411 901.97244                  901.97244
      5     428.09006 2.2339902e-09 0.97345506  69.27979 0.022481998  0.1155888 0.091094528 0.71090436 3.1063744     -22.569411        -22.569411 901.31894                  901.31894
      8     428.08419 2.2499476e-09 0.97472153  69.58301 0.022538966 0.11516129 0.094621057 0.71418373  3.113492     -22.569411        -22.569411 901.30721                  901.30721
10 428.60662 2.1947882e-09 0.97219323 69.396612  0.02254521 0.11557321 0.080543495 0.71177797 3.0886707 -22.569411 -22.569411 902.35205 902.35205
 2 428.06691 2.1753484e-09 0.97194393 69.184196 0.022476097 0.11599868 0.075674973 0.70926088  3.079774 -22.569411 -22.569411 901.27265 901.27265
 2 425.13465 2.1643894e-09 0.96707171 67.967818 0.022394045 0.11867939 0.069995641 0.69313616 3.0747234 -22.569411 -22.569411 895.40813 895.40813
 2 425.88852 2.2522233e-09 0.97698852 69.042478 0.022397733 0.11578877 0.095691391 0.70867085 3.1145029 -22.569411 -22.569411 896.91585 896.91585
 1 424.58301 2.2743208e-09 0.97023611 68.211206 0.022347294 0.11764899 0.097211182 0.69763719 3.1242665 -22.569411 -22.569411 894.30484 894.30484
 3 423.46521 2.2164985e-09 0.96500815 67.377752 0.022279336 0.11957128 0.081970662 0.68602591 3.0985138 -22.569411 -22.569411 892.06924 892.06924
 5 423.69925 2.2167771e-09 0.96488533 67.363082 0.022301152 0.11964158 0.082015914 0.68568615 3.0986395 -22.569411 -22.569411 892.53731 892.53731
