#weight  minuslogpost            As         ns        H0       ombh2      omch2         tau   omega_de      logA  minuslogprior  minuslogprior__0      chi2  chi2__ffp8_1_raw_lgmca_0002
      5     417.44735 1.9759159e-09 0.95574562 66.891668 0.022475147  0.1210745 0.022431154 0.67764905 2.9836171     -22.569411        -22.569411 880.03352                    880.03352
      9     419.36737 1.9933863e-09 0.96138453 67.973893 0.022678333 0.11906024 0.029873344 0.69175144 2.9924199     -22.569411        -22.569411 883.87356                    883.87356
      4     420.44916  1.983476e-09 0.96177407 68.070143 0.022687966 0.11884246 0.027763458 0.69307177 2.9874359     -22.569411        -22.569411 886.03714                    886.03714
     14       420.602 1.9863666e-09 0.96228724 68.164904 0.022694854 0.11858303 0.028834787 0.69446805 2.9888922     -22.569411        -22.569411 886.34282                    886.34282
      3     420.33476   1.98706e-09 0.96178004 68.069244 0.022691604 0.11877195 0.028833367 0.69320799 2.9892413     -22.569411        -22.569411 885.80835                    885.80835
      2      420.3114 2.0853435e-09 0.95898318 67.346854 0.022541112 0.12001046 0.050529164 0.68419229 3.0375187     -22.569411        -22.569411 885.76162                    885.76162
      3     419.67415 2.1950358e-09 0.96468068 68.642021 0.022639644 0.11693307 0.080339336 0.70231967 3.0887835     -22.569411        -22.569411 884.48712                    884.48712
      1     420.32455 2.1544198e-09 0.96571002 68.682365 0.022653758 0.11704271 0.070687517 0.70240694 3.0701066     -22.569411        -22.569411 885.78792                    885.78792
      1     420.06685 2.1496943e-09  0.9560474 66.779437  0.02233806 0.12150589 0.063552682  0.6759047 3.0679107     -22.569411        -22.569411 885.27253                    885.27253
      2     417.59824 2.1393874e-09 0.95874786 66.713239 0.022281756  0.1215462 0.062573539 0.67529713 3.0631046     -22.569411        -22.569411  880.3353                     880.3353
     16     418.31606 2.1392217e-09 0.95906778 66.660687 0.022249313 0.12156665 0.062472882 0.67481195 3.0630271     -22.569411        -22.569411 881.77095                    881.77095
      8     418.71902 2.0389319e-09 0.96249467 66.881326 0.022338299 0.12124133 0.039690473 0.67748232 3.0150112     -22.569411        -22.569411 882.57686                    882.57686
      4     416.86571 2.0592134e-09 0.96201283 66.902506 0.022257785 0.12088145 0.044811094 0.67867041 3.0249091     -22.569411        -22.569411 878.87024                    878.87024
      2     415.88845 2.0212941e-09 0.95937264 66.720949 0.022312787 0.12154681 0.034787839 0.67530109  3.006323     -22.569411        -22.569411 876.91573                    876.91573
     21     415.68431 2.0326098e-09 0.96037281 67.162581 0.022472289 0.12051006 0.038473653 0.68150197 3.0119057     -22.569411        -22.569411 876.50744                    876.50744
      1     418.34076 2.1476264e-09 0.96450065 68.266936 0.022543929 0.11786026 0.068282199  0.6972554 3.0669483     -22.569411        -22.569411 881.82034                    881.82034
      6     418.36228 2.1472646e-09 0.96460747 68.288169 0.022549748 0.11781358 0.068263568 0.69753126 3.0667798     -22.569411        -22.569411 881.86338                    881.86338
      2     419.00363 2.1888666e-09 0.95513785 66.865999 0.022393389 0.12097169 0.073757947 0.67781433  3.085969     -22.569411        -22.569411 883.14609                    883.14609
      1     418.47842 2.1571226e-09 0.95478164  66.70616 0.022469498 0.12159944 0.066583857 0.67468663 3.0713603     -22.569411        -22.569411 882.09566                    882.09566
      4     418.59022 2.1686124e-09 0.95634547 66.574398 0.022352567 0.12206074 0.068972518 0.67262068 3.0766726     -22.569411        -22.569411 882.31927                    882.31927
 6 420.63119 2.1719485e-09 0.95259464 66.060577 0.022355494 0.12336802 0.067872819 0.66450583 3.0782098 -22.569411 -22.569411  886.4012  886.4012
 1  421.2858 2.1650983e-09 0.95160887 65.887755 0.022343211 0.12379794 0.065800334 0.66178151 3.0750508 -22.569411 -22.569411 887.71042 887.71042
 4  421.6744 2.0755054e-09 0.95311962 66.164216 0.022489842 0.12380992 0.044735276 0.66423973 3.0327898 -22.569411 -22.569411 888.48762 888.48762
 1 421.44222 2.0685373e-09 0.95494037 65.988033 0.022339259 0.12399295  0.04285802 0.66236991 3.0294269 -22.569411 -22.569411 888.02326 888.02326
 4 419.38229 2.0579232e-09 0.95212191 65.411291  0.02217171 0.12473873 0.039736397 0.65503835 3.0242824 -22.569411 -22.569411 883.90341 883.90341
 1 419.27719  2.057388e-09 0.95209487  65.41217 0.022175755 0.12474853 0.039550442 0.65501526 3.0240223 -22.569411 -22.569411 883.69319 883.69319
 6 419.41013 2.0944887e-09 0.95548089 66.560735 0.022315639 0.12236641 0.050430995 0.67187968 3.0418945 -22.569411 -22.569411 883.95908 883.95908
 2 417.31625 2.0371563e-09 0.95170384 65.785371  0.02223142  0.1237594 0.034550006 0.66107531   3.01414 -22.569411 -22.569411 879.77132 879.77132
 6 416.71736 1.9912994e-09    0.95644 66.494547 0.022289263  0.1220426  0.02628154 0.67201814 2.9913725 -22.569411 -22.569411 878.57354 878.57354
 3 415.57946 2.0211517e-09 0.95727974 66.605162 0.022307267  0.1218835 0.033421686 0.67342468 3.0062526 -22.569411 -22.569411 876.29773 876.29773
 9 417.20921 2.0336795e-09 0.95876914 66.348223 0.022222825 0.12243153 0.036670747  0.6698373 3.0124318 -22.569411 -22.569411 879.55724 879.55724
15 417.61868 2.1579032e-09 0.95623593 66.599527 0.022370586 0.12181124 0.066854995 0.67338956 3.0717221 -22.569411 -22.569411 880.37618 880.37618
 4 419.72471 2.1591502e-09 0.96339593 67.860594 0.022511278 0.11904182 0.071295795 0.69112407 3.0722998 -22.569411 -22.569411 884.58824 884.58824
