#weight  minuslogpost            As         ns        H0       ombh2      omch2         tau   omega_de      logA  minuslogprior  minuslogprior__0      chi2  chi2__ffp8_1_raw_lgmca_0002
      4     417.37717 2.0597733e-09 0.96634028 67.781458 0.022345125 0.11875673  0.04797247 0.69138458  3.025181     -22.569411        -22.569411 879.89316                    879.89316
      3     418.80167 2.1065764e-09 0.96772638 68.355487 0.022393813 0.11745389  0.05977051 0.69923026 3.0476492     -22.569411        -22.569411 882.74216                    882.74216
     18      420.7309 2.1488268e-09  0.9703073 68.621927 0.022315034 0.11637853 0.071669954 0.70401228 3.0675071     -22.569411        -22.569411 886.60062                    886.60062
     12     419.23126 2.0800083e-09 0.96838862  68.54409 0.022386673 0.11688343 0.054409768 0.70211254  3.034957     -22.569411        -22.569411 883.60134                    883.60134
      1     419.99267  2.029293e-09 0.96735939 68.152174 0.022351656 0.11772543 0.041851835 0.69693919 3.0102725     -22.569411        -22.569411 885.12417                    885.12417
      3     420.17295  1.994015e-09 0.96170752 67.367776 0.022332476 0.11996551 0.029975563 0.68494718 2.9927353     -22.569411        -22.569411 885.48471                    885.48471
      1     420.72868 1.9898959e-09 0.96263671 67.380997 0.022268528 0.11992177 0.028788645 0.68530799 2.9906674     -22.569411        -22.569411 886.59618                    886.59618
      1     420.89635 2.0683218e-09 0.96236362 67.585663 0.022231536 0.11914651 0.047348603 0.68898922 3.0293227     -22.569411        -22.569411 886.93152                    886.93152
      1     418.86482 2.0054468e-09 0.95747315 66.775623 0.022164321 0.12097947  0.02994277  0.6774379  2.998452     -22.569411        -22.569411 882.86845                    882.86845
      5     418.84283  2.000372e-09 0.95764475 66.750065 0.022152111 0.12099438  0.02883321 0.67718478 2.9959183     -22.569411        -22.569411 882.82449                    882.82449
      9     419.31673 1.9726609e-09 0.95448168 66.259503 0.022157561 0.12214565  0.02087003 0.66975234 2.9819684     -22.569411        -22.569411 883.77227                    883.77227
     19     418.92026 1.9820847e-09 0.95332194 66.207194 0.022183224 0.12218587 0.022658525    0.66908 2.9867343     -22.569411        -22.569411 882.97935                    882.97935
      4      419.1302 2.0402039e-09 0.95762604 66.532248 0.022247288 0.12109718  0.04007308 0.67462035 3.0156349     -22.569411        -22.569411 883.39923                    883.39923
      1     420.23973 2.0210867e-09 0.95707642 66.511908  0.02226805 0.12118473 0.035392309 0.67417648 3.0062204     -22.569411        -22.569411 885.61828                    885.61828
      1     421.26721 2.0135742e-09  0.9570396 66.487626 0.022251252 0.12120049 0.033636965 0.67394079 3.0024964     -22.569411        -22.569411 887.67324                    887.67324
