#weight  minuslogpost            As         ns        H0       ombh2      omch2         tau   omega_de      logA  minuslogprior  minuslogprior__0      chi2  chi2__ffp8_1_raw_lgmca_0002
      2     417.89766 2.1762144e-09 0.96195203 68.187744 0.022593498 0.11821603 0.074174429 0.69568001  3.080172     -22.569411        -22.569411 880.93415                    880.93415
      1     416.24148 2.0076643e-09 0.95374491 66.224724 0.022386471 0.12302294 0.028733294  0.6668831 2.9995571     -22.569411        -22.569411 877.62179                    877.62179
      4     416.54106 2.0038862e-09 0.95339074 66.186018 0.022393851 0.12312104 0.027749667  0.6662526 2.9976735     -22.569411        -22.569411 878.22095                    878.22095
     13     416.59084 2.0081292e-09 0.95298236 66.214562 0.022403393 0.12309709 0.028560665 0.66657313 2.9997886     -22.569411        -22.569411 878.32051                    878.32051
      1     418.63712 2.0105793e-09 0.95211351 66.361667 0.022461712 0.12291444 0.029235045 0.66833204  3.001008     -22.569411        -22.569411 882.41306                    882.41306
      4     417.83673 2.0421052e-09 0.95182738 66.481715 0.022506113 0.12258472 0.036794771 0.67017432 3.0165663     -22.569411        -22.569411 880.81229                    880.81229
      2     418.37095 2.0241849e-09 0.95095461 66.315318 0.022490482 0.12293658 0.032197607  0.6677525 3.0077522     -22.569411        -22.569411 881.88073                    881.88073
      6     418.98469 2.0317623e-09 0.95042276 66.256255 0.022451538 0.12300331 0.033164963 0.66709659 3.0114886     -22.569411        -22.569411  883.1082                     883.1082
      3     417.33468  2.052379e-09  0.9526826 66.467157  0.02243142 0.12238456 0.039324234 0.67065195 3.0215847     -22.569411        -22.569411 879.80819                    879.80819
      6     416.94786 2.0378664e-09  0.9528477 66.582043 0.022445062 0.12213848 0.036265213 0.67231185 3.0144885     -22.569411        -22.569411 879.03455                    879.03455
      6     416.78508 2.0357115e-09 0.95651874 66.549837 0.022298103  0.1218615 0.036412284 0.67295183 3.0134305     -22.569411        -22.569411 878.70898                    878.70898
      4     415.67565 1.9861401e-09 0.95749227 66.793779 0.022437527 0.12147667 0.025519055 0.67588639 2.9887782     -22.569411        -22.569411 876.49011                    876.49011
      5     415.54967 1.9870885e-09 0.95736362 66.738843 0.022417534 0.12151696  0.02574331 0.67530702 2.9892556     -22.569411        -22.569411 876.23816                    876.23816
      4     416.34705 2.1338213e-09 0.95835444 67.014318 0.022355216 0.12043451 0.062400978 0.68052004 3.0604995     -22.569411        -22.569411 877.83293                    877.83293
      8     416.07143 2.1256813e-09 0.95904772 66.985465 0.022275611 0.12062329 0.060396794 0.68000144 3.0566775     -22.569411        -22.569411 877.28169                    877.28169
      5     417.74849 2.0959327e-09 0.95925326 66.477249 0.022266958 0.12212762 0.052260156 0.67170551 3.0425837     -22.569411        -22.569411  880.6358                     880.6358
      2     416.09094 2.0815067e-09 0.95946781 66.888643 0.022385305 0.12126262 0.049250059 0.67740023 3.0356771     -22.569411        -22.569411 877.32069                    877.32069
