#weight  minuslogpost            As         ns        H0       ombh2      omch2         tau   omega_de      logA  minuslogprior  minuslogprior__0      chi2  chi2__ffp8_1_raw_lgmca_0002
      3     1298.9375 2.3109938e-09 0.95897578 66.701681 0.022483229 0.12163738  0.10141409 0.67452681 3.1402627     -22.569411        -22.569411 2643.0139                    2643.0139
      3     1299.3089 2.2462695e-09 0.95811752 66.450281 0.022455018  0.1223044 0.085623571 0.67061274 3.1118559     -22.569411        -22.569411 2643.7567                    2643.7567
      2     1300.3012 2.2498974e-09 0.95998708 67.185943 0.022567555 0.12062761  0.08712799 0.68125198 3.1134697     -22.569411        -22.569411 2645.7412                    2645.7412
      4     1300.1597 2.2645594e-09 0.95872493 67.041632 0.022576081 0.12102472 0.089781038 0.67897574 3.1199653     -22.569411        -22.569411 2645.4583                    2645.4583
      2     1299.3741 2.3699359e-09 0.95824082 66.974109 0.022439291 0.12111247  0.11475339 0.67843743  3.165448     -22.569411        -22.569411  2643.887                     2643.887
      3      1299.155 2.3428781e-09    0.96072 67.218643  0.02256453 0.12085636  0.10883853 0.68106245 3.1539652     -22.569411        -22.569411 2643.4489                    2643.4489
      2     1299.9933 2.3491236e-09  0.9646037 68.470149 0.022755325 0.11827812  0.11291595 0.69770754 3.1566274     -22.569411        -22.569411 2645.1255                    2645.1255
      1     1298.9378 2.2896018e-09 0.96578057 68.656563 0.022776845 0.11720455  0.10065237 0.70157877  3.130963     -22.569411        -22.569411 2643.0144                    2643.0144
      1     1299.0546 2.2777534e-09 0.96624356 68.766489 0.022795044 0.11706241 0.098296153 0.70279416 3.1257747     -22.569411        -22.569411 2643.2481                    2643.2481
      3     1299.5521 2.2386235e-09 0.96489559 68.596544 0.022816875 0.11753308 0.088432441 0.70027306 3.1084463     -22.569411        -22.569411  2644.243                     2644.243
      1     1300.3815 2.2582582e-09 0.96561964 68.730144 0.022826853 0.11742971 0.092604545 0.70163486 3.1171789     -22.569411        -22.569411 2645.9018                    2645.9018
      1     1299.5974 2.3147383e-09 0.96022595  68.56495 0.022865702  0.1179615  0.10382328  0.6989816 3.1418817     -22.569411        -22.569411 2644.3337                    2644.3337
      6     1299.2974 2.3564355e-09 0.95810473  68.45755 0.022841078 0.11821993  0.11276902 0.69753747 3.1597352     -22.569411        -22.569411 2643.7337                    2643.7337
      2     1301.0428  2.338818e-09 0.95520679 67.928784 0.022787402 0.11900574  0.10709303 0.69122366 3.1522307     -22.569411        -22.569411 2647.2245                    2647.2245
      2     1298.9269 2.3743349e-09 0.95237839 67.332967 0.022691171  0.1203439  0.11372097 0.68299557 3.1673024     -22.569411        -22.569411 2642.9927                    2642.9927
      3     1299.0007 2.3839763e-09 0.95339757 67.472006 0.022707962 0.12012257  0.11588432    0.68475 3.1713549     -22.569411        -22.569411 2643.1403                    2643.1403
      2     1299.5731 2.3734114e-09 0.95190546 67.287947 0.022726062 0.12060773   0.1128877 0.68191147 3.1669134     -22.569411        -22.569411 2644.2849                    2644.2849
      4     1298.6594 2.3693445e-09  0.9518891 67.093595 0.022691676 0.12127766  0.11158103 0.67865414 3.1651984     -22.569411        -22.569411 2642.4577                    2642.4577
      2     1298.6584 2.3777342e-09 0.95871731 68.266299 0.022816792 0.11858933  0.11682277  0.6950998 3.1687331     -22.569411        -22.569411 2642.4556                    2642.4556
      2     1299.5727 2.3662219e-09 0.96001664 68.303664 0.022652976 0.11806787  0.11494242 0.69690217 3.1638796     -22.569411        -22.569411 2644.2842                    2644.2842
4 1298.8613 2.3597676e-09 0.96015637 68.401192 0.022689919 0.11787439  0.11410158 0.69810045 3.1611482 -22.569411 -22.569411 2642.8613 2642.8613
3 1298.9551 2.2987771e-09 0.95411493 67.557181 0.022695898 0.12005552 0.097671323 0.68571778 3.1349624 -22.569411 -22.569411 2643.0491 2643.0491
4 1298.8949  2.301538e-09 0.95415497 67.581631 0.022703157 0.12001333 0.098354467 0.68602161 3.1361627 -22.569411 -22.569411 2642.9285 2642.9285
5 1299.3637 2.2878376e-09 0.95387797 67.441864 0.022713794 0.12042946 0.094677376 0.68378061 3.1301922 -22.569411 -22.569411 2643.8663 2643.8663
1 1298.7766 2.2211073e-09 0.95533542 66.987673 0.022623195 0.12174065 0.079437145 0.67675793 3.1005909 -22.569411 -22.569411  2642.692  2642.692
2 1298.5709   2.25736e-09 0.95705611  67.45987 0.022666531 0.12065259 0.089294244 0.68356294 3.1167811 -22.569411 -22.569411 2642.2807 2642.2807
6 1299.0465 2.2562068e-09 0.95787871 67.567096 0.022694964 0.12054575 0.088998191 0.68473823 3.1162701 -22.569411 -22.569411 2643.2319 2643.2319
5 1299.0007 2.2664458e-09 0.95776212 67.584557 0.022690655 0.12047353 0.091521927 0.68506865  3.120798 -22.569411 -22.569411 2643.1403 2643.1403
1 1298.8089 2.2582262e-09 0.95762166 67.468505 0.022665845 0.12067905 0.089508354 0.68358732 3.1171647 -22.569411 -22.569411 2642.7565 2642.7565
3 1298.7346 2.2487422e-09 0.95682443 67.347519 0.022663564 0.12096836  0.08694421 0.68181664 3.1129561 -22.569411 -22.569411  2642.608  2642.608
1 1297.5456 2.2574629e-09 0.95700842 67.629693 0.022565375 0.11966029 0.090420391 0.68754084 3.1168267 -22.569411 -22.569411   2640.23   2640.23
7 1297.6323 2.2375035e-09 0.95673649 67.429775 0.022498365 0.12009259 0.085556431 0.68488192 3.1079458 -22.569411 -22.569411 2640.4034 2640.4034
3 1297.6558 2.2375195e-09 0.95683411 67.444205 0.022499031 0.12005913 0.085596942 0.68508884  3.107953 -22.569411 -22.569411 2640.4503 2640.4503
1 1298.0003 2.2424265e-09 0.95807107 67.768068  0.02253845 0.11932033 0.087843149 0.68961444 3.1101436 -22.569411 -22.569411 2641.1395 2641.1395
1 1297.8238 2.2412868e-09 0.95773037 67.671603 0.022522765 0.11948579 0.087486754 0.68840184 3.1096353 -22.569411 -22.569411 2640.7865 2640.7865
1 1298.8158 2.2963257e-09 0.95725408 67.702261 0.022466616 0.11935534  0.10016332  0.6890911 3.1338954 -22.569411 -22.569411 2642.7704 2642.7704
1 1298.5275 2.2996103e-09 0.95720465 67.850119 0.022479561 0.11892161  0.10099238 0.69135869 3.1353248 -22.569411 -22.569411 2642.1939 2642.1939
2 1299.3886 2.3396867e-09 0.94903145 66.686733  0.02250809 0.12170293  0.10652885 0.67417757 3.1526021 -22.569411 -22.569411 2643.9159 2643.9159
2  1300.221 2.2384385e-09 0.94838014 66.063956 0.022451098 0.12294597 0.083624748 0.66528812 3.1083636 -22.569411 -22.569411 2645.5808 2645.5808
1 1299.3936 2.1418174e-09 0.94599509 64.741955 0.022098803 0.12529533 0.058624172  0.6467147 3.0642398 -22.569411 -22.569411  2643.926  2643.926
 1  1299.095 2.2041714e-09 0.94610762 65.146617 0.022051155 0.12384023 0.074538829 0.65463078 3.0929367 -22.569411 -22.569411 2643.3288 2643.3288
 3 1299.7501 2.1362146e-09 0.94338497 64.529947 0.021926868 0.12525602 0.057036322  0.6448968 3.0616205 -22.569411 -22.569411  2644.639  2644.639
 3 1299.9572 2.0957963e-09 0.94376207 64.848168 0.021917634 0.12417614 0.048774222 0.65096323 3.0425186 -22.569411 -22.569411 2645.0532 2645.0532
 1 1299.0114 2.1542869e-09  0.9459967 66.192907 0.022356873 0.12222242 0.064588762  0.6684574 3.0700449 -22.569411 -22.569411 2643.1616 2643.1616
 1 1298.7876 2.1057062e-09 0.95298056 67.462236 0.022450045 0.11939886 0.055468433 0.68681556  3.047236 -22.569411 -22.569411  2642.714  2642.714
 6 1298.7555 2.0572883e-09 0.94791992 66.730968 0.022412716 0.12127019 0.041205946 0.67579537 3.0239739 -22.569411 -22.569411 2642.6499 2642.6499
 2 1298.9018 2.0577513e-09 0.94791831 66.755634 0.022415874 0.12123834 0.041262961 0.67609929 3.0241989 -22.569411 -22.569411 2642.9425 2642.9425
 5 1298.1124 2.0238295e-09  0.9494509 66.751716 0.022302778 0.12100241 0.034051456 0.67684458 3.0075766 -22.569411 -22.569411 2641.3636 2641.3636
 6 1298.3833 2.0251019e-09 0.95324825 67.108965 0.022277065  0.1199983 0.036053135 0.68256266 3.0082051 -22.569411 -22.569411 2641.9055 2641.9055
 3 1298.4109 2.0172032e-09 0.95344849 67.102646 0.022268497 0.11999404 0.034286592 0.68253136 3.0042971 -22.569411 -22.569411 2641.9606 2641.9606
 1 1299.2749  2.007019e-09 0.94720134 65.636121 0.021969454 0.12275686  0.02805003 0.66246736 2.9992356 -22.569411 -22.569411 2643.6885 2643.6885
