#weight  minuslogpost            As         ns        H0       ombh2      omch2         tau   omega_de      logA  minuslogprior  minuslogprior__0      chi2  chi2__ffp8_1_raw_lgmca_0002
      6     1298.2959 2.1132345e-09 0.94656455 65.997539 0.022022611 0.12236749 0.054403012 0.66692596 3.0508048     -22.569411        -22.569411 2641.7306                    2641.7306
      2     1298.3017 2.0373291e-09 0.94154218 65.135038 0.021932275 0.12449354 0.033886624 0.65324829 3.0142248     -22.569411        -22.569411 2641.7423                    2641.7423
      1     1298.8811 2.0170315e-09 0.94230872 65.590659 0.021991279 0.12357529 0.029527741  0.6600462  3.004212     -22.569411        -22.569411  2642.901                     2642.901
      7     1299.2298 2.0153749e-09 0.94009189 65.249231 0.021914596 0.12427546 0.028158462  0.6550147 3.0033903     -22.569411        -22.569411 2643.5985                    2643.5985
      1     1299.1757 2.0192769e-09 0.94016562 65.267262 0.021926814 0.12426684 0.029102888 0.65519683 3.0053246     -22.569411        -22.569411 2643.4903                    2643.4903
      2     1299.6696 1.9912086e-09 0.93846936 64.980127  0.02190901 0.12500519 0.021746303 0.65043639 2.9913269     -22.569411        -22.569411 2644.4781                    2644.4781
      1     1299.9004 2.0595916e-09 0.93676871 64.529376 0.021917074 0.12644592  0.03599342 0.64205647 3.0250928     -22.569411        -22.569411 2644.9395                    2644.9395
      5      1299.732 2.0670431e-09  0.9375546 64.546746 0.021891243 0.12632164 0.038138068 0.64260941 3.0287042     -22.569411        -22.569411 2644.6028                    2644.6028
      1     1299.8095 2.0774129e-09  0.9365695 64.688792  0.02199565 0.12619056 0.040549873 0.64424098 3.0337084     -22.569411        -22.569411 2644.7578                    2644.7578
      5     1300.0212 2.0844708e-09 0.94151067 65.747673 0.022131121 0.12374966 0.044486771 0.66094108 3.0371001     -22.569411        -22.569411 2645.1811                    2645.1811
      2     1300.3852 2.0710993e-09 0.94004867 65.606895 0.022129872 0.12404761 0.040698823 0.65879511 3.0306646     -22.569411        -22.569411 2645.9091                    2645.9091
      6      1300.358 2.1083343e-09 0.94199838 66.284895 0.022213672 0.12228677 0.052076364 0.66955642 3.0484833     -22.569411        -22.569411 2645.8548                    2645.8548
      1     1300.3516 2.1052453e-09 0.94183938 66.254527 0.022209372 0.12234305 0.051254594 0.66913502 3.0470171     -22.569411        -22.569411  2645.842                     2645.842
      2     1300.4002 2.0505383e-09 0.94636336 66.898344 0.022288242 0.12098621 0.040280953  0.6783283 3.0206874     -22.569411        -22.569411 2645.9392                    2645.9392
      6      1297.849  2.155726e-09 0.94944701  66.86915 0.022392808 0.12115643 0.065269706 0.67743281 3.0707126     -22.569411        -22.569411 2640.8369                    2640.8369
      2     1298.1377  2.131758e-09 0.94765474 66.670724 0.022386327 0.12170197 0.058924446 0.67429718 3.0595321     -22.569411        -22.569411 2641.4142                    2641.4142
      1      1301.477 2.1143495e-09  0.9434926 66.367622 0.022350162 0.12247437 0.052216512 0.66964391 3.0513323     -22.569411        -22.569411 2648.0929                    2648.0929
      3     1300.3588 2.0486182e-09 0.94497658 65.960663 0.022224075 0.12292376 0.036511498 0.66481183 3.0197506     -22.569411        -22.569411 2645.8563                    2645.8563
      2     1300.6386 2.0564999e-09 0.94480264 65.660558 0.022135487 0.12359993 0.037761214 0.66037797 3.0235905     -22.569411        -22.569411 2646.4161                    2646.4161
      2     1299.1031 2.0306826e-09 0.94205943 64.887487 0.022013589 0.12554524 0.030020696 0.64790648 3.0109571     -22.569411        -22.569411 2643.3451                    2643.3451
2 1299.8764 1.9840445e-09 0.94275066 64.706236   0.0221223 0.12626179 0.019079428 0.64396014 2.9877225 -22.569411 -22.569411 2644.8917 2644.8917
