#weight  minuslogpost            As         ns        H0       ombh2      omch2         tau   omega_de      logA  minuslogprior  minuslogprior__0      chi2  chi2__ffp8_1_raw_857_0003
      4     411.42859 2.2277772e-09 0.97363978 68.811853 0.022477692 0.11618206  0.10383443 0.70571533 3.1035894     -22.569411        -22.569411   867.996                    867.996
      5     411.70094 2.2085298e-09 0.97355342 67.962103 0.022380351 0.11835052 0.097725228  0.6938262 3.0949121     -22.569411        -22.569411  868.5407                   868.5407
      2     412.43996 2.2127005e-09 0.97255826 67.857853 0.022380544 0.11862556 0.098061492 0.69228701 3.0967988     -22.569411        -22.569411 870.01875                  870.01875
      3     412.37508 2.2125213e-09 0.97261887 67.865386 0.022379985 0.11860008  0.09806477 0.69241186 3.0967178     -22.569411        -22.569411 869.88899                  869.88899
      1     411.57939 2.2252713e-09 0.97314325 68.126187 0.022389837 0.11801796  0.10146441 0.69599538 3.1024639     -22.569411        -22.569411  868.2976                   868.2976
      4     414.72771 2.0472932e-09 0.97652482 68.169159 0.022337011  0.1180323 0.060614076 0.69646136 3.0191036     -22.569411        -22.569411 874.59425                  874.59425
      7     413.96326 2.0386497e-09 0.97216762 67.359478 0.022262056 0.11982334 0.055793043 0.68533809 3.0148728     -22.569411        -22.569411 873.06534                  873.06534
      4     413.66047 2.1527871e-09 0.97163348 67.392457  0.02226421  0.1197247 0.082992358 0.68585842 3.0693484     -22.569411        -22.569411 872.45977                  872.45977
      1     411.88234 2.1920425e-09 0.97100097 67.610554 0.022361549 0.11943236 0.092487828 0.68830843 3.0874189     -22.569411        -22.569411  868.9035                   868.9035
      3     411.39566 2.1461688e-09 0.97279457 67.622037 0.022370536 0.11934044 0.083014846 0.68859565 3.0662694     -22.569411        -22.569411 867.93015                  867.93015
      1     413.01679 2.1467603e-09 0.96752989  67.26536 0.022236426 0.12005538 0.080136415 0.68400072  3.066545     -22.569411        -22.569411 871.17239                  871.17239
      2     412.75911  2.126467e-09 0.96728067 67.141721  0.02220954 0.12030711 0.075189851 0.68233708  3.057047     -22.569411        -22.569411 870.65704                  870.65704
     11     412.53456 2.1709393e-09 0.96536203 66.744587  0.02213275 0.12107577 0.084998145 0.67699253  3.077745     -22.569411        -22.569411 870.20793                  870.20793
      1     412.56003 2.1713521e-09 0.96535008 66.750616 0.022134639 0.12106623 0.085086413 0.67706805 3.0779351     -22.569411        -22.569411 870.25888                  870.25888
      5     413.43996 2.1393834e-09 0.96550648 66.704973   0.0220815  0.1210931  0.07745258 0.67668501 3.0631028     -22.569411        -22.569411 872.01874                  872.01874
      8     413.94956 2.1093591e-09 0.96597629 66.775278 0.022101929 0.12107933 0.070360495 0.67735053 3.0489692     -22.569411        -22.569411 873.03793                  873.03793
      3     411.82733 2.1793365e-09 0.96609811 66.884378 0.022125074 0.12057526 0.087722192 0.67947731 3.0816056     -22.569411        -22.569411 868.79349                  868.79349
      1     411.44669 2.1847876e-09 0.96637982 66.896985 0.022125391 0.12047822  0.08926864 0.67981423 3.0841037     -22.569411        -22.569411  868.0322                   868.0322
      9     413.33898 2.1848123e-09 0.96362939 66.668045 0.022118837 0.12093433  0.08799965 0.67659994  3.084115     -22.569411        -22.569411 871.81679                  871.81679
