#    L    TT             EE             TE             PP             TP          
  2110    0.20592E+03    0.40781E+01   -0.50063E+01    0.94564E+05   -0.98689E+00
  2111    0.20516E+03    0.40831E+01   -0.48409E+01    0.94492E+05   -0.10327E+01
  2112    0.20439E+03    0.40890E+01   -0.46774E+01    0.94419E+05   -0.10772E+01
  2113    0.20361E+03    0.40957E+01   -0.45163E+01    0.94347E+05   -0.11203E+01
  2114    0.20283E+03    0.41033E+01   -0.43573E+01    0.94275E+05   -0.11622E+01
  2115    0.20204E+03    0.41118E+01   -0.42005E+01    0.94203E+05   -0.12026E+01
  2116    0.20125E+03    0.41212E+01   -0.40460E+01    0.94131E+05   -0.12418E+01
  2117    0.20045E+03    0.41316E+01   -0.38941E+01    0.94059E+05   -0.12796E+01
  2118    0.19964E+03    0.41425E+01   -0.37442E+01    0.93987E+05   -0.13161E+01
  2119    0.19883E+03    0.41543E+01   -0.35969E+01    0.93915E+05   -0.13512E+01
  2120    0.19800E+03    0.41668E+01   -0.34519E+01    0.93843E+05   -0.13850E+01
  2121    0.19718E+03    0.41803E+01   -0.33096E+01    0.93771E+05   -0.14175E+01
  2122    0.19634E+03    0.41943E+01   -0.31697E+01    0.93700E+05   -0.14486E+01
  2123    0.19551E+03    0.42092E+01   -0.30323E+01    0.93628E+05   -0.14784E+01
  2124    0.19467E+03    0.42247E+01   -0.28975E+01    0.93557E+05   -0.15068E+01
  2125    0.19382E+03    0.42411E+01   -0.27654E+01    0.93486E+05   -0.15340E+01
  2126    0.19298E+03    0.42579E+01   -0.26358E+01    0.93415E+05   -0.15597E+01
  2127    0.19212E+03    0.42757E+01   -0.25091E+01    0.93343E+05   -0.15842E+01
  2128    0.19127E+03    0.42940E+01   -0.23849E+01    0.93272E+05   -0.16072E+01
  2129    0.19041E+03    0.43129E+01   -0.22635E+01    0.93201E+05   -0.16290E+01
  2130    0.18954E+03    0.43325E+01   -0.21449E+01    0.93131E+05   -0.16494E+01
  2131    0.18868E+03    0.43529E+01   -0.20291E+01    0.93060E+05   -0.16685E+01
  2132    0.18781E+03    0.43738E+01   -0.19160E+01    0.92989E+05   -0.16862E+01
  2133    0.18694E+03    0.43953E+01   -0.18059E+01    0.92919E+05   -0.17026E+01
  2134    0.18606E+03    0.44174E+01   -0.16986E+01    0.92848E+05   -0.17176E+01
  2135    0.18518E+03    0.44402E+01   -0.15940E+01    0.92778E+05   -0.17313E+01
  2136    0.18430E+03    0.44633E+01   -0.14925E+01    0.92707E+05   -0.17436E+01
  2137    0.18342E+03    0.44871E+01   -0.13939E+01    0.92637E+05   -0.17546E+01
  2138    0.18253E+03    0.45113E+01   -0.12982E+01    0.92567E+05   -0.17643E+01
  2139    0.18164E+03    0.45361E+01   -0.12054E+01    0.92497E+05   -0.17726E+01
  2140    0.18075E+03    0.45614E+01   -0.11156E+01    0.92427E+05   -0.17796E+01
  2141    0.17987E+03    0.45870E+01   -0.10288E+01    0.92357E+05   -0.17852E+01
  2142    0.17897E+03    0.46132E+01   -0.94501E+00    0.92287E+05   -0.17894E+01
  2143    0.17807E+03    0.46398E+01   -0.86427E+00    0.92217E+05   -0.17924E+01
  2144    0.17717E+03    0.46668E+01   -0.78638E+00    0.92148E+05   -0.17939E+01
  2145    0.17628E+03    0.46942E+01   -0.71172E+00    0.92078E+05   -0.17941E+01
  2146    0.17538E+03    0.47220E+01   -0.63996E+00    0.92009E+05   -0.17930E+01
  2147    0.17448E+03    0.47502E+01   -0.57128E+00    0.91939E+05   -0.17905E+01
  2148    0.17360E+03    0.47788E+01   -0.50567E+00    0.91870E+05   -0.17867E+01
  2149    0.17271E+03    0.48077E+01   -0.44307E+00    0.91801E+05   -0.17815E+01
  2150    0.17181E+03    0.48369E+01   -0.38354E+00    0.91732E+05   -0.17750E+01
  2151    0.17091E+03    0.48664E+01   -0.32707E+00    0.91663E+05   -0.17671E+01
  2152    0.17002E+03    0.48962E+01   -0.27364E+00    0.91594E+05   -0.17579E+01
  2153    0.16913E+03    0.49262E+01   -0.22328E+00    0.91525E+05   -0.17473E+01
  2154    0.16824E+03    0.49565E+01   -0.17597E+00    0.91456E+05   -0.17354E+01
  2155    0.16735E+03    0.49870E+01   -0.13171E+00    0.91387E+05   -0.17222E+01
  2156    0.16646E+03    0.50178E+01   -0.90463E-01    0.91319E+05   -0.17077E+01
  2157    0.16558E+03    0.50487E+01   -0.52259E-01    0.91250E+05   -0.16920E+01
  2158    0.16470E+03    0.50798E+01   -0.17071E-01    0.91182E+05   -0.16749E+01
  2159    0.16381E+03    0.51111E+01    0.15109E-01    0.91113E+05   -0.16566E+01
  2160    0.16294E+03    0.51425E+01    0.44289E-01    0.91045E+05   -0.16371E+01
  2161    0.16206E+03    0.51741E+01    0.70482E-01    0.90977E+05   -0.16163E+01
  2162    0.16119E+03    0.52058E+01    0.93691E-01    0.90908E+05   -0.15942E+01
  2163    0.16031E+03    0.52375E+01    0.11394E+00    0.90840E+05   -0.15710E+01
  2164    0.15944E+03    0.52693E+01    0.13123E+00    0.90772E+05   -0.15465E+01
  2165    0.15858E+03    0.53013E+01    0.14558E+00    0.90705E+05   -0.15208E+01
  2166    0.15772E+03    0.53332E+01    0.15701E+00    0.90637E+05   -0.14940E+01
  2167    0.15686E+03    0.53651E+01    0.16552E+00    0.90569E+05   -0.14660E+01
  2168    0.15600E+03    0.53971E+01    0.17113E+00    0.90501E+05   -0.14368E+01
  2169    0.15516E+03    0.54290E+01    0.17388E+00    0.90434E+05   -0.14064E+01
  2170    0.15432E+03    0.54610E+01    0.17378E+00    0.90366E+05   -0.13749E+01
  2171    0.15347E+03    0.54928E+01    0.17086E+00    0.90299E+05   -0.13423E+01
  2172    0.15264E+03    0.55247E+01    0.16513E+00    0.90232E+05   -0.13086E+01
  2173    0.15181E+03    0.55564E+01    0.15663E+00    0.90164E+05   -0.12737E+01
  2174    0.15098E+03    0.55881E+01    0.14538E+00    0.90097E+05   -0.12378E+01
  2175    0.15016E+03    0.56197E+01    0.13139E+00    0.90030E+05   -0.12008E+01
  2176    0.14934E+03    0.56510E+01    0.11470E+00    0.89963E+05   -0.11626E+01
  2177    0.14854E+03    0.56823E+01    0.95340E-01    0.89896E+05   -0.11235E+01
  2178    0.14774E+03    0.57134E+01    0.73325E-01    0.89829E+05   -0.10832E+01
  2179    0.14693E+03    0.57444E+01    0.48682E-01    0.89763E+05   -0.10420E+01
  2180    0.14614E+03    0.57751E+01    0.21444E-01    0.89696E+05   -0.99967E+00
  2181    0.14535E+03    0.58057E+01   -0.83676E-02    0.89629E+05   -0.95635E+00
  2182    0.14457E+03    0.58360E+01   -0.40722E-01    0.89563E+05   -0.91201E+00
  2183    0.14378E+03    0.58662E+01   -0.75560E-01    0.89496E+05   -0.86668E+00
  2184    0.14301E+03    0.58960E+01   -0.11288E+00    0.89430E+05   -0.82036E+00
  2185    0.14224E+03    0.59255E+01   -0.15263E+00    0.89364E+05   -0.77306E+00
  2186    0.14149E+03    0.59549E+01   -0.19477E+00    0.89298E+05   -0.72480E+00
  2187    0.14074E+03    0.59838E+01   -0.23928E+00    0.89231E+05   -0.67558E+00
  2188    0.13999E+03    0.60126E+01   -0.28611E+00    0.89165E+05   -0.62542E+00
  2189    0.13926E+03    0.60410E+01   -0.33524E+00    0.89099E+05   -0.57433E+00
  2190    0.13854E+03    0.60690E+01   -0.38661E+00    0.89034E+05   -0.52232E+00
  2191    0.13781E+03    0.60967E+01   -0.44021E+00    0.88968E+05   -0.46939E+00
  2192    0.13709E+03    0.61240E+01   -0.49599E+00    0.88902E+05   -0.41557E+00
  2193    0.13638E+03    0.61509E+01   -0.55392E+00    0.88836E+05   -0.36085E+00
  2194    0.13568E+03    0.61775E+01   -0.61397E+00    0.88771E+05   -0.30526E+00
  2195    0.13499E+03    0.62037E+01   -0.67614E+00    0.88705E+05   -0.24881E+00
  2196    0.13430E+03    0.62294E+01   -0.74029E+00    0.88640E+05   -0.19150E+00
  2197    0.13363E+03    0.62547E+01   -0.80639E+00    0.88575E+05   -0.13334E+00
  2198    0.13296E+03    0.62796E+01   -0.87445E+00    0.88509E+05   -0.74353E-01
  2199    0.13229E+03    0.63040E+01   -0.94447E+00    0.88444E+05   -0.14543E-01
  2200    0.13164E+03    0.63279E+01   -0.10164E+01    0.88379E+05    0.46077E-01
  2201    0.13099E+03    0.63514E+01   -0.10900E+01    0.88314E+05    0.10750E+00
  2202    0.13035E+03    0.63744E+01   -0.11656E+01    0.88249E+05    0.16970E+00
  2203    0.12973E+03    0.63970E+01   -0.12427E+01    0.88184E+05    0.23266E+00
  2204    0.12910E+03    0.64190E+01   -0.13216E+01    0.88120E+05    0.29638E+00
  2205    0.12850E+03    0.64404E+01   -0.14021E+01    0.88055E+05    0.36082E+00
  2206    0.12789E+03    0.64613E+01   -0.14842E+01    0.87990E+05    0.42597E+00
  2207    0.12729E+03    0.64817E+01   -0.15677E+01    0.87926E+05    0.49182E+00
  2208    0.12671E+03    0.65017E+01   -0.16526E+01    0.87861E+05    0.55834E+00
  2209    0.12613E+03    0.65210E+01   -0.17391E+01    0.87797E+05    0.62552E+00
  2210    0.12556E+03    0.65397E+01   -0.18271E+01    0.87733E+05    0.69334E+00
  2211    0.12500E+03    0.65579E+01   -0.19164E+01    0.87668E+05    0.76178E+00
  2212    0.12445E+03    0.65754E+01   -0.20071E+01    0.87604E+05    0.83083E+00
  2213    0.12391E+03    0.65925E+01   -0.20989E+01    0.87540E+05    0.90047E+00
  2214    0.12337E+03    0.66089E+01   -0.21919E+01    0.87476E+05    0.97067E+00
  2215    0.12284E+03    0.66248E+01   -0.22862E+01    0.87412E+05    0.10414E+01
  2216    0.12232E+03    0.66399E+01   -0.23815E+01    0.87348E+05    0.11127E+01
  2217    0.12182E+03    0.66545E+01   -0.24779E+01    0.87284E+05    0.11845E+01
  2218    0.12131E+03    0.66684E+01   -0.25754E+01    0.87221E+05    0.12568E+01
  2219    0.12083E+03    0.66817E+01   -0.26738E+01    0.87157E+05    0.13296E+01
  2220    0.12035E+03    0.66944E+01   -0.27732E+01    0.87094E+05    0.14029E+01
  2221    0.11987E+03    0.67064E+01   -0.28735E+01    0.87030E+05    0.14766E+01
  2222    0.11941E+03    0.67178E+01   -0.29744E+01    0.86967E+05    0.15507E+01
  2223    0.11895E+03    0.67285E+01   -0.30762E+01    0.86903E+05    0.16252E+01
  2224    0.11850E+03    0.67386E+01   -0.31788E+01    0.86840E+05    0.17001E+01
  2225    0.11806E+03    0.67481E+01   -0.32819E+01    0.86777E+05    0.17754E+01
  2226    0.11763E+03    0.67567E+01   -0.33856E+01    0.86714E+05    0.18511E+01
  2227    0.11721E+03    0.67648E+01   -0.34901E+01    0.86651E+05    0.19271E+01
  2228    0.11680E+03    0.67721E+01   -0.35950E+01    0.86588E+05    0.20034E+01
  2229    0.11640E+03    0.67788E+01   -0.37002E+01    0.86525E+05    0.20800E+01
  2230    0.11600E+03    0.67848E+01   -0.38061E+01    0.86462E+05    0.21569E+01
  2231    0.11562E+03    0.67900E+01   -0.39122E+01    0.86399E+05    0.22341E+01
  2232    0.11524E+03    0.67946E+01   -0.40188E+01    0.86337E+05    0.23115E+01
  2233    0.11487E+03    0.67986E+01   -0.41255E+01    0.86274E+05    0.23892E+01
  2234    0.11452E+03    0.68018E+01   -0.42324E+01    0.86212E+05    0.24671E+01
  2235    0.11418E+03    0.68044E+01   -0.43397E+01    0.86149E+05    0.25451E+01
  2236    0.11384E+03    0.68062E+01   -0.44469E+01    0.86087E+05    0.26234E+01
  2237    0.11351E+03    0.68073E+01   -0.45543E+01    0.86025E+05    0.27018E+01
  2238    0.11318E+03    0.68077E+01   -0.46620E+01    0.85962E+05    0.27803E+01
  2239    0.11287E+03    0.68075E+01   -0.47694E+01    0.85900E+05    0.28590E+01
  2240    0.11255E+03    0.68065E+01   -0.48766E+01    0.85838E+05    0.29378E+01
  2241    0.11224E+03    0.68048E+01   -0.49839E+01    0.85776E+05    0.30167E+01
  2242    0.11196E+03    0.68024E+01   -0.50910E+01    0.85714E+05    0.30957E+01
  2243    0.11170E+03    0.67993E+01   -0.51977E+01    0.85652E+05    0.31747E+01
  2244    0.11143E+03    0.67955E+01   -0.53044E+01    0.85591E+05    0.32537E+01
  2245    0.11117E+03    0.67910E+01   -0.54107E+01    0.85529E+05    0.33328E+01
  2246    0.11091E+03    0.67858E+01   -0.55168E+01    0.85467E+05    0.34119E+01
  2247    0.11066E+03    0.67799E+01   -0.56225E+01    0.85406E+05    0.34909E+01
  2248    0.11042E+03    0.67733E+01   -0.57277E+01    0.85344E+05    0.35699E+01
  2249    0.11019E+03    0.67660E+01   -0.58324E+01    0.85283E+05    0.36489E+01
  2250    0.10997E+03    0.67579E+01   -0.59367E+01    0.85221E+05    0.37278E+01
  2251    0.10975E+03    0.67493E+01   -0.60404E+01    0.85160E+05    0.38066E+01
  2252    0.10954E+03    0.67398E+01   -0.61435E+01    0.85099E+05    0.38854E+01
  2253    0.10934E+03    0.67298E+01   -0.62460E+01    0.85038E+05    0.39640E+01
  2254    0.10916E+03    0.67190E+01   -0.63478E+01    0.84977E+05    0.40424E+01
  2255    0.10897E+03    0.67076E+01   -0.64489E+01    0.84916E+05    0.41208E+01
  2256    0.10880E+03    0.66955E+01   -0.65493E+01    0.84855E+05    0.41990E+01
  2257    0.10862E+03    0.66827E+01   -0.66488E+01    0.84794E+05    0.42770E+01
  2258    0.10846E+03    0.66693E+01   -0.67475E+01    0.84733E+05    0.43548E+01
  2259    0.10831E+03    0.66551E+01   -0.68455E+01    0.84672E+05    0.44325E+01
  2260    0.10816E+03    0.66403E+01   -0.69425E+01    0.84612E+05    0.45099E+01
  2261    0.10802E+03    0.66249E+01   -0.70384E+01    0.84551E+05    0.45871E+01
  2262    0.10789E+03    0.66088E+01   -0.71333E+01    0.84491E+05    0.46641E+01
  2263    0.10776E+03    0.65921E+01   -0.72274E+01    0.84430E+05    0.47409E+01
  2264    0.10764E+03    0.65747E+01   -0.73200E+01    0.84370E+05    0.48174E+01
  2265    0.10751E+03    0.65568E+01   -0.74117E+01    0.84310E+05    0.48936E+01
  2266    0.10740E+03    0.65382E+01   -0.75023E+01    0.84250E+05    0.49695E+01
  2267    0.10731E+03    0.65190E+01   -0.75914E+01    0.84189E+05    0.50451E+01
  2268    0.10721E+03    0.64991E+01   -0.76798E+01    0.84129E+05    0.51204E+01
  2269    0.10712E+03    0.64787E+01   -0.77674E+01    0.84069E+05    0.51954E+01
  2270    0.10703E+03    0.64578E+01   -0.78534E+01    0.84009E+05    0.52700E+01
  2271    0.10696E+03    0.64362E+01   -0.79379E+01    0.83950E+05    0.53443E+01
  2272    0.10689E+03    0.64140E+01   -0.80209E+01    0.83890E+05    0.54183E+01
  2273    0.10682E+03    0.63912E+01   -0.81024E+01    0.83830E+05    0.54918E+01
  2274    0.10677E+03    0.63678E+01   -0.81830E+01    0.83770E+05    0.55649E+01
  2275    0.10670E+03    0.63440E+01   -0.82622E+01    0.83711E+05    0.56377E+01
  2276    0.10667E+03    0.63195E+01   -0.83391E+01    0.83651E+05    0.57100E+01
  2277    0.10663E+03    0.62945E+01   -0.84152E+01    0.83592E+05    0.57819E+01
  2278    0.10658E+03    0.62691E+01   -0.84905E+01    0.83533E+05    0.58533E+01
  2279    0.10655E+03    0.62430E+01   -0.85635E+01    0.83473E+05    0.59243E+01
  2280    0.10652E+03    0.62165E+01   -0.86358E+01    0.83414E+05    0.59948E+01
  2281    0.10649E+03    0.61894E+01   -0.87057E+01    0.83355E+05    0.60648E+01
  2282    0.10647E+03    0.61619E+01   -0.87741E+01    0.83296E+05    0.61344E+01
  2283    0.10645E+03    0.61338E+01   -0.88410E+01    0.83237E+05    0.62034E+01
  2284    0.10644E+03    0.61054E+01   -0.89056E+01    0.83178E+05    0.62718E+01
  2285    0.10643E+03    0.60765E+01   -0.89694E+01    0.83119E+05    0.63398E+01
  2286    0.10641E+03    0.60470E+01   -0.90317E+01    0.83060E+05    0.64072E+01
  2287    0.10639E+03    0.60172E+01   -0.90917E+01    0.83001E+05    0.64740E+01
  2288    0.10641E+03    0.59869E+01   -0.91501E+01    0.82943E+05    0.65402E+01
  2289    0.10641E+03    0.59562E+01   -0.92070E+01    0.82884E+05    0.66059E+01
  2290    0.10642E+03    0.59250E+01   -0.92616E+01    0.82825E+05    0.66709E+01
  2291    0.10644E+03    0.58934E+01   -0.93154E+01    0.82767E+05    0.67353E+01
  2292    0.10648E+03    0.58615E+01   -0.93668E+01    0.82708E+05    0.67991E+01
  2293    0.10650E+03    0.58292E+01   -0.94168E+01    0.82650E+05    0.68622E+01
  2294    0.10652E+03    0.57965E+01   -0.94644E+01    0.82592E+05    0.69247E+01
  2295    0.10655E+03    0.57633E+01   -0.95105E+01    0.82534E+05    0.69865E+01
  2296    0.10657E+03    0.57300E+01   -0.95543E+01    0.82475E+05    0.70476E+01
  2297    0.10661E+03    0.56962E+01   -0.95972E+01    0.82417E+05    0.71080E+01
  2298    0.10665E+03    0.56622E+01   -0.96379E+01    0.82359E+05    0.71677E+01
  2299    0.10668E+03    0.56278E+01   -0.96762E+01    0.82301E+05    0.72266E+01
  2300    0.10673E+03    0.55930E+01   -0.97130E+01    0.82244E+05    0.72849E+01
  2301    0.10676E+03    0.55580E+01   -0.97482E+01    0.82186E+05    0.73423E+01
  2302    0.10680E+03    0.55228E+01   -0.97819E+01    0.82128E+05    0.73991E+01
  2303    0.10685E+03    0.54871E+01   -0.98124E+01    0.82070E+05    0.74550E+01
  2304    0.10689E+03    0.54513E+01   -0.98415E+01    0.82013E+05    0.75102E+01
  2305    0.10694E+03    0.54153E+01   -0.98689E+01    0.81955E+05    0.75645E+01
  2306    0.10699E+03    0.53789E+01   -0.98941E+01    0.81898E+05    0.76181E+01
  2307    0.10702E+03    0.53424E+01   -0.99184E+01    0.81840E+05    0.76709E+01
  2308    0.10707E+03    0.53056E+01   -0.99397E+01    0.81783E+05    0.77229E+01
  2309    0.10714E+03    0.52686E+01   -0.99594E+01    0.81726E+05    0.77741E+01
  2310    0.10720E+03    0.52315E+01   -0.99768E+01    0.81668E+05    0.78244E+01
  2311    0.10725E+03    0.51941E+01   -0.99927E+01    0.81611E+05    0.78739E+01
  2312    0.10731E+03    0.51566E+01   -0.10007E+02    0.81554E+05    0.79226E+01
  2313    0.10736E+03    0.51190E+01   -0.10019E+02    0.81497E+05    0.79705E+01
  2314    0.10741E+03    0.50812E+01   -0.10029E+02    0.81440E+05    0.80175E+01
  2315    0.10747E+03    0.50432E+01   -0.10037E+02    0.81383E+05    0.80636E+01
  2316    0.10752E+03    0.50052E+01   -0.10043E+02    0.81326E+05    0.81089E+01
  2317    0.10758E+03    0.49671E+01   -0.10047E+02    0.81270E+05    0.81533E+01
  2318    0.10763E+03    0.49288E+01   -0.10051E+02    0.81213E+05    0.81969E+01
  2319    0.10768E+03    0.48905E+01   -0.10052E+02    0.81156E+05    0.82395E+01
  2320    0.10774E+03    0.48521E+01   -0.10051E+02    0.81100E+05    0.82813E+01
  2321    0.10781E+03    0.48136E+01   -0.10047E+02    0.81043E+05    0.83221E+01
  2322    0.10786E+03    0.47751E+01   -0.10042E+02    0.80987E+05    0.83621E+01
  2323    0.10790E+03    0.47365E+01   -0.10036E+02    0.80930E+05    0.84011E+01
  2324    0.10796E+03    0.46981E+01   -0.10027E+02    0.80874E+05    0.84392E+01
  2325    0.10801E+03    0.46595E+01   -0.10017E+02    0.80818E+05    0.84764E+01
  2326    0.10806E+03    0.46209E+01   -0.10005E+02    0.80762E+05    0.85126E+01
  2327    0.10811E+03    0.45822E+01   -0.99911E+01    0.80706E+05    0.85479E+01
  2328    0.10817E+03    0.45438E+01   -0.99752E+01    0.80649E+05    0.85823E+01
  2329    0.10823E+03    0.45052E+01   -0.99577E+01    0.80594E+05    0.86157E+01
  2330    0.10827E+03    0.44667E+01   -0.99386E+01    0.80538E+05    0.86481E+01
  2331    0.10830E+03    0.44284E+01   -0.99173E+01    0.80482E+05    0.86796E+01
  2332    0.10835E+03    0.43900E+01   -0.98951E+01    0.80426E+05    0.87100E+01
  2333    0.10839E+03    0.43518E+01   -0.98706E+01    0.80370E+05    0.87395E+01
  2334    0.10841E+03    0.43134E+01   -0.98445E+01    0.80314E+05    0.87680E+01
  2335    0.10845E+03    0.42754E+01   -0.98169E+01    0.80259E+05    0.87955E+01
  2336    0.10848E+03    0.42374E+01   -0.97877E+01    0.80203E+05    0.88220E+01
  2337    0.10851E+03    0.41995E+01   -0.97555E+01    0.80148E+05    0.88475E+01
  2338    0.10854E+03    0.41619E+01   -0.97232E+01    0.80092E+05    0.88719E+01
  2339    0.10856E+03    0.41242E+01   -0.96886E+01    0.80037E+05    0.88953E+01
  2340    0.10858E+03    0.40868E+01   -0.96510E+01    0.79982E+05    0.89177E+01
  2341    0.10861E+03    0.40496E+01   -0.96155E+01    0.79927E+05    0.89390E+01
  2342    0.10863E+03    0.40124E+01   -0.95762E+01    0.79871E+05    0.89593E+01
  2343    0.10864E+03    0.39755E+01   -0.95354E+01    0.79816E+05    0.89785E+01
  2344    0.10865E+03    0.39388E+01   -0.94930E+01    0.79761E+05    0.89967E+01
  2345    0.10867E+03    0.39023E+01   -0.94498E+01    0.79706E+05    0.90138E+01
  2346    0.10868E+03    0.38661E+01   -0.94050E+01    0.79651E+05    0.90298E+01
  2347    0.10869E+03    0.38300E+01   -0.93579E+01    0.79596E+05    0.90447E+01
  2348    0.10869E+03    0.37942E+01   -0.93108E+01    0.79542E+05    0.90585E+01
  2349    0.10870E+03    0.37586E+01   -0.92613E+01    0.79487E+05    0.90712E+01
  2350    0.10868E+03    0.37233E+01   -0.92110E+01    0.79432E+05    0.90828E+01
  2351    0.10867E+03    0.36882E+01   -0.91585E+01    0.79378E+05    0.90933E+01
  2352    0.10866E+03    0.36534E+01   -0.91043E+01    0.79323E+05    0.91026E+01
  2353    0.10864E+03    0.36189E+01   -0.90501E+01    0.79269E+05    0.91109E+01
  2354    0.10863E+03    0.35847E+01   -0.89944E+01    0.79214E+05    0.91181E+01
  2355    0.10860E+03    0.35508E+01   -0.89378E+01    0.79160E+05    0.91242E+01
  2356    0.10858E+03    0.35172E+01   -0.88790E+01    0.79105E+05    0.91292E+01
  2357    0.10854E+03    0.34839E+01   -0.88193E+01    0.79051E+05    0.91331E+01
  2358    0.10851E+03    0.34508E+01   -0.87596E+01    0.78997E+05    0.91360E+01
  2359    0.10847E+03    0.34181E+01   -0.86975E+01    0.78943E+05    0.91379E+01
  2360    0.10843E+03    0.33859E+01   -0.86347E+01    0.78889E+05    0.91386E+01
  2361    0.10839E+03    0.33539E+01   -0.85711E+01    0.78835E+05    0.91384E+01
  2362    0.10834E+03    0.33223E+01   -0.85059E+01    0.78781E+05    0.91371E+01
  2363    0.10828E+03    0.32910E+01   -0.84399E+01    0.78727E+05    0.91348E+01
  2364    0.10822E+03    0.32601E+01   -0.83731E+01    0.78673E+05    0.91315E+01
  2365    0.10817E+03    0.32296E+01   -0.83056E+01    0.78619E+05    0.91271E+01
  2366    0.10809E+03    0.31995E+01   -0.82364E+01    0.78566E+05    0.91218E+01
  2367    0.10803E+03    0.31697E+01   -0.81665E+01    0.78512E+05    0.91155E+01
  2368    0.10796E+03    0.31402E+01   -0.80958E+01    0.78458E+05    0.91082E+01
  2369    0.10788E+03    0.31114E+01   -0.80251E+01    0.78405E+05    0.90999E+01
  2370    0.10779E+03    0.30827E+01   -0.79535E+01    0.78351E+05    0.90907E+01
  2371    0.10771E+03    0.30546E+01   -0.78797E+01    0.78298E+05    0.90805E+01
  2372    0.10762E+03    0.30268E+01   -0.78059E+01    0.78245E+05    0.90694E+01
  2373    0.10752E+03    0.29995E+01   -0.77319E+01    0.78191E+05    0.90573E+01
  2374    0.10743E+03    0.29726E+01   -0.76561E+01    0.78138E+05    0.90443E+01
  2375    0.10731E+03    0.29462E+01   -0.75805E+01    0.78085E+05    0.90303E+01
  2376    0.10721E+03    0.29201E+01   -0.75049E+01    0.78032E+05    0.90154E+01
  2377    0.10709E+03    0.28945E+01   -0.74278E+01    0.77979E+05    0.89997E+01
  2378    0.10698E+03    0.28694E+01   -0.73505E+01    0.77926E+05    0.89830E+01
  2379    0.10686E+03    0.28448E+01   -0.72728E+01    0.77873E+05    0.89654E+01
  2380    0.10674E+03    0.28205E+01   -0.71946E+01    0.77820E+05    0.89470E+01
  2381    0.10661E+03    0.27967E+01   -0.71158E+01    0.77767E+05    0.89276E+01
  2382    0.10648E+03    0.27734E+01   -0.70367E+01    0.77715E+05    0.89074E+01
  2383    0.10634E+03    0.27505E+01   -0.69569E+01    0.77662E+05    0.88864E+01
  2384    0.10619E+03    0.27281E+01   -0.68770E+01    0.77609E+05    0.88645E+01
  2385    0.10604E+03    0.27061E+01   -0.67968E+01    0.77557E+05    0.88417E+01
  2386    0.10589E+03    0.26847E+01   -0.67163E+01    0.77504E+05    0.88181E+01
  2387    0.10574E+03    0.26637E+01   -0.66354E+01    0.77452E+05    0.87937E+01
  2388    0.10557E+03    0.26433E+01   -0.65544E+01    0.77399E+05    0.87684E+01
  2389    0.10541E+03    0.26232E+01   -0.64731E+01    0.77347E+05    0.87424E+01
  2390    0.10524E+03    0.26037E+01   -0.63918E+01    0.77295E+05    0.87155E+01
  2391    0.10506E+03    0.25847E+01   -0.63102E+01    0.77242E+05    0.86878E+01
  2392    0.10488E+03    0.25661E+01   -0.62287E+01    0.77190E+05    0.86594E+01
  2393    0.10471E+03    0.25480E+01   -0.61470E+01    0.77138E+05    0.86301E+01
  2394    0.10451E+03    0.25304E+01   -0.60652E+01    0.77086E+05    0.86001E+01
  2395    0.10432E+03    0.25134E+01   -0.59836E+01    0.77034E+05    0.85694E+01
  2396    0.10413E+03    0.24968E+01   -0.59019E+01    0.76982E+05    0.85378E+01
  2397    0.10393E+03    0.24807E+01   -0.58203E+01    0.76930E+05    0.85055E+01
  2398    0.10372E+03    0.24651E+01   -0.57388E+01    0.76878E+05    0.84725E+01
  2399    0.10352E+03    0.24499E+01   -0.56574E+01    0.76827E+05    0.84388E+01
  2400    0.10331E+03    0.24354E+01   -0.55761E+01    0.76775E+05    0.84043E+01
  2401    0.10309E+03    0.24213E+01   -0.54950E+01    0.76723E+05    0.83691E+01
  2402    0.10288E+03    0.24076E+01   -0.54141E+01    0.76672E+05    0.83332E+01
  2403    0.10265E+03    0.23945E+01   -0.53334E+01    0.76620E+05    0.82965E+01
  2404    0.10242E+03    0.23819E+01   -0.52530E+01    0.76569E+05    0.82592E+01
  2405    0.10218E+03    0.23697E+01   -0.51729E+01    0.76517E+05    0.82212E+01
  2406    0.10196E+03    0.23581E+01   -0.50931E+01    0.76466E+05    0.81826E+01
  2407    0.10171E+03    0.23470E+01   -0.50136E+01    0.76415E+05    0.81432E+01
  2408    0.10147E+03    0.23364E+01   -0.49345E+01    0.76363E+05    0.81032E+01
  2409    0.10122E+03    0.23262E+01   -0.48559E+01    0.76312E+05    0.80626E+01
  2410    0.10097E+03    0.23166E+01   -0.47776E+01    0.76261E+05    0.80213E+01
  2411    0.10072E+03    0.23074E+01   -0.46999E+01    0.76210E+05    0.79793E+01
  2412    0.10045E+03    0.22987E+01   -0.46224E+01    0.76159E+05    0.79368E+01
  2413    0.10019E+03    0.22905E+01   -0.45457E+01    0.76108E+05    0.78936E+01
  2414    0.99927E+02    0.22827E+01   -0.44694E+01    0.76057E+05    0.78498E+01
  2415    0.99660E+02    0.22754E+01   -0.43938E+01    0.76006E+05    0.78053E+01
  2416    0.99392E+02    0.22687E+01   -0.43187E+01    0.75955E+05    0.77603E+01
  2417    0.99117E+02    0.22623E+01   -0.42441E+01    0.75905E+05    0.77147E+01
  2418    0.98841E+02    0.22564E+01   -0.41703E+01    0.75854E+05    0.76685E+01
