#    L    TT             EE             TE             PP             TP          
    75    0.19752E+04    0.39013E+00   -0.80381E+01    0.53652E+07    0.84034E+04
    76    0.20006E+04    0.40412E+00   -0.85408E+01    0.53360E+07    0.82651E+04
    77    0.20263E+04    0.41828E+00   -0.90531E+01    0.53067E+07    0.81304E+04
    78    0.20523E+04    0.43264E+00   -0.95769E+01    0.52773E+07    0.79988E+04
    79    0.20785E+04    0.44715E+00   -0.10109E+02    0.52480E+07    0.78698E+04
    80    0.21050E+04    0.46180E+00   -0.10651E+02    0.52186E+07    0.77429E+04
    81    0.21316E+04    0.47656E+00   -0.11204E+02    0.51892E+07    0.76179E+04
    82    0.21586E+04    0.49144E+00   -0.11767E+02    0.51598E+07    0.74948E+04
    83    0.21858E+04    0.50641E+00   -0.12340E+02    0.51304E+07    0.73741E+04
    84    0.22132E+04    0.52146E+00   -0.12920E+02    0.51011E+07    0.72559E+04
    85    0.22408E+04    0.53658E+00   -0.13507E+02    0.50717E+07    0.71407E+04
    86    0.22686E+04    0.55177E+00   -0.14102E+02    0.50424E+07    0.70287E+04
    87    0.22969E+04    0.56700E+00   -0.14703E+02    0.50132E+07    0.69195E+04
    88    0.23252E+04    0.58229E+00   -0.15310E+02    0.49840E+07    0.68131E+04
    89    0.23538E+04    0.59762E+00   -0.15925E+02    0.49548E+07    0.67090E+04
    90    0.23827E+04    0.61296E+00   -0.16545E+02    0.49258E+07    0.66070E+04
    91    0.24117E+04    0.62830E+00   -0.17171E+02    0.48968E+07    0.65068E+04
    92    0.24410E+04    0.64363E+00   -0.17802E+02    0.48680E+07    0.64085E+04
    93    0.24705E+04    0.65894E+00   -0.18438E+02    0.48392E+07    0.63119E+04
    94    0.25002E+04    0.67420E+00   -0.19078E+02    0.48106E+07    0.62171E+04
    95    0.25302E+04    0.68939E+00   -0.19722E+02    0.47820E+07    0.61239E+04
    96    0.25601E+04    0.70451E+00   -0.20370E+02    0.47536E+07    0.60325E+04
    97    0.25905E+04    0.71955E+00   -0.21021E+02    0.47253E+07    0.59426E+04
    98    0.26212E+04    0.73448E+00   -0.21673E+02    0.46971E+07    0.58545E+04
    99    0.26519E+04    0.74929E+00   -0.22328E+02    0.46691E+07    0.57679E+04
   100    0.26829E+04    0.76396E+00   -0.22983E+02    0.46411E+07    0.56828E+04
   101    0.27140E+04    0.77856E+00   -0.23640E+02    0.46134E+07    0.55994E+04
   102    0.27457E+04    0.79294E+00   -0.24296E+02    0.45857E+07    0.55174E+04
   103    0.27773E+04    0.80717E+00   -0.24954E+02    0.45582E+07    0.54370E+04
   104    0.28091E+04    0.82125E+00   -0.25610E+02    0.45308E+07    0.53580E+04
   105    0.28410E+04    0.83511E+00   -0.26264E+02    0.45036E+07    0.52804E+04
   106    0.28732E+04    0.84882E+00   -0.26918E+02    0.44765E+07    0.52043E+04
   107    0.29053E+04    0.86223E+00   -0.27568E+02    0.44495E+07    0.51295E+04
   108    0.29378E+04    0.87542E+00   -0.28216E+02    0.44228E+07    0.50561E+04
   109    0.29704E+04    0.88831E+00   -0.28861E+02    0.43962E+07    0.49841E+04
   110    0.30031E+04    0.90091E+00   -0.29501E+02    0.43697E+07    0.49133E+04
   111    0.30360E+04    0.91328E+00   -0.30136E+02    0.43434E+07    0.48438E+04
   112    0.30690E+04    0.92535E+00   -0.30768E+02    0.43173E+07    0.47756E+04
   113    0.31022E+04    0.93713E+00   -0.31394E+02    0.42913E+07    0.47086E+04
   114    0.31355E+04    0.94853E+00   -0.32013E+02    0.42655E+07    0.46428E+04
   115    0.31690E+04    0.95971E+00   -0.32625E+02    0.42399E+07    0.45782E+04
   116    0.32026E+04    0.97044E+00   -0.33230E+02    0.42145E+07    0.45148E+04
   117    0.32364E+04    0.98080E+00   -0.33827E+02    0.41892E+07    0.44525E+04
   118    0.32704E+04    0.99093E+00   -0.34416E+02    0.41641E+07    0.43913E+04
   119    0.33043E+04    0.10007E+01   -0.34995E+02    0.41391E+07    0.43312E+04
   120    0.33384E+04    0.10099E+01   -0.35565E+02    0.41144E+07    0.42722E+04
   121    0.33726E+04    0.10190E+01   -0.36125E+02    0.40898E+07    0.42143E+04
   122    0.34068E+04    0.10274E+01   -0.36674E+02    0.40653E+07    0.41574E+04
   123    0.34411E+04    0.10355E+01   -0.37213E+02    0.40411E+07    0.41015E+04
   124    0.34754E+04    0.10432E+01   -0.37739E+02    0.40170E+07    0.40465E+04
   125    0.35098E+04    0.10504E+01   -0.38252E+02    0.39931E+07    0.39926E+04
   126    0.35442E+04    0.10572E+01   -0.38754E+02    0.39694E+07    0.39395E+04
   127    0.35786E+04    0.10636E+01   -0.39243E+02    0.39458E+07    0.38874E+04
   128    0.36131E+04    0.10695E+01   -0.39718E+02    0.39224E+07    0.38362E+04
   129    0.36476E+04    0.10750E+01   -0.40179E+02    0.38992E+07    0.37858E+04
   130    0.36821E+04    0.10799E+01   -0.40624E+02    0.38762E+07    0.37363E+04
