#weight  minuslogpost            As         ns        H0       ombh2      omch2         tau   omega_de      logA  minuslogprior  minuslogprior__0      chi2  chi2__ffp8_1_raw_143_0002
      5     419.58248 2.1182395e-09 0.96525335 67.157577 0.022464643 0.12060774 0.060454283 0.68125488 3.0531704     -22.569411        -22.569411 884.30378                  884.30378
      1     417.77917 2.0988314e-09 0.96542473  67.19166 0.022462366 0.12053382 0.055640037 0.68174694 3.0439658     -22.569411        -22.569411 880.69716                  880.69716
      2     417.42105 2.2117443e-09 0.96429799 67.294807 0.022359743 0.11997572 0.081585232 0.68418081 3.0963666     -22.569411        -22.569411 879.98093                  879.98093
      5     417.44839 2.2130137e-09 0.96435636 67.318353 0.022363313 0.11992457 0.081931789 0.68450671 3.0969403     -22.569411        -22.569411 880.03561                  880.03561
      9     417.42754 2.2125049e-09  0.9643337 67.316793 0.022363279 0.11992742 0.081807933 0.68448586 3.0967104     -22.569411        -22.569411 879.99391                  879.99391
      2      417.2626 2.2182598e-09 0.96320191 67.372966 0.022392093  0.1197793 0.082743641  0.6852746 3.0993081     -22.569411        -22.569411 879.66402                  879.66402
      1     416.96161  2.200068e-09 0.96205468 67.144636  0.02236798 0.12029407 0.077855133 0.68204216 3.0910733     -22.569411        -22.569411 879.06205                  879.06205
      3     416.96775 2.2008384e-09 0.96214056 67.148092 0.022365781  0.1202827 0.078050541 0.68210498 3.0914235     -22.569411        -22.569411 879.07433                  879.07433
      5     416.41411 2.1895778e-09   0.963813 67.293339  0.02238318 0.11994967 0.076384096  0.6841728 3.0862938     -22.569411        -22.569411 877.96705                  877.96705
      4     416.46876 2.0785068e-09 0.96413589 67.105857 0.022490989 0.12069858 0.049570624 0.68050314 3.0342348     -22.569411        -22.569411 878.07634                  878.07634
      1     415.75884 2.0902726e-09  0.9651563 67.682269 0.022565299 0.11928956 0.053756448 0.68883557 3.0398796     -22.569411        -22.569411 876.65649                  876.65649
      7     415.95807 2.0625575e-09 0.96662489 67.779155 0.022532645 0.11899171 0.047916239 0.69044393 3.0265318     -22.569411        -22.569411 877.05496                  877.05496
      3     415.61476  2.066807e-09   0.968264 68.007552 0.022506893 0.11843306 0.049425018 0.69378324   3.02859     -22.569411        -22.569411 876.36834                  876.36834
      3     415.62845 2.0457958e-09  0.9642823  67.54178 0.022413926 0.11923329 0.042608809 0.68799493 3.0183719     -22.569411        -22.569411 876.39572                  876.39572
      7     415.56922 2.0457519e-09 0.96420642 67.521153 0.022411852 0.11928558 0.042544302 0.68769412 3.0183505     -22.569411        -22.569411 876.27726                  876.27726
     10     415.56131 2.0418911e-09  0.9643843 67.529923 0.022414661 0.11927281 0.041698277 0.68779707 3.0164615     -22.569411        -22.569411 876.26145                  876.26145
      8     415.51211 2.0421272e-09 0.96442105 67.521212  0.02241208 0.11929289 0.041771298 0.68767813 3.0165771     -22.569411        -22.569411 876.16303                  876.16303
      5     415.29864 2.0630233e-09 0.96344817 67.352774 0.022404873 0.11970715  0.04609635 0.68521674 3.0267576     -22.569411        -22.569411  875.7361                   875.7361
      1     415.99463 2.0375351e-09 0.96258582 67.303601 0.022424174 0.11985725 0.039440482 0.68438263 3.0143259     -22.569411        -22.569411 877.12807                  877.12807
      4     415.79546  2.018317e-09 0.96137196 66.844204 0.022344182 0.12083414 0.033885582 0.67802214 3.0048491     -22.569411        -22.569411 876.72975                  876.72975
 3 415.78417 2.0359125e-09 0.96216803 67.079351 0.022348877 0.12031432 0.038500213  0.6814204 3.0135292 -22.569411 -22.569411 876.70717 876.70717
11  416.4031 2.0260317e-09 0.96102247 67.142471 0.022431999 0.12042203 0.035488274  0.6815958 3.0086642 -22.569411 -22.569411 877.94502 877.94502
12 415.80423 2.0117225e-09 0.96203788 66.972981 0.022383932 0.12067174 0.032298801 0.67953262 3.0015764 -22.569411 -22.569411 876.74728 876.74728
11 415.16846 2.0198055e-09 0.96081524 66.781895  0.02239022 0.12127316 0.034105676 0.67633343 3.0055863 -22.569411 -22.569411 875.47575 875.47575
 1 415.07892 2.0216652e-09 0.96074563 66.687211 0.022386396 0.12152478 0.034353104 0.67485648 3.0065066 -22.569411 -22.569411 875.29666 875.29666
 2 414.97226 2.0572018e-09 0.96054723 66.625068 0.022348245  0.1215722 0.042992658 0.67422879 3.0239318 -22.569411 -22.569411 875.08334 875.08334
 2 415.00803 2.0531029e-09  0.9598719 66.537066 0.022335005 0.12183401  0.04157744 0.67280501 3.0219373 -22.569411 -22.569411 875.15488 875.15488
18 415.24101 2.0328939e-09 0.96348465  67.11874 0.022322882 0.12015684 0.038429222 0.68220148 3.0120454 -22.569411 -22.569411 875.62084 875.62084
 9 415.55714 2.0320434e-09 0.96389503 67.211826 0.022315966 0.11989331 0.038456751 0.68367982  3.011627 -22.569411 -22.569411 876.25311 876.25311
 3 415.67807 2.0208285e-09 0.96283936 67.085918 0.022311012 0.12019258 0.035412856  0.6818374 3.0060926 -22.569411 -22.569411 876.49496 876.49496
 9 415.62462 2.0215419e-09 0.96266163 67.071897 0.022314985 0.12024298 0.035455799 0.68158349 3.0064456 -22.569411 -22.569411 876.38807 876.38807
 5 415.60479 2.1448567e-09  0.9636733 67.567429   0.0225208 0.11973356 0.065474668 0.68690186 3.0656578 -22.569411 -22.569411  876.3484  876.3484
 1 415.80007 2.1750289e-09 0.96718635 67.937091 0.022495131  0.1187187 0.074455649 0.69255432  3.079627 -22.569411 -22.569411 876.73896 876.73896
 1 415.11861 2.1240746e-09  0.9665765 67.835745 0.022411529 0.11871316 0.062434803 0.69182871 3.0559213 -22.569411 -22.569411 875.37604 875.37604
 1 415.03386 2.1288262e-09 0.96648618 67.800478 0.022399387 0.11875484 0.063431185 0.69144378 3.0581559 -22.569411 -22.569411 875.20653 875.20653
 2 415.01052 2.1280184e-09 0.96638906 67.783198 0.022397809 0.11879551 0.063180829 0.69120136 3.0577763 -22.569411 -22.569411 875.15986 875.15986
 5 414.96512  2.111104e-09 0.96749765 67.742168 0.022388928 0.11882732 0.059485908 0.69077722 3.0497961 -22.569411 -22.569411 875.06906 875.06906
 2 414.98438 2.1015091e-09 0.96744821 67.701654  0.02239999 0.11896349 0.057274409 0.69008578 3.0452408 -22.569411 -22.569411 875.10757 875.10757
23 414.98523 2.1011649e-09 0.96745826 67.703427 0.022400409 0.11896005 0.057196444 0.69010862  3.045077 -22.569411 -22.569411 875.10927 875.10927
 2 416.13212 2.0973778e-09 0.96917083  68.12287 0.022497926  0.1183565 0.056893766 0.69500338  3.043273 -22.569411 -22.569411 877.40307 877.40307
 1 416.12416 2.0919533e-09 0.96881816 68.084223 0.022494954 0.11845119 0.055503491 0.69445917 3.0406833 -22.569411 -22.569411 877.38714 877.38714
15 416.16638 2.0845621e-09 0.96879315 68.052373 0.022484058 0.11851146 0.053688167 0.69406648 3.0371439 -22.569411 -22.569411 877.47159 877.47159
 4 415.13323 2.0821728e-09  0.9674946 67.737882 0.022434559 0.11911031 0.052179852 0.69002187 3.0359971 -22.569411 -22.569411 875.40528 875.40528
17  415.3343 2.1124964e-09 0.96744428 67.765839 0.022428348 0.11901599 0.059316267  0.6904965 3.0504555 -22.569411 -22.569411 875.80742 875.80742
