#weight  minuslogpost            As         ns        H0       ombh2      omch2         tau   omega_de      logA  minuslogprior  minuslogprior__0      chi2  chi2__ffp8_1_raw_143_0002
      6     416.14972 2.1392307e-09 0.96547478 67.379216 0.022250214 0.11948995 0.065070283 0.68628285 3.0630314     -22.569411        -22.569411 877.43826                  877.43826
      2     415.98365 2.1644087e-09 0.96647122 67.846652 0.022371326 0.11857566 0.071966751 0.69231383 3.0747323     -22.569411        -22.569411 877.10613                  877.10613
      2     415.92259 2.1803627e-09 0.96544923 67.745933 0.022397948 0.11895744 0.074749565 0.69050839 3.0820763     -22.569411        -22.569411 876.98401                  876.98401
      3      416.0374 2.1911833e-09 0.96465397 67.616945  0.02239799 0.11922282 0.077018552 0.68874595 3.0870268     -22.569411        -22.569411 877.21362                  877.21362
      7     417.98192 2.2110806e-09 0.96493464 67.898306 0.022394916 0.11867976  0.08154165 0.69250482 3.0960664     -22.569411        -22.569411 881.10266                  881.10266
      6     415.22884 2.1135494e-09 0.96359957 67.513876  0.02239327 0.11955741 0.058142528  0.6870712 3.0509538     -22.569411        -22.569411 875.59651                  875.59651
      1     415.55649 2.1349174e-09 0.96546071 67.597168 0.022335087 0.11914999 0.063972687 0.68886085 3.0610131     -22.569411        -22.569411 876.25179                  876.25179
      1     415.70841 2.1380371e-09 0.96502649 67.540307 0.022331796 0.11926865 0.064459397 0.68808385 3.0624733     -22.569411        -22.569411 876.55565                  876.55565
      2     416.36316 2.1699088e-09 0.96593741 67.739464 0.022366369 0.11890731 0.072238689 0.69062737 3.0772702     -22.569411        -22.569411 877.86513                  877.86513
      3     416.54152 2.1854492e-09 0.96670175 67.846956 0.022384283 0.11872441 0.076196001  0.6919653 3.0844065     -22.569411        -22.569411 878.22186                  878.22186
      4     416.77065  2.204537e-09 0.96574602 67.834154 0.022395224 0.11879707 0.080513561 0.69166735 3.0931026     -22.569411        -22.569411 878.68012                  878.68012
      1       417.138 2.1000967e-09 0.96879622 67.967291 0.022298964 0.11796338 0.057404304 0.69488717 3.0445685     -22.569411        -22.569411 879.41482                  879.41482
      5     418.28081 2.1474215e-09 0.97143113 68.562127 0.022386829 0.11649871 0.070786194 0.70308734 3.0668529     -22.569411        -22.569411 881.70045                  881.70045
     10     418.08945 2.1187037e-09 0.97076394 68.275479 0.022317343 0.11710414 0.063206682 0.69943927 3.0533895     -22.569411        -22.569411 881.31773                  881.31773
      3     417.12849 2.0864723e-09 0.97030276   68.2247 0.022449871 0.11753953 0.055770055 0.69777158 3.0380598     -22.569411        -22.569411 879.39581                  879.39581
      3     416.56765 2.0971245e-09 0.96980226 68.229835 0.022426397 0.11750565  0.05755426 0.69794028 3.0431522     -22.569411        -22.569411 878.27412                  878.27412
      2     416.86985 2.1590431e-09 0.96925432 68.363906 0.022454774 0.11722207 0.072142368 0.69966992 3.0722502     -22.569411        -22.569411 878.87852                  878.87852
      1     416.71102  2.153952e-09 0.96778073 68.246192 0.022483036 0.11764703 0.070037847 0.69765989 3.0698894     -22.569411        -22.569411 878.56087                  878.56087
      2     416.43938 2.1610404e-09 0.96957544 68.584177 0.022560418 0.11716111  0.07285546 0.70150097 3.0731749     -22.569411        -22.569411 878.01759                  878.01759
      3     415.99579 2.1249359e-09 0.96660481 67.341113 0.022378502 0.12004799 0.061676692 0.68441426 3.0563267     -22.569411        -22.569411  877.1304                   877.1304
18   415.677 2.1233323e-09 0.96518652 67.190457 0.022396953 0.12043973 0.060724615 0.68208887 3.0555718 -22.569411 -22.569411 876.49282 876.49282
 9 415.74951 2.1361121e-09 0.96543674 67.251655 0.022402565  0.1202391 0.063978378 0.68309836 3.0615725 -22.569411 -22.569411 876.63785 876.63785
 1 415.02047 2.0768954e-09 0.96619291 67.442937  0.02235752 0.11965426 0.050014419 0.68627822 3.0334593 -22.569411 -22.569411 875.17976 875.17976
 9 414.71186 2.0621719e-09  0.9663069 67.536481 0.022388811 0.11941049 0.046986819 0.68761252 3.0263448 -22.569411 -22.569411 874.56255 874.56255
 2 415.63935 2.0464971e-09 0.96517615 67.118151 0.022401114 0.12033856 0.042489711 0.68161887 3.0187147 -22.569411 -22.569411 876.41753 876.41753
 3 416.07793 2.0802116e-09 0.96377527 67.196672 0.022490102  0.1203213  0.05018469 0.68220366 3.0350547 -22.569411 -22.569411 877.29469 877.29469
 2 417.20765 2.1141664e-09 0.96719706 67.740886 0.022543728 0.11894603 0.060567747 0.69016947 3.0512457 -22.569411 -22.569411 879.55413 879.55413
 6 417.49073 2.1271781e-09 0.96705541 67.766414 0.022554788 0.11888569 0.063571174 0.69051016 3.0573813 -22.569411 -22.569411 880.12029 880.12029
 1  416.1743 2.1073021e-09 0.96505812 67.427528 0.022434495 0.11942031 0.058043121  0.6864801 3.0479936 -22.569411 -22.569411 877.48743 877.48743
 8 415.73125 2.1201797e-09 0.96834148 68.156204 0.022458619 0.11793437 0.062109475 0.69629499 3.0540859 -22.569411 -22.569411 876.60131 876.60131
 4 416.13741  2.142749e-09 0.96848331 68.228507  0.02246784 0.11774132 0.067557985 0.69733322 3.0646747 -22.569411 -22.569411 877.41364 877.41364
 3 417.69805 2.2057337e-09 0.97117879 68.665465 0.022544156 0.11707089 0.083471879 0.70243313 3.0936453 -22.569411 -22.569411 880.53492 880.53492
 1 417.76146 2.2061227e-09 0.97126289 68.660968 0.022543231 0.11708613 0.083587419 0.70236378 3.0938216 -22.569411 -22.569411 880.66175 880.66175
 1 416.51638 2.0968198e-09 0.97069547 68.306642 0.022490644 0.11775476 0.057772707 0.69794759 3.0430069 -22.569411 -22.569411 878.17158 878.17158
 1  418.2367 2.1249187e-09 0.97377188 68.549669 0.022395309 0.11677064 0.065778314 0.70238268 3.0563187 -22.569411 -22.569411 881.61223 881.61223
 2   418.242 2.1264942e-09 0.97084028 68.057628 0.022277627 0.11775475 0.065177513 0.69619311 3.0570598 -22.569411 -22.569411 881.62282 881.62282
 1 418.75783 2.1320159e-09 0.97099059 68.046402 0.022279413 0.11781111  0.06660542  0.6959673 3.0596531 -22.569411 -22.569411 882.65448 882.65448
 3 418.60363 2.1528456e-09 0.96003729 66.762747 0.022335269 0.12099495 0.066708697 0.67689521 3.0693756 -22.569411 -22.569411 882.34608 882.34608
 5 418.02271 2.1818784e-09 0.96016536 66.637559 0.022385599 0.12166447 0.072324807 0.67405899 3.0827713 -22.569411 -22.569411 881.18423 881.18423
 1 419.78199 1.9625893e-09 0.96784746 67.018885 0.022178892 0.12008721 0.022834235 0.68172939 2.9768498 -22.569411 -22.569411 884.70281 884.70281
 1 419.10227 1.9887066e-09  0.9682551 66.981872 0.022103828 0.12013834 0.028770624 0.68143088 2.9900696 -22.569411 -22.569411 883.34337 883.34337
14    419.08 1.9890605e-09 0.96829753 66.991272 0.022106277  0.1201252 0.028864877 0.68154411 2.9902475 -22.569411 -22.569411 883.29883 883.29883
 5 419.68457 2.0168449e-09 0.96826925 67.370245 0.022218096 0.11921553 0.035889522 0.68687466 3.0041194 -22.569411 -22.569411 884.50797 884.50797
 1 418.77186 2.0098586e-09 0.96834474 67.515799 0.022244504 0.11883826 0.034691344 0.68899302 3.0006495 -22.569411 -22.569411 882.68254 882.68254
 2 419.05577 1.9821327e-09 0.96744312 67.178788 0.022185688 0.11948724 0.027844984 0.68455709 2.9867585 -22.569411 -22.569411 883.25037 883.25037
 2 418.89472 1.9864032e-09 0.96735833 67.172278 0.022184894  0.1194922 0.028814994  0.6844867 2.9889106 -22.569411 -22.569411 882.92826 882.92826
 6 419.06926 1.9838852e-09 0.96736938 67.167098 0.022181063 0.11949155 0.028206027 0.68444797 2.9876422 -22.569411 -22.569411 883.27735 883.27735
 9  419.1536 1.9858347e-09 0.96605307 66.960961 0.022171962 0.11997227 0.028268416 0.68145031 2.9886244 -22.569411 -22.569411 883.44602 883.44602
 1  419.2622 1.9754853e-09 0.96537732  66.80244 0.022168866 0.12036565 0.025253091 0.67906212 2.9833992 -22.569411 -22.569411 883.66322 883.66322
 3 419.72866 1.9693554e-09 0.96490417 66.819918 0.022240291 0.12049991 0.023827891 0.67876932 2.9802913 -22.569411 -22.569411 884.59615 884.59615
 1  421.2022 1.9862092e-09 0.96772224 66.952866   0.0221125 0.12006604 0.028990984 0.68129675  2.988813 -22.569411 -22.569411 887.54323 887.54323
