#weight  minuslogpost            As         ns        H0       ombh2      omch2         tau   omega_de      logA  minuslogprior  minuslogprior__0      chi2  chi2__ffp8_1_raw_lgmca_0001
      1     416.49401 2.1895382e-09 0.97348719 69.153813 0.022562044  0.1161689 0.082536891  0.7084697 3.0862758     -22.569411        -22.569411 878.12684                    878.12684
      2     416.18694 2.1089978e-09 0.96904211 68.266383 0.022524428 0.11828589 0.060965229 0.69637904  3.048798     -22.569411        -22.569411 877.51269                    877.51269
      3     416.98432 2.1734904e-09 0.96844383 67.943089 0.022444785 0.11876696 0.075580441 0.69261312 3.0789194     -22.569411        -22.569411 879.10747                    879.10747
      3     415.66204  2.166041e-09 0.96799464 67.885453   0.0224109 0.11882737 0.073567183 0.69203339 3.0754862     -22.569411        -22.569411 876.46289                    876.46289
      1     415.61296 2.1645787e-09 0.96101994 67.355759 0.022343024 0.11994455 0.069488035  0.6848577 3.0748108     -22.569411        -22.569411 876.36474                    876.36474
      5     414.91476 2.2061894e-09 0.96166215   67.7443   0.0224362 0.11903174  0.08028027 0.69024825 3.0938519     -22.569411        -22.569411 874.96835                    874.96835
     12     415.66577 2.2299654e-09 0.96305942 68.296358 0.022609724 0.11829026 0.086005977 0.69645327 3.1045712     -22.569411        -22.569411 876.47035                    876.47035
      5     415.82777 2.2315874e-09 0.96282502 68.279681 0.022611786 0.11833389 0.086287948 0.69620697 3.1052983     -22.569411        -22.569411 876.79437                    876.79437
      4     413.44673 2.2039728e-09 0.96372083  68.38355 0.022559877 0.11795697 0.080499012 0.69804614 3.0928467     -22.569411        -22.569411 872.03228                    872.03228
      3     413.69457 2.2423189e-09 0.96307118 68.221431 0.022517395 0.11824696 0.089308475 0.69607754 3.1100957     -22.569411        -22.569411 872.52797                    872.52797
      2     414.45586 2.2567116e-09 0.96253468 68.176671  0.02249421 0.11824676 0.092572355 0.69572864 3.1164938     -22.569411        -22.569411 874.05055                    874.05055
      2     415.19661 2.1598736e-09  0.9600481 67.566574 0.022427615 0.11948043 0.068663413 0.68765252 3.0726348     -22.569411        -22.569411 875.53205                    875.53205
      1     414.47365 2.1500807e-09 0.96101449 67.709414 0.022421921 0.11898162 0.067272445 0.69006944 3.0680904     -22.569411        -22.569411 874.08612                    874.08612
      7     412.36404 2.0661066e-09  0.9687102 68.652001 0.022374181 0.11669298  0.05016597 0.70347886  3.028251     -22.569411        -22.569411  869.8669                     869.8669
      1     412.71163 2.1478988e-09 0.97179467 69.389921 0.022474057 0.11523586 0.071105677 0.71257077 3.0670752     -22.569411        -22.569411 870.56208                    870.56208
      1     416.15633 2.1700148e-09 0.97152997 68.960632 0.022301773 0.11613434 0.075125169 0.70745403 3.0773191     -22.569411        -22.569411 877.45149                    877.45149
