#weight  minuslogpost            As         ns        H0       ombh2      omch2         tau   omega_de      logA  minuslogprior  minuslogprior__0      chi2  chi2__ffp8_1_raw_lgmca_0001
      2     412.57123 2.1278034e-09 0.97126035 69.162367 0.022369845 0.11557939 0.066103606   0.710176 3.0576753     -22.569411        -22.569411 870.28128                    870.28128
     10     412.04634  2.126874e-09 0.96985588 68.646934 0.022315856 0.11649283 0.065374293 0.70398359 3.0572384     -22.569411        -22.569411  869.2315                     869.2315
      1     411.27401 2.1347654e-09 0.96929093 68.663387 0.022362594 0.11653275 0.067233733 0.70394162 3.0609419     -22.569411        -22.569411 867.68685                    867.68685
      8     411.55977 2.1590568e-09  0.9704589 68.712178  0.02236682 0.11641526 0.073372174 0.70460182 3.0722566     -22.569411        -22.569411 868.25837                    868.25837
      3     411.69057 2.1648961e-09 0.96643685  68.27416  0.02237412 0.11756431 0.072835773 0.69831865 3.0749575     -22.569411        -22.569411 868.51997                    868.51997
      2     412.22695 2.1140413e-09 0.96699628 67.975358 0.022239331 0.11806041 0.060707244 0.69487866 3.0511865     -22.569411        -22.569411 869.59272                    869.59272
      7      411.1996 2.0879094e-09 0.96916747 68.283731 0.022302906 0.11750919 0.055552037 0.69867416 3.0387484     -22.569411        -22.569411 867.53803                    867.53803
      5      411.8646 2.0648052e-09  0.9664465 68.076206 0.022357655 0.11837607  0.04896431 0.69484555  3.027621     -22.569411        -22.569411 868.86802                    868.86802
      4     413.39346 2.1204448e-09 0.96186573 67.983387 0.022380935  0.1187019  0.06044545 0.69325635  3.054211     -22.569411        -22.569411 871.92573                    871.92573
      3       413.185 2.1183122e-09 0.96171149 67.989493 0.022385976 0.11859406 0.060024602 0.69353383 3.0532047     -22.569411        -22.569411 871.50883                    871.50883
      3     413.14455  2.114619e-09 0.96183865 67.910488 0.022373457 0.11873968 0.059299257 0.69253174 3.0514597     -22.569411        -22.569411 871.42793                    871.42793
      2     412.97702 2.1156285e-09 0.96191959 67.932152 0.022380248 0.11872714 0.059499062 0.69274026  3.051937     -22.569411        -22.569411 871.09286                    871.09286
      6     411.15684  2.134472e-09 0.96778949 68.763165 0.022377925 0.11651215 0.066559713 0.70481134 3.0608044     -22.569411        -22.569411  867.4525                     867.4525
      1     413.41442 2.2545575e-09 0.96803617 69.426249 0.022577682 0.11531077 0.095660077 0.71250112 3.1155388     -22.569411        -22.569411 871.96766                    871.96766
      3     412.22347 2.2324003e-09 0.96793477 69.391336 0.022616997 0.11557384 0.090216576 0.71158375 3.1056625     -22.569411        -22.569411 869.58577                    869.58577
      6     411.32731 2.2058443e-09 0.97088074 69.557083    0.022518 0.11496304 0.085383093 0.71442372 3.0936954     -22.569411        -22.569411 867.79344                    867.79344
      9     413.62114 2.2504906e-09 0.97698374 70.230331 0.022459758 0.11335073 0.097931322 0.72325965 3.1137333     -22.569411        -22.569411  872.3811                     872.3811
      5     413.40158 2.2375847e-09 0.97611349 70.072802 0.022448341 0.11376426 0.094329086 0.72119507 3.1079821     -22.569411        -22.569411 871.94198                    871.94198
      1     413.46211 2.2404138e-09 0.97617459 70.082921 0.022449628 0.11374612 0.095007976 0.72130988 3.1092457     -22.569411        -22.569411 872.06304                    872.06304
      4     413.05174 2.2700627e-09 0.97050248 69.396931 0.022621015  0.1155454 0.099927815 0.71168095 3.1223925     -22.569411        -22.569411 871.24231                    871.24231
 1 411.31427 2.2442917e-09 0.97178038 69.414142 0.022581775 0.11543671 0.094295321 0.71213094 3.1109751 -22.569411 -22.569411 867.76736 867.76736
 3 410.81217  2.188484e-09 0.96822626 68.995546 0.022499372 0.11643636 0.079252713 0.70670051 3.0857941 -22.569411 -22.569411 866.76316 866.76316
 1 414.42759 2.2380235e-09  0.9726205 70.025727 0.022563916 0.11401381 0.093993035 0.72007546 3.1081782 -22.569411 -22.569411 873.99401 873.99401
 3 412.84157 2.1973367e-09 0.96994182  69.33135 0.022544651 0.11559843 0.083314479 0.71118379 3.0898311 -22.569411 -22.569411 870.82195 870.82195
 1 412.04023 2.1527333e-09 0.96786045 68.827747 0.022426003 0.11661736 0.071480909 0.70504145 3.0693234 -22.569411 -22.569411 869.21929 869.21929
15 412.17283 2.1511004e-09 0.96683467 68.776744 0.022440584 0.11674191 0.070718584 0.70430969 3.0685646 -22.569411 -22.569411 869.48449 869.48449
 5 413.09039 2.1513326e-09 0.96818692 68.787816 0.022393555 0.11660809 0.071490622 0.70478707 3.0686725 -22.569411 -22.569411  871.3196  871.3196
 1 414.21288 2.0466502e-09 0.96567004 68.774076 0.022593732 0.11687525 0.045536874 0.70368105 3.0187895 -22.569411 -22.569411 873.56458 873.56458
 2 412.51334 2.0944683e-09 0.96827659 69.314322 0.022637857 0.11566016 0.057911441 0.71071939 3.0418848 -22.569411 -22.569411  870.1655  870.1655
 3 412.70515  2.036729e-09 0.96947022 69.177267  0.02257244 0.11601255 0.044163831 0.70897233 3.0139302 -22.569411 -22.569411 870.54912 870.54912
 6 412.66032 2.0554333e-09 0.96908479  69.22091 0.022596484 0.11601931 0.048605861 0.70927492 3.0230718 -22.569411 -22.569411 870.45946 870.45946
 1 411.81199 2.1129311e-09 0.97001864  69.33477 0.022645504 0.11586628 0.062972976 0.71044531 3.0506612 -22.569411 -22.569411  868.7628  868.7628
 3 412.13863 2.1383341e-09 0.97057417 69.586271 0.022723167 0.11532331 0.069353694 0.71349552 3.0626121 -22.569411 -22.569411 869.41608 869.41608
 4 411.45108 2.1506959e-09 0.96713437 68.964647 0.022638909 0.11653538 0.070600485 0.70593603 3.0683766 -22.569411 -22.569411 868.04099 868.04099
 1 411.86811 2.1705298e-09  0.9675296 69.067758 0.022652471 0.11642333 0.074971839 0.70701986 3.0775564 -22.569411 -22.569411 868.87504 868.87504
 4 413.23745 2.1633579e-09 0.96696803 69.164391 0.022745657 0.11644046 0.073254772 0.70760735 3.0742467 -22.569411 -22.569411 871.61372 871.61372
10 413.10406  2.100619e-09 0.96448037 68.614485 0.022655486  0.1176878 0.056869857 0.70044394 3.0448172 -22.569411 -22.569411 871.34695 871.34695
 4 414.02016 2.1434985e-09 0.96013455 67.702307   0.0223974 0.11920366  0.06488283 0.68957344 3.0650244 -22.569411 -22.569411 873.17914 873.17914
 1 414.10783 2.2250247e-09  0.9661651  69.15777 0.022519685  0.1157593 0.087285797 0.70944804 3.1023531 -22.569411 -22.569411 873.35448 873.35448
 4 412.70646 2.2364026e-09 0.96846604 69.257043 0.022516375  0.1155008 0.090665005  0.7108262 3.1074537 -22.569411 -22.569411 870.55174 870.55174
 2 411.74671 2.2293737e-09 0.96835542 68.933005  0.02244268 0.11597427 0.089647302 0.70725981 3.1043058 -22.569411 -22.569411 868.63224 868.63224
 3 412.88635 2.0837631e-09 0.96991116 68.234675 0.022264241 0.11740992 0.054710586 0.69853701 3.0367605 -22.569411 -22.569411 870.91153 870.91153
 8 412.08048 2.0886572e-09 0.96871914 68.097292 0.022287758 0.11787449 0.055352691 0.69626687 3.0391065 -22.569411 -22.569411 869.29977 869.29977
 1 411.66133 2.0783236e-09 0.97202057 68.834029 0.022394045 0.11625017 0.054835238  0.7059377 3.0341467 -22.569411 -22.569411 868.46147 868.46147
 4 411.97945 2.0705428e-09 0.97142302   68.7826 0.022373942 0.11620714 0.052990251 0.70563125 3.0303959 -22.569411 -22.569411 869.09773 869.09773
 8 412.10143  2.062854e-09  0.9710515 68.733461 0.022373011 0.11630231 0.051049759 0.70501072 3.0266756 -22.569411 -22.569411 869.34168 869.34168
 1 412.33611 2.0636897e-09 0.97048879 68.654973 0.022361302 0.11642603 0.051046402 0.70409822 3.0270806 -22.569411 -22.569411 869.81104 869.81104
 6  412.6536 2.0608322e-09 0.97105042 68.715647 0.022336409 0.11622178  0.05056641 0.70510582  3.025695 -22.569411 -22.569411 870.44602 870.44602
 3 413.05424 2.1262478e-09 0.97037219 68.672599 0.022337185 0.11619469 0.066227692 0.70479179 3.0569439 -22.569411 -22.569411  871.2473  871.2473
 9 412.57825 2.1296677e-09 0.97086795 68.762866  0.02234525  0.1160248 0.067295234 0.70590858 3.0585511 -22.569411 -22.569411 870.29532 870.29532
20 411.09455 2.1606444e-09 0.97277487 69.094029  0.02234681 0.11559204  0.07480441 0.70962416 3.0729916 -22.569411 -22.569411 867.32793 867.32793
 2 411.97552 2.1674887e-09 0.96976944 68.516507 0.022250734 0.11664362 0.075304601 0.70267306 3.0761543 -22.569411 -22.569411 869.08986 869.08986
 2 412.21159 2.1563293e-09 0.96722993 68.204538 0.022226639 0.11747142 0.071175379 0.69821916 3.0709925 -22.569411 -22.569411 869.56199 869.56199
 7 412.25527 2.1811774e-09 0.96706994 68.263801 0.022257015 0.11736819 0.076917718 0.69889925 3.0824499 -22.569411 -22.569411 869.64937 869.64937
 2 411.72479 2.1839257e-09  0.9665625 68.280977 0.022300136 0.11742898 0.077460559 0.69882784 3.0837091 -22.569411 -22.569411  868.5884  868.5884
