#weight  minuslogpost            As         ns        H0       ombh2      omch2         tau   omega_de      logA  minuslogprior  minuslogprior__0      chi2  chi2__ffp8_1_raw_lgmca_0001
      8     411.28739 2.1600144e-09 0.97337418 69.685832 0.022520978 0.11434317   0.0762262 0.71674831    3.0727     -22.569411        -22.569411  867.7136                     867.7136
      1     412.36141 2.1249137e-09 0.97364638 69.298672 0.022558895 0.11545238 0.067646369 0.71118582 3.0563163     -22.569411        -22.569411 869.86164                    869.86164
      4     412.40998 2.1439784e-09 0.97408276 69.339929 0.022552684 0.11530268 0.072358771 0.71185368 3.0652482     -22.569411        -22.569411 869.95878                    869.95878
      2     411.97686 2.1854481e-09 0.97341631 69.404317 0.022601573 0.11534548   0.0816345 0.71219773  3.084406     -22.569411        -22.569411 869.09255                    869.09255
      7     413.71122 2.1314579e-09 0.97451487 69.864982 0.022659044 0.11449779 0.070026895 0.71759946 3.0593913     -22.569411        -22.569411 872.56127                    872.56127
      5     412.39533 2.1410085e-09 0.97324855 69.753823 0.022659792 0.11475175 0.071591087 0.71617521 3.0638621     -22.569411        -22.569411 869.92948                    869.92948
      3     411.89414 2.1851853e-09 0.97505673 69.934499 0.022615708 0.11399474 0.082311569 0.71927778 3.0842857     -22.569411        -22.569411  868.9271                     868.9271
      3     412.19586  2.184598e-09 0.97480018 69.936618 0.022640275   0.113995   0.0822079 0.71924404 3.0840169     -22.569411        -22.569411 869.53054                    869.53054
      2     412.19477 2.1843826e-09 0.97479595 69.935698 0.022641337  0.1140017 0.082153187 0.71922077 3.0839183     -22.569411        -22.569411 869.52837                    869.52837
      1     411.43901 2.1566724e-09 0.97327186 69.415816 0.022558482 0.11509542 0.074767749 0.71290143 3.0711516     -22.569411        -22.569411 868.01683                    868.01683
      2     412.38936 2.1271123e-09 0.97131461  69.02415  0.02247311 0.11610735 0.065741198 0.70768924 3.0573504     -22.569411        -22.569411 869.91754                    869.91754
      3     413.14437 2.1171287e-09 0.97204536  69.18477 0.022509348 0.11573428 0.063813207 0.70974862 3.0526459     -22.569411        -22.569411 871.42756                    871.42756
      1     413.49482 2.1868078e-09 0.97294445 69.352714 0.022560571 0.11533231 0.080848906 0.71188191  3.085028     -22.569411        -22.569411 872.12847                    872.12847
      4     412.76762 2.1128497e-09 0.96967895 68.863953 0.022600647 0.11650354 0.062980036 0.70522327 3.0506227     -22.569411        -22.569411 870.67407                    870.67407
      1     413.49741 2.1151322e-09 0.97073227 69.439055 0.022710834 0.11535013 0.064541406 0.71224935 3.0517024     -22.569411        -22.569411 872.13365                    872.13365
      1     413.81999  2.147004e-09 0.96706557 68.993229  0.02251972 0.11669088  0.06843002 0.70610337 3.0666585     -22.569411        -22.569411 872.77879                    872.77879
      1     413.83261 2.1470624e-09 0.96706279 68.992919 0.022519713 0.11669171 0.068443422 0.70609899 3.0666857     -22.569411        -22.569411 872.80405                    872.80405
      4       413.287 2.2595662e-09 0.97045643 69.671333 0.022573394 0.11510305 0.096528226 0.71495698 3.1177579     -22.569411        -22.569411 871.71283                    871.71283
      1     412.30431 2.2289269e-09 0.97315265 69.836444 0.022571703 0.11467302 0.091018433 0.71718842 3.1041053     -22.569411        -22.569411 869.74744                    869.74744
      1     411.23267 2.2442052e-09 0.97392276 69.944917 0.022551436 0.11407904 0.095423306 0.71932048 3.1109365     -22.569411        -22.569411 867.60417                    867.60417
 5 412.07808 2.2359657e-09 0.97591637 70.351242 0.022574852 0.11313215 0.094464801 0.72441919 3.1072583 -22.569411 -22.569411 869.29498 869.29498
