#weight  minuslogpost            As         ns        H0       ombh2      omch2         tau   omega_de      logA  minuslogprior  minuslogprior__0      chi2  chi2__ffp8_1_raw_lgmca_0001
      6     410.60837 2.1478583e-09  0.9698442    68.937 0.022396993 0.11596141 0.070982597 0.70741695 3.0670563     -22.569411        -22.569411 866.35556                    866.35556
      3      410.6559 2.1458041e-09 0.97014584 68.974688 0.022394785 0.11586458  0.07063109 0.70794477 3.0660994     -22.569411        -22.569411 866.45062                    866.45062
      1     410.76507 2.1479084e-09 0.96985914 68.946015 0.022377578 0.11591395 0.071003253 0.70763414 3.0670796     -22.569411        -22.569411 866.66896                    866.66896
      1     411.98469 2.1135587e-09 0.96965313 68.459082 0.022266974 0.11681157  0.06279023 0.70178102 3.0509582     -22.569411        -22.569411  869.1082                     869.1082
      6     411.99427 2.1082538e-09 0.96934094 68.390795 0.022257859 0.11696774 0.061295033 0.70087079 3.0484451     -22.569411        -22.569411 869.12736                    869.12736
      1     411.53165 2.1214496e-09 0.96969223 68.485413 0.022271093 0.11678028 0.064341229 0.70206824 3.0546847     -22.569411        -22.569411 868.20213                    868.20213
      9     411.41903 2.1168603e-09 0.96998109 68.566493 0.022290879 0.11660659 0.063467721 0.70309978 3.0525191     -22.569411        -22.569411 867.97689                    867.97689
      3     412.02116  2.088947e-09  0.9717221 68.673717 0.022269319 0.11633934 0.057494732 0.70463858 3.0392452     -22.569411        -22.569411 869.18115                    869.18115
     13     411.80355  2.098115e-09 0.97177521 68.691788  0.02227025 0.11634099 0.059663355 0.70478849 3.0436244     -22.569411        -22.569411 868.74592                    868.74592
      4      414.0593 2.1337202e-09 0.97063152 68.431296 0.022143849 0.11684035 0.066864914 0.70174027 3.0604521     -22.569411        -22.569411 873.25743                    873.25743
      1     413.64776 2.1061105e-09  0.9672942 68.019918 0.022153218 0.11792535 0.058639518 0.69575632  3.047428     -22.569411        -22.569411 872.43434                    872.43434
      1     412.57623    2.0931e-09 0.96834811 68.227596   0.0222014 0.11757123 0.056155348  0.6982629 3.0412313     -22.569411        -22.569411 870.29129                    870.29129
      1     412.28576 2.1058483e-09 0.96922701 68.397189 0.022212309 0.11711999 0.059863132 0.70069862 3.0473035     -22.569411        -22.569411 869.71033                    869.71033
      2     412.53538 2.0725102e-09 0.96682913 67.860323 0.022226271 0.11840298 0.051097641 0.69312777 3.0313456     -22.569411        -22.569411 870.20959                    870.20959
      7     413.02385 2.0948587e-09 0.96307457 67.774001 0.022291256 0.11881534 0.055106868 0.69130635 3.0420712     -22.569411        -22.569411 871.18653                    871.18653
      4     412.68872 2.0707601e-09 0.96482056 68.105606 0.022357472 0.11818065 0.050257125 0.69553066 3.0305009     -22.569411        -22.569411 870.51627                    870.51627
      1     412.33093 2.0623968e-09 0.96689248 68.209253 0.022357726 0.11788713 0.049129171 0.69708561 3.0264539     -22.569411        -22.569411 869.80068                    869.80068
      6     412.94964 2.1286548e-09 0.96346673 67.751371 0.022425083 0.11916197 0.062416512 0.69005339 3.0580753     -22.569411        -22.569411 871.03811                    871.03811
      2     412.62732 2.1245203e-09 0.96515764 67.886501 0.022464093 0.11889122 0.062651086 0.69178892 3.0561311     -22.569411        -22.569411 870.39346                    870.39346
      8     413.68091 2.0997111e-09 0.96931596 68.149171 0.022425486 0.11811274  0.05877119 0.69591957 3.0443849     -22.569411        -22.569411 872.50064                    872.50064
 1 410.67999 2.1140438e-09  0.9703475 68.881901 0.022459896 0.11624053  0.06344376 0.70622784 3.0511877 -22.569411 -22.569411  866.4988  866.4988
12 410.89184 2.1220557e-09  0.9710964  69.01867 0.022490048 0.11590817  0.06569039 0.70802539 3.0549704 -22.569411 -22.569411 866.92251 866.92251
 2 410.72435 2.1361966e-09 0.97187833 69.296859 0.022481964 0.11522323 0.069607309  0.7118081 3.0616121 -22.569411 -22.569411 866.58752 866.58752
 8 410.52736 2.1134653e-09 0.96882777 68.957139 0.022486841 0.11616495 0.062644127 0.70697082  3.050914 -22.569411 -22.569411 866.19355 866.19355
