#    L    TT             EE             BB             TE             PP             TP             EP          
     2    0.10323E+04    0.38313E-01    0.00000E+00    0.28532E+01    0.49956E-07    0.31054E-02   -0.13598E-04
     3    0.97502E+03    0.55204E-01    0.00000E+00    0.33681E+01    0.60753E-07    0.31018E-02   -0.15597E-04
     4    0.92025E+03    0.54192E-01    0.00000E+00    0.33007E+01    0.70026E-07    0.30281E-02   -0.14447E-04
     5    0.87854E+03    0.41276E-01    0.00000E+00    0.29256E+01    0.78077E-07    0.29263E-02   -0.11295E-04
     6    0.84941E+03    0.25921E-01    0.00000E+00    0.24404E+01    0.85098E-07    0.28150E-02   -0.71985E-05
     7    0.83030E+03    0.14419E-01    0.00000E+00    0.19632E+01    0.91275E-07    0.27031E-02   -0.30980E-05
     8    0.81822E+03    0.82707E-02    0.00000E+00    0.15567E+01    0.96742E-07    0.25943E-02    0.29062E-06
     9    0.81260E+03    0.58988E-02    0.00000E+00    0.12499E+01    0.10161E-06    0.24889E-02    0.25397E-05
    10    0.81066E+03    0.51032E-02    0.00000E+00    0.10448E+01    0.10594E-06    0.23897E-02    0.35240E-05
    11    0.81165E+03    0.45296E-02    0.00000E+00    0.93282E+00    0.10984E-06    0.22990E-02    0.33797E-05
    12    0.81599E+03    0.39802E-02    0.00000E+00    0.89519E+00    0.11332E-06    0.22151E-02    0.24158E-05
    13    0.82214E+03    0.33472E-02    0.00000E+00    0.90956E+00    0.11643E-06    0.21369E-02    0.10541E-05
    14    0.82936E+03    0.31251E-02    0.00000E+00    0.95347E+00    0.11922E-06    0.20636E-02   -0.30392E-06
    15    0.83778E+03    0.32218E-02    0.00000E+00    0.10121E+01    0.12173E-06    0.19942E-02   -0.13807E-05
    16    0.84757E+03    0.34075E-02    0.00000E+00    0.10746E+01    0.12398E-06    0.19276E-02   -0.19796E-05
    17    0.85857E+03    0.37086E-02    0.00000E+00    0.11352E+01    0.12600E-06    0.18640E-02   -0.20952E-05
    18    0.86984E+03    0.40413E-02    0.00000E+00    0.11922E+01    0.12782E-06    0.18033E-02   -0.17929E-05
    19    0.88261E+03    0.44713E-02    0.00000E+00    0.12475E+01    0.12944E-06    0.17453E-02   -0.12394E-05
    20    0.89553E+03    0.51268E-02    0.00000E+00    0.13012E+01    0.13087E-06    0.16898E-02   -0.62185E-06
    21    0.90885E+03    0.59696E-02    0.00000E+00    0.13565E+01    0.13215E-06    0.16372E-02   -0.11801E-06
    22    0.92265E+03    0.70050E-02    0.00000E+00    0.14156E+01    0.13328E-06    0.15877E-02    0.13311E-06
    23    0.93673E+03    0.82217E-02    0.00000E+00    0.14791E+01    0.13428E-06    0.15411E-02    0.13283E-06
    24    0.95119E+03    0.95782E-02    0.00000E+00    0.15462E+01    0.13515E-06    0.14967E-02   -0.76106E-07
    25    0.96602E+03    0.11100E-01    0.00000E+00    0.16137E+01    0.13590E-06    0.14545E-02   -0.42340E-06
    26    0.98106E+03    0.12784E-01    0.00000E+00    0.16789E+01    0.13655E-06    0.14144E-02   -0.82725E-06
    27    0.99650E+03    0.14615E-01    0.00000E+00    0.17380E+01    0.13709E-06    0.13761E-02   -0.11858E-05
    28    0.10122E+04    0.16597E-01    0.00000E+00    0.17887E+01    0.13755E-06    0.13393E-02   -0.14067E-05
    29    0.10282E+04    0.18729E-01    0.00000E+00    0.18304E+01    0.13793E-06    0.13038E-02   -0.14549E-05
    30    0.10444E+04    0.21022E-01    0.00000E+00    0.18620E+01    0.13822E-06    0.12693E-02   -0.13298E-05
    31    0.10608E+04    0.23506E-01    0.00000E+00    0.18842E+01    0.13844E-06    0.12361E-02   -0.11120E-05
    32    0.10774E+04    0.26202E-01    0.00000E+00    0.18978E+01    0.13859E-06    0.12044E-02   -0.89002E-06
    33    0.10943E+04    0.29118E-01    0.00000E+00    0.19026E+01    0.13868E-06    0.11740E-02   -0.70380E-06
    34    0.11114E+04    0.32268E-01    0.00000E+00    0.18993E+01    0.13872E-06    0.11446E-02   -0.58099E-06
    35    0.11287E+04    0.35653E-01    0.00000E+00    0.18895E+01    0.13870E-06    0.11165E-02   -0.54888E-06
    36    0.11462E+04    0.39278E-01    0.00000E+00    0.18737E+01    0.13862E-06    0.10897E-02   -0.62317E-06
    37    0.11638E+04    0.43144E-01    0.00000E+00    0.18497E+01    0.13850E-06    0.10641E-02   -0.77376E-06
    38    0.11816E+04    0.47257E-01    0.00000E+00    0.18171E+01    0.13834E-06    0.10394E-02   -0.95832E-06
    39    0.11997E+04    0.51610E-01    0.00000E+00    0.17750E+01    0.13813E-06    0.10156E-02   -0.11308E-05
    40    0.12179E+04    0.56201E-01    0.00000E+00    0.17223E+01    0.13789E-06    0.99254E-03   -0.12443E-05
    41    0.12365E+04    0.61031E-01    0.00000E+00    0.16579E+01    0.13761E-06    0.97015E-03   -0.12651E-05
    42    0.12550E+04    0.66116E-01    0.00000E+00    0.15807E+01    0.13730E-06    0.94839E-03   -0.12123E-05
    43    0.12738E+04    0.71473E-01    0.00000E+00    0.14903E+01    0.13696E-06    0.92730E-03   -0.11175E-05
    44    0.12926E+04    0.77105E-01    0.00000E+00    0.13867E+01    0.13659E-06    0.90687E-03   -0.10125E-05
    45    0.13117E+04    0.83023E-01    0.00000E+00    0.12703E+01    0.13619E-06    0.88711E-03   -0.92897E-06
    46    0.13311E+04    0.89240E-01    0.00000E+00    0.11397E+01    0.13577E-06    0.86804E-03   -0.89110E-06
    47    0.13506E+04    0.95749E-01    0.00000E+00    0.99585E+00    0.13532E-06    0.84962E-03   -0.89383E-06
    48    0.13701E+04    0.10254E+00    0.00000E+00    0.84340E+00    0.13486E-06    0.83181E-03   -0.92483E-06
    49    0.13898E+04    0.10960E+00    0.00000E+00    0.68622E+00    0.13437E-06    0.81457E-03   -0.97179E-06
    50    0.14099E+04    0.11689E+00    0.00000E+00    0.52143E+00    0.13386E-06    0.79788E-03   -0.10224E-05
    51    0.14302E+04    0.12437E+00    0.00000E+00    0.34459E+00    0.13334E-06    0.78169E-03   -0.10661E-05
    52    0.14508E+04    0.13213E+00    0.00000E+00    0.15058E+00    0.13280E-06    0.76598E-03   -0.10984E-05
    53    0.14715E+04    0.14031E+00    0.00000E+00   -0.64013E-01    0.13225E-06    0.75071E-03   -0.11165E-05
    54    0.14921E+04    0.14893E+00    0.00000E+00   -0.29465E+00    0.13168E-06    0.73587E-03   -0.11175E-05
    55    0.15128E+04    0.15795E+00    0.00000E+00   -0.53668E+00    0.13110E-06    0.72143E-03   -0.10986E-05
    56    0.15339E+04    0.16723E+00    0.00000E+00   -0.79156E+00    0.13051E-06    0.70737E-03   -0.10596E-05
    57    0.15552E+04    0.17668E+00    0.00000E+00   -0.10589E+01    0.12990E-06    0.69369E-03   -0.10099E-05
    58    0.15769E+04    0.18629E+00    0.00000E+00   -0.13392E+01    0.12929E-06    0.68038E-03   -0.96190E-06
    59    0.15987E+04    0.19610E+00    0.00000E+00   -0.16327E+01    0.12867E-06    0.66745E-03   -0.92752E-06
    60    0.16207E+04    0.20618E+00    0.00000E+00   -0.19386E+01    0.12804E-06    0.65492E-03   -0.91891E-06
    61    0.16431E+04    0.21660E+00    0.00000E+00   -0.22557E+01    0.12741E-06    0.64276E-03   -0.94364E-06
    62    0.16655E+04    0.22736E+00    0.00000E+00   -0.25850E+01    0.12676E-06    0.63096E-03   -0.99127E-06
    63    0.16879E+04    0.23841E+00    0.00000E+00   -0.29277E+01    0.12611E-06    0.61948E-03   -0.10469E-05
    64    0.17108E+04    0.24977E+00    0.00000E+00   -0.32851E+01    0.12546E-06    0.60828E-03   -0.10956E-05
    65    0.17336E+04    0.26141E+00    0.00000E+00   -0.36580E+01    0.12480E-06    0.59734E-03   -0.11226E-05
    66    0.17567E+04    0.27326E+00    0.00000E+00   -0.40447E+01    0.12413E-06    0.58662E-03   -0.11172E-05
    67    0.17799E+04    0.28533E+00    0.00000E+00   -0.44429E+01    0.12347E-06    0.57612E-03   -0.10861E-05
    68    0.18035E+04    0.29764E+00    0.00000E+00   -0.48511E+01    0.12279E-06    0.56585E-03   -0.10403E-05
    69    0.18274E+04    0.31018E+00    0.00000E+00   -0.52682E+01    0.12212E-06    0.55581E-03   -0.99055E-06
    70    0.18515E+04    0.32297E+00    0.00000E+00   -0.56960E+01    0.12144E-06    0.54600E-03   -0.94778E-06
    71    0.18759E+04    0.33601E+00    0.00000E+00   -0.61372E+01    0.12076E-06    0.53643E-03   -0.92057E-06
    72    0.19005E+04    0.34926E+00    0.00000E+00   -0.65927E+01    0.12008E-06    0.52710E-03   -0.90841E-06
    73    0.19252E+04    0.36271E+00    0.00000E+00   -0.70625E+01    0.11940E-06    0.51801E-03   -0.90853E-06
    74    0.19501E+04    0.37633E+00    0.00000E+00   -0.75450E+01    0.11872E-06    0.50916E-03   -0.91815E-06
    75    0.19752E+04    0.39013E+00    0.00000E+00   -0.80381E+01    0.11804E-06    0.50056E-03   -0.93449E-06
    76    0.20006E+04    0.40412E+00    0.00000E+00   -0.85408E+01    0.11735E-06    0.49220E-03   -0.95447E-06
    77    0.20263E+04    0.41828E+00    0.00000E+00   -0.90531E+01    0.11667E-06    0.48405E-03   -0.97367E-06
    78    0.20523E+04    0.43264E+00    0.00000E+00   -0.95769E+01    0.11599E-06    0.47610E-03   -0.98736E-06
    79    0.20785E+04    0.44715E+00    0.00000E+00   -0.10109E+02    0.11530E-06    0.46831E-03   -0.99083E-06
    80    0.21050E+04    0.46180E+00    0.00000E+00   -0.10651E+02    0.11462E-06    0.46065E-03   -0.97936E-06
    81    0.21316E+04    0.47656E+00    0.00000E+00   -0.11204E+02    0.11394E-06    0.45311E-03   -0.95037E-06
    82    0.21586E+04    0.49144E+00    0.00000E+00   -0.11767E+02    0.11326E-06    0.44569E-03   -0.90992E-06
    83    0.21858E+04    0.50641E+00    0.00000E+00   -0.12340E+02    0.11259E-06    0.43841E-03   -0.86621E-06
    84    0.22132E+04    0.52146E+00    0.00000E+00   -0.12920E+02    0.11191E-06    0.43130E-03   -0.82741E-06
    85    0.22408E+04    0.53658E+00    0.00000E+00   -0.13507E+02    0.11124E-06    0.42436E-03   -0.80173E-06
    86    0.22686E+04    0.55177E+00    0.00000E+00   -0.14102E+02    0.11056E-06    0.41762E-03   -0.79506E-06
    87    0.22969E+04    0.56700E+00    0.00000E+00   -0.14703E+02    0.10989E-06    0.41105E-03   -0.80430E-06
    88    0.23252E+04    0.58229E+00    0.00000E+00   -0.15310E+02    0.10922E-06    0.40465E-03   -0.82407E-06
    89    0.23538E+04    0.59762E+00    0.00000E+00   -0.15925E+02    0.10856E-06    0.39839E-03   -0.84902E-06
    90    0.23827E+04    0.61296E+00    0.00000E+00   -0.16545E+02    0.10789E-06    0.39226E-03   -0.87379E-06
    91    0.24117E+04    0.62830E+00    0.00000E+00   -0.17171E+02    0.10723E-06    0.38625E-03   -0.89396E-06
    92    0.24410E+04    0.64363E+00    0.00000E+00   -0.17802E+02    0.10658E-06    0.38034E-03   -0.90892E-06
    93    0.24705E+04    0.65894E+00    0.00000E+00   -0.18438E+02    0.10592E-06    0.37454E-03   -0.91901E-06
    94    0.25002E+04    0.67420E+00    0.00000E+00   -0.19078E+02    0.10527E-06    0.36885E-03   -0.92456E-06
    95    0.25302E+04    0.68939E+00    0.00000E+00   -0.19722E+02    0.10462E-06    0.36327E-03   -0.92590E-06
    96    0.25601E+04    0.70451E+00    0.00000E+00   -0.20370E+02    0.10398E-06    0.35778E-03   -0.92336E-06
    97    0.25905E+04    0.71955E+00    0.00000E+00   -0.21021E+02    0.10334E-06    0.35240E-03   -0.91728E-06
    98    0.26212E+04    0.73448E+00    0.00000E+00   -0.21673E+02    0.10270E-06    0.34712E-03   -0.90798E-06
    99    0.26519E+04    0.74929E+00    0.00000E+00   -0.22328E+02    0.10207E-06    0.34193E-03   -0.89580E-06
   100    0.26829E+04    0.76396E+00    0.00000E+00   -0.22983E+02    0.10144E-06    0.33684E-03   -0.88107E-06
   101    0.27140E+04    0.77856E+00    0.00000E+00   -0.23640E+02    0.10081E-06    0.33184E-03   -0.86412E-06
   102    0.27457E+04    0.79294E+00    0.00000E+00   -0.24296E+02    0.10019E-06    0.32694E-03   -0.84528E-06
   103    0.27773E+04    0.80717E+00    0.00000E+00   -0.24954E+02    0.99566E-07    0.32213E-03   -0.82488E-06
   104    0.28091E+04    0.82125E+00    0.00000E+00   -0.25610E+02    0.98950E-07    0.31740E-03   -0.80325E-06
   105    0.28410E+04    0.83511E+00    0.00000E+00   -0.26264E+02    0.98337E-07    0.31276E-03   -0.78072E-06
   106    0.28732E+04    0.84882E+00    0.00000E+00   -0.26918E+02    0.97728E-07    0.30821E-03   -0.75762E-06
   107    0.29053E+04    0.86223E+00    0.00000E+00   -0.27568E+02    0.97123E-07    0.30375E-03   -0.73429E-06
   108    0.29378E+04    0.87542E+00    0.00000E+00   -0.28216E+02    0.96522E-07    0.29936E-03   -0.71104E-06
   109    0.29704E+04    0.88831E+00    0.00000E+00   -0.28861E+02    0.95925E-07    0.29506E-03   -0.68820E-06
   110    0.30031E+04    0.90091E+00    0.00000E+00   -0.29501E+02    0.95332E-07    0.29083E-03   -0.66612E-06
   111    0.30360E+04    0.91328E+00    0.00000E+00   -0.30136E+02    0.94743E-07    0.28668E-03   -0.64505E-06
   112    0.30690E+04    0.92535E+00    0.00000E+00   -0.30768E+02    0.94159E-07    0.28261E-03   -0.62501E-06
   113    0.31022E+04    0.93713E+00    0.00000E+00   -0.31394E+02    0.93578E-07    0.27862E-03   -0.60596E-06
   114    0.31355E+04    0.94853E+00    0.00000E+00   -0.32013E+02    0.93001E-07    0.27469E-03   -0.58784E-06
   115    0.31690E+04    0.95971E+00    0.00000E+00   -0.32625E+02    0.92429E-07    0.27084E-03   -0.57062E-06
   116    0.32026E+04    0.97044E+00    0.00000E+00   -0.33230E+02    0.91860E-07    0.26706E-03   -0.55425E-06
   117    0.32364E+04    0.98080E+00    0.00000E+00   -0.33827E+02    0.91296E-07    0.26334E-03   -0.53868E-06
   118    0.32704E+04    0.99093E+00    0.00000E+00   -0.34416E+02    0.90735E-07    0.25970E-03   -0.52387E-06
   119    0.33043E+04    0.10007E+01    0.00000E+00   -0.34995E+02    0.90179E-07    0.25612E-03   -0.50977E-06
   120    0.33384E+04    0.10099E+01    0.00000E+00   -0.35565E+02    0.89627E-07    0.25260E-03   -0.49633E-06
   121    0.33726E+04    0.10190E+01    0.00000E+00   -0.36125E+02    0.89079E-07    0.24915E-03   -0.48352E-06
   122    0.34068E+04    0.10274E+01    0.00000E+00   -0.36674E+02    0.88535E-07    0.24576E-03   -0.47128E-06
   123    0.34411E+04    0.10355E+01    0.00000E+00   -0.37213E+02    0.87995E-07    0.24243E-03   -0.45957E-06
   124    0.34754E+04    0.10432E+01    0.00000E+00   -0.37739E+02    0.87459E-07    0.23916E-03   -0.44834E-06
   125    0.35098E+04    0.10504E+01    0.00000E+00   -0.38252E+02    0.86928E-07    0.23595E-03   -0.43755E-06
   126    0.35442E+04    0.10572E+01    0.00000E+00   -0.38754E+02    0.86400E-07    0.23279E-03   -0.42716E-06
   127    0.35786E+04    0.10636E+01    0.00000E+00   -0.39243E+02    0.85876E-07    0.22969E-03   -0.41711E-06
   128    0.36131E+04    0.10695E+01    0.00000E+00   -0.39718E+02    0.85357E-07    0.22664E-03   -0.40737E-06
   129    0.36476E+04    0.10750E+01    0.00000E+00   -0.40179E+02    0.84842E-07    0.22365E-03   -0.39789E-06
   130    0.36821E+04    0.10799E+01    0.00000E+00   -0.40624E+02    0.84330E-07    0.22070E-03   -0.38861E-06
   131    0.37167E+04    0.10844E+01    0.00000E+00   -0.41056E+02    0.83823E-07    0.21781E-03   -0.37952E-06
   132    0.37513E+04    0.10884E+01    0.00000E+00   -0.41471E+02    0.83320E-07    0.21496E-03   -0.37059E-06
   133    0.37858E+04    0.10920E+01    0.00000E+00   -0.41872E+02    0.82821E-07    0.21216E-03   -0.36182E-06
   134    0.38204E+04    0.10951E+01    0.00000E+00   -0.42254E+02    0.82326E-07    0.20941E-03   -0.35322E-06
   135    0.38549E+04    0.10977E+01    0.00000E+00   -0.42620E+02    0.81835E-07    0.20671E-03   -0.34478E-06
   136    0.38893E+04    0.10998E+01    0.00000E+00   -0.42966E+02    0.81348E-07    0.20405E-03   -0.33651E-06
   137    0.39237E+04    0.11014E+01    0.00000E+00   -0.43295E+02    0.80865E-07    0.20143E-03   -0.32839E-06
   138    0.39581E+04    0.11025E+01    0.00000E+00   -0.43605E+02    0.80386E-07    0.19886E-03   -0.32044E-06
   139    0.39922E+04    0.11032E+01    0.00000E+00   -0.43895E+02    0.79911E-07    0.19633E-03   -0.31265E-06
   140    0.40264E+04    0.11033E+01    0.00000E+00   -0.44167E+02    0.79439E-07    0.19385E-03   -0.30502E-06
   141    0.40604E+04    0.11029E+01    0.00000E+00   -0.44418E+02    0.78972E-07    0.19140E-03   -0.29755E-06
   142    0.40944E+04    0.11021E+01    0.00000E+00   -0.44648E+02    0.78508E-07    0.18900E-03   -0.29024E-06
   143    0.41284E+04    0.11008E+01    0.00000E+00   -0.44859E+02    0.78048E-07    0.18663E-03   -0.28308E-06
   144    0.41621E+04    0.10990E+01    0.00000E+00   -0.45048E+02    0.77592E-07    0.18430E-03   -0.27608E-06
   145    0.41957E+04    0.10968E+01    0.00000E+00   -0.45215E+02    0.77139E-07    0.18201E-03   -0.26924E-06
   146    0.42294E+04    0.10940E+01    0.00000E+00   -0.45361E+02    0.76690E-07    0.17976E-03   -0.26255E-06
   147    0.42627E+04    0.10908E+01    0.00000E+00   -0.45484E+02    0.76245E-07    0.17755E-03   -0.25601E-06
   148    0.42959E+04    0.10871E+01    0.00000E+00   -0.45585E+02    0.75804E-07    0.17537E-03   -0.24963E-06
   149    0.43290E+04    0.10830E+01    0.00000E+00   -0.45663E+02    0.75366E-07    0.17322E-03   -0.24340E-06
   150    0.43618E+04    0.10784E+01    0.00000E+00   -0.45716E+02    0.74932E-07    0.17111E-03   -0.23732E-06
   151    0.43945E+04    0.10735E+01    0.00000E+00   -0.45747E+02    0.74501E-07    0.16903E-03   -0.23139E-06
   152    0.44269E+04    0.10680E+01    0.00000E+00   -0.45753E+02    0.74074E-07    0.16698E-03   -0.22560E-06
   153    0.44592E+04    0.10621E+01    0.00000E+00   -0.45734E+02    0.73650E-07    0.16497E-03   -0.21995E-06
   154    0.44912E+04    0.10559E+01    0.00000E+00   -0.45690E+02    0.73230E-07    0.16299E-03   -0.21443E-06
   155    0.45231E+04    0.10492E+01    0.00000E+00   -0.45622E+02    0.72813E-07    0.16103E-03   -0.20903E-06
   156    0.45545E+04    0.10422E+01    0.00000E+00   -0.45529E+02    0.72400E-07    0.15911E-03   -0.20375E-06
   157    0.45859E+04    0.10349E+01    0.00000E+00   -0.45410E+02    0.71991E-07    0.15722E-03   -0.19857E-06
   158    0.46170E+04    0.10272E+01    0.00000E+00   -0.45266E+02    0.71584E-07    0.15536E-03   -0.19349E-06
   159    0.46478E+04    0.10191E+01    0.00000E+00   -0.45096E+02    0.71181E-07    0.15353E-03   -0.18851E-06
   160    0.46784E+04    0.10106E+01    0.00000E+00   -0.44899E+02    0.70782E-07    0.15173E-03   -0.18361E-06
   161    0.47087E+04    0.10020E+01    0.00000E+00   -0.44677E+02    0.70385E-07    0.14995E-03   -0.17879E-06
   162    0.47388E+04    0.99297E+00    0.00000E+00   -0.44429E+02    0.69992E-07    0.14820E-03   -0.17404E-06
   163    0.47687E+04    0.98365E+00    0.00000E+00   -0.44154E+02    0.69603E-07    0.14648E-03   -0.16935E-06
   164    0.47981E+04    0.97410E+00    0.00000E+00   -0.43853E+02    0.69216E-07    0.14479E-03   -0.16472E-06
   165    0.48274E+04    0.96426E+00    0.00000E+00   -0.43524E+02    0.68833E-07    0.14312E-03   -0.16014E-06
   166    0.48563E+04    0.95427E+00    0.00000E+00   -0.43169E+02    0.68453E-07    0.14148E-03   -0.15560E-06
   167    0.48850E+04    0.94391E+00    0.00000E+00   -0.42789E+02    0.68076E-07    0.13986E-03   -0.15109E-06
   168    0.49133E+04    0.93354E+00    0.00000E+00   -0.42380E+02    0.67702E-07    0.13827E-03   -0.14662E-06
   169    0.49412E+04    0.92288E+00    0.00000E+00   -0.41944E+02    0.67331E-07    0.13671E-03   -0.14216E-06
   170    0.49689E+04    0.91215E+00    0.00000E+00   -0.41481E+02    0.66964E-07    0.13516E-03   -0.13772E-06
   171    0.49960E+04    0.90134E+00    0.00000E+00   -0.40989E+02    0.66599E-07    0.13365E-03   -0.13328E-06
   172    0.50228E+04    0.89038E+00    0.00000E+00   -0.40470E+02    0.66238E-07    0.13215E-03   -0.12884E-06
   173    0.50491E+04    0.87928E+00    0.00000E+00   -0.39924E+02    0.65879E-07    0.13068E-03   -0.12439E-06
   174    0.50751E+04    0.86832E+00    0.00000E+00   -0.39350E+02    0.65524E-07    0.12922E-03   -0.11993E-06
   175    0.51007E+04    0.85722E+00    0.00000E+00   -0.38748E+02    0.65171E-07    0.12780E-03   -0.11544E-06
   176    0.51257E+04    0.84620E+00    0.00000E+00   -0.38119E+02    0.64822E-07    0.12639E-03   -0.11093E-06
   177    0.51503E+04    0.83517E+00    0.00000E+00   -0.37462E+02    0.64475E-07    0.12500E-03   -0.10639E-06
   178    0.51745E+04    0.82438E+00    0.00000E+00   -0.36777E+02    0.64132E-07    0.12363E-03   -0.10183E-06
   179    0.51982E+04    0.81351E+00    0.00000E+00   -0.36065E+02    0.63791E-07    0.12229E-03   -0.97257E-07
   180    0.52215E+04    0.80279E+00    0.00000E+00   -0.35326E+02    0.63453E-07    0.12096E-03   -0.92677E-07
   181    0.52443E+04    0.79223E+00    0.00000E+00   -0.34560E+02    0.63118E-07    0.11965E-03   -0.88094E-07
   182    0.52667E+04    0.78189E+00    0.00000E+00   -0.33766E+02    0.62785E-07    0.11836E-03   -0.83514E-07
   183    0.52885E+04    0.77170E+00    0.00000E+00   -0.32945E+02    0.62456E-07    0.11709E-03   -0.78942E-07
   184    0.53099E+04    0.76174E+00    0.00000E+00   -0.32098E+02    0.62129E-07    0.11584E-03   -0.74385E-07
   185    0.53308E+04    0.75216E+00    0.00000E+00   -0.31225E+02    0.61804E-07    0.11461E-03   -0.69846E-07
   186    0.53509E+04    0.74282E+00    0.00000E+00   -0.30324E+02    0.61483E-07    0.11340E-03   -0.65333E-07
   187    0.53709E+04    0.73385E+00    0.00000E+00   -0.29396E+02    0.61164E-07    0.11220E-03   -0.60850E-07
   188    0.53903E+04    0.72524E+00    0.00000E+00   -0.28444E+02    0.60848E-07    0.11102E-03   -0.56403E-07
   189    0.54090E+04    0.71704E+00    0.00000E+00   -0.27465E+02    0.60534E-07    0.10986E-03   -0.51998E-07
   190    0.54277E+04    0.70928E+00    0.00000E+00   -0.26462E+02    0.60223E-07    0.10871E-03   -0.47640E-07
   191    0.54454E+04    0.70200E+00    0.00000E+00   -0.25432E+02    0.59914E-07    0.10759E-03   -0.43334E-07
   192    0.54627E+04    0.69522E+00    0.00000E+00   -0.24376E+02    0.59608E-07    0.10647E-03   -0.39086E-07
   193    0.54794E+04    0.68898E+00    0.00000E+00   -0.23297E+02    0.59305E-07    0.10538E-03   -0.34902E-07
   194    0.54957E+04    0.68331E+00    0.00000E+00   -0.22193E+02    0.59004E-07    0.10429E-03   -0.30786E-07
   195    0.55114E+04    0.67826E+00    0.00000E+00   -0.21065E+02    0.58705E-07    0.10323E-03   -0.26746E-07
   196    0.55265E+04    0.67385E+00    0.00000E+00   -0.19912E+02    0.58409E-07    0.10218E-03   -0.22785E-07
   197    0.55412E+04    0.67013E+00    0.00000E+00   -0.18737E+02    0.58115E-07    0.10114E-03   -0.18910E-07
   198    0.55553E+04    0.66713E+00    0.00000E+00   -0.17539E+02    0.57823E-07    0.10011E-03   -0.15126E-07
   199    0.55689E+04    0.66488E+00    0.00000E+00   -0.16318E+02    0.57534E-07    0.99106E-04   -0.11438E-07
   200    0.55820E+04    0.66341E+00    0.00000E+00   -0.15074E+02    0.57247E-07    0.98110E-04   -0.78529E-08
   201    0.55944E+04    0.66279E+00    0.00000E+00   -0.13809E+02    0.56963E-07    0.97127E-04   -0.43740E-08
   202    0.56063E+04    0.66301E+00    0.00000E+00   -0.12522E+02    0.56680E-07    0.96158E-04   -0.10015E-08
   203    0.56176E+04    0.66415E+00    0.00000E+00   -0.11213E+02    0.56400E-07    0.95202E-04    0.22657E-08
   204    0.56283E+04    0.66622E+00    0.00000E+00   -0.98849E+01    0.56122E-07    0.94258E-04    0.54286E-08
   205    0.56384E+04    0.66927E+00    0.00000E+00   -0.85359E+01    0.55847E-07    0.93327E-04    0.84884E-08
   206    0.56478E+04    0.67333E+00    0.00000E+00   -0.71670E+01    0.55573E-07    0.92408E-04    0.11446E-07
   207    0.56567E+04    0.67843E+00    0.00000E+00   -0.57787E+01    0.55302E-07    0.91502E-04    0.14303E-07
   208    0.56649E+04    0.68462E+00    0.00000E+00   -0.43714E+01    0.55033E-07    0.90608E-04    0.17060E-07
   209    0.56724E+04    0.69193E+00    0.00000E+00   -0.29457E+01    0.54766E-07    0.89725E-04    0.19719E-07
   210    0.56794E+04    0.70040E+00    0.00000E+00   -0.15023E+01    0.54501E-07    0.88855E-04    0.22280E-07
   211    0.56857E+04    0.71007E+00    0.00000E+00   -0.41365E-01    0.54238E-07    0.87996E-04    0.24744E-07
   212    0.56913E+04    0.72096E+00    0.00000E+00    0.14362E+01    0.53977E-07    0.87149E-04    0.27113E-07
   213    0.56964E+04    0.73313E+00    0.00000E+00    0.29304E+01    0.53718E-07    0.86313E-04    0.29388E-07
   214    0.57008E+04    0.74656E+00    0.00000E+00    0.44400E+01    0.53461E-07    0.85489E-04    0.31570E-07
   215    0.57045E+04    0.76145E+00    0.00000E+00    0.59644E+01    0.53207E-07    0.84675E-04    0.33660E-07
   216    0.57076E+04    0.77762E+00    0.00000E+00    0.75039E+01    0.52954E-07    0.83872E-04    0.35659E-07
   217    0.57102E+04    0.79521E+00    0.00000E+00    0.90566E+01    0.52703E-07    0.83080E-04    0.37568E-07
   218    0.57121E+04    0.81424E+00    0.00000E+00    0.10623E+02    0.52454E-07    0.82299E-04    0.39389E-07
   219    0.57134E+04    0.83469E+00    0.00000E+00    0.12203E+02    0.52207E-07    0.81528E-04    0.41122E-07
   220    0.57141E+04    0.85673E+00    0.00000E+00    0.13794E+02    0.51962E-07    0.80768E-04    0.42769E-07
   221    0.57141E+04    0.88027E+00    0.00000E+00    0.15396E+02    0.51719E-07    0.80017E-04    0.44330E-07
   222    0.57136E+04    0.90546E+00    0.00000E+00    0.17009E+02    0.51478E-07    0.79277E-04    0.45807E-07
   223    0.57123E+04    0.93224E+00    0.00000E+00    0.18634E+02    0.51239E-07    0.78546E-04    0.47201E-07
   224    0.57106E+04    0.96060E+00    0.00000E+00    0.20266E+02    0.51001E-07    0.77825E-04    0.48513E-07
   225    0.57082E+04    0.99069E+00    0.00000E+00    0.21908E+02    0.50766E-07    0.77113E-04    0.49744E-07
   226    0.57051E+04    0.10225E+01    0.00000E+00    0.23558E+02    0.50532E-07    0.76411E-04    0.50895E-07
   227    0.57014E+04    0.10561E+01    0.00000E+00    0.25216E+02    0.50300E-07    0.75718E-04    0.51967E-07
   228    0.56972E+04    0.10914E+01    0.00000E+00    0.26881E+02    0.50069E-07    0.75035E-04    0.52962E-07
   229    0.56924E+04    0.11284E+01    0.00000E+00    0.28551E+02    0.49841E-07    0.74360E-04    0.53881E-07
   230    0.56869E+04    0.11673E+01    0.00000E+00    0.30227E+02    0.49614E-07    0.73693E-04    0.54724E-07
   231    0.56807E+04    0.12081E+01    0.00000E+00    0.31908E+02    0.49389E-07    0.73036E-04    0.55492E-07
