#weight  minuslogpost            As         ns        H0       ombh2      omch2         tau   omega_de      logA  minuslogprior  minuslogprior__0      chi2  chi2__ffp8_1_raw_143_0004
      4     422.79243  2.210756e-09 0.97069196 69.177604 0.022652076 0.11616312 0.084438901 0.70849413 3.0959196     -22.569411        -22.569411 890.72368                  890.72368
      2     422.71397 2.2257463e-09 0.97086054 69.248673 0.022666502 0.11602552 0.087990307 0.70934902 3.1026774     -22.569411        -22.569411 890.56676                  890.56676
      2     422.36404 2.2228656e-09 0.97012957 68.644836 0.022463501 0.11766218 0.085034036  0.7011706 3.1013823     -22.569411        -22.569411  889.8669                   889.8669
      1     422.88665 2.2007037e-09 0.96866994 68.437996  0.02243871  0.1181093 0.079139757 0.69845985 3.0913623     -22.569411        -22.569411 890.91213                  890.91213
      9     423.13803 2.1839197e-09 0.96918068 68.496956 0.022442685 0.11798628 0.075491253 0.69923249 3.0837064     -22.569411        -22.569411 891.41488                  891.41488
      2     423.96633 2.2192694e-09 0.96993401 68.619731 0.022455792 0.11776742 0.083678436 0.70074476 3.0997631     -22.569411        -22.569411 893.07148                  893.07148
      2     424.61805 2.2093158e-09 0.96979908 68.549285 0.022448976 0.11794342 0.081188565 0.69976932  3.095268     -22.569411        -22.569411 894.37492                  894.37492
      3     423.23066  2.253955e-09 0.97180639 68.723217 0.022513731 0.11759444 0.092927971 0.70188892 3.1152716     -22.569411        -22.569411 891.60015                  891.60015
     10     423.32022 2.2623301e-09 0.97133211 68.707608 0.022524585 0.11765471 0.094844083 0.70160279 3.1189804     -22.569411        -22.569411 891.77926                  891.77926
      2     425.22928 2.2855535e-09 0.97093703 68.377392  0.02237846 0.11829106 0.099160944 0.69766522 3.1291933     -22.569411        -22.569411 895.59738                  895.59738
      2     423.58635 2.2646445e-09 0.97088212 68.501833 0.022445943 0.11798782 0.095103799 0.69926508 3.1200029     -22.569411        -22.569411 892.31152                  892.31152
      3     422.31066 2.2644442e-09 0.97027635 68.365464 0.022417579 0.11806658 0.094770038  0.6979563 3.1199145     -22.569411        -22.569411 889.76014                  889.76014
      2     422.32381 2.2635379e-09 0.97026242 68.358305 0.022416388 0.11808215  0.09454036 0.69786227 3.1195141     -22.569411        -22.569411 889.78644                  889.78644
      8     422.28119 2.2704395e-09 0.97070256  68.44705 0.022426455 0.11789614 0.096297632 0.69902078 3.1225585     -22.569411        -22.569411 889.70121                  889.70121
      1     422.06169 2.2570424e-09 0.97092489 68.574885 0.022445849 0.11769838 0.093439573 0.70052118 3.1166404     -22.569411        -22.569411 889.26221                  889.26221
      2     422.35066 2.2683664e-09 0.97315889 68.929926 0.022427019 0.11683167 0.096806538 0.70546208  3.121645     -22.569411        -22.569411 889.84015                  889.84015
      5     422.41199   2.25699e-09 0.97258369 68.844794  0.02245488  0.1170566 0.093824854 0.70419984 3.1166172     -22.569411        -22.569411 889.96281                  889.96281
      4     423.81215 2.2806258e-09 0.97240088 69.055715 0.022414035 0.11657759  0.09980927 0.70709418  3.127035     -22.569411        -22.569411 892.76312                  892.76312
      5     423.35325 2.2775437e-09 0.97144331 68.961342 0.022418502 0.11677282 0.098790759 0.70587204 3.1256826     -22.569411        -22.569411 891.84532                  891.84532
      6     422.39896 2.2654472e-09 0.97054876 68.854537 0.022430329 0.11704485 0.095513478 0.70436011 3.1203573     -22.569411        -22.569411 889.93674                  889.93674
 2 426.37185 2.2930308e-09 0.97569946 69.561487 0.022358641 0.11516735  0.10444667 0.71436698 3.1324595 -22.569411 -22.569411 897.88253 897.88253
 1 425.31041 2.2801337e-09 0.97522884 69.554714 0.022355786 0.11518386  0.10104175 0.71428312 3.1268192 -22.569411 -22.569411 895.75963 895.75963
 2 425.51028 2.2688214e-09  0.9756085 69.724671 0.022398891 0.11492132 0.098508229  0.7161257 3.1218456 -22.569411 -22.569411 896.15939 896.15939
 5 424.82565 2.2760589e-09 0.97578289 69.795237 0.022429618 0.11478023  0.10043562 0.71692598 3.1250305 -22.569411 -22.569411 894.79012 894.79012
 4  423.7235 2.2778959e-09 0.97941755 70.249795 0.022557358 0.11374707  0.10234744 0.72241211 3.1258373 -22.569411 -22.569411 892.58582 892.58582
 2 425.34775 2.2886679e-09 0.97734529 69.283544 0.022348069 0.11565905  0.10280735 0.71106833  3.130555 -22.569411 -22.569411 895.83432 895.83432
 4 422.05361 2.2389476e-09 0.97177597 68.616393  0.02232353 0.11718029 0.089729789 0.70224359  3.108591 -22.569411 -22.569411 889.24604 889.24604
 8 421.52411   2.26518e-09 0.97062818 68.546098 0.022351039  0.1173073 0.095457433 0.70130371 3.1202393 -22.569411 -22.569411 888.18705 888.18705
 1 421.22462 2.2754694e-09 0.97067221 68.743209   0.0224857 0.11724407 0.097931252 0.70286304 3.1247715 -22.569411 -22.569411 887.58806 887.58806
 3 422.11283 2.3127125e-09 0.96860893 68.481967 0.022477106 0.11790544  0.10494787 0.69919978 3.1410062 -22.569411 -22.569411 889.36448 889.36448
 3 422.27514  2.304951e-09 0.96882254 68.433364 0.022464704 0.11802254  0.10308651 0.69854881 3.1376445 -22.569411 -22.569411  889.6891  889.6891
 1 423.64346  2.309783e-09 0.96857741 68.411809 0.022460681 0.11802561  0.10362187 0.69836084 3.1397387 -22.569411 -22.569411 892.42575 892.42575
26 424.51143 2.3509676e-09 0.96995932 68.343697 0.022362612 0.11811896  0.11332581 0.69776941 3.1574121 -22.569411 -22.569411 894.16168 894.16168
 2  425.2668 2.3333148e-09 0.96893867 68.129834 0.022360496 0.11869386  0.10862586   0.694635  3.149875 -22.569411 -22.569411 895.67242 895.67242
13 425.09783 2.3340705e-09 0.97303846 68.550359 0.022330944 0.11738604  0.11167211 0.70121604 3.1501988 -22.569411 -22.569411 895.33448 895.33448
 2 424.72377 2.3301153e-09 0.97330566  68.59708 0.022343421 0.11729866  0.11087416 0.70178207 3.1485029 -22.569411 -22.569411 894.58637 894.58637
 1 424.55496 2.3031423e-09 0.97543242 69.070561 0.022342828 0.11604616  0.10664146 0.70848327 3.1368595 -22.569411 -22.569411 894.24875 894.24875
 5 423.63002 2.1951285e-09  0.9698116 68.334257 0.022300659 0.11765925  0.07862853 0.69880306 3.0888257 -22.569411 -22.569411 892.39885 892.39885
 3 426.07211 2.1708679e-09 0.96859885 68.076499 0.022269833 0.11821547 0.072078575 0.69538423 3.0777121 -22.569411 -22.569411 897.28305 897.28305
 1 426.15128 2.1779821e-09 0.96847275 68.036181 0.022255612 0.11832592 0.073568467  0.6948152 3.0809839 -22.569411 -22.569411 897.44138 897.44138
1 425.52775 2.1974924e-09 0.96763538 67.644995 0.022330311 0.11950174  0.07765859  0.6885424  3.089902 -22.569411 -22.569411 896.19432 896.19432
5 422.63893 2.2201485e-09 0.96982599 68.317896 0.022463216 0.11829563 0.084328286 0.69694701 3.1001592 -22.569411 -22.569411 890.41669 890.41669
8 422.70237 2.2215509e-09  0.9701525 68.352748 0.022463823 0.11820982 0.084780703 0.69743834 3.1007907 -22.569411 -22.569411 890.54357 890.54357
3 422.70375 2.2215844e-09 0.97014915 68.351905 0.022463812 0.11821041 0.084787456 0.69742964 3.1008057 -22.569411 -22.569411 890.54631 890.54631
1 423.13993 2.2056188e-09 0.97146117 68.528035 0.022444067  0.1177588 0.081506833  0.6999867 3.0935932 -22.569411 -22.569411 891.41868 891.41868
3 423.32004 2.2876816e-09 0.97386504  68.94327  0.02249704 0.11694109  0.10144517 0.70519856  3.130124 -22.569411 -22.569411  891.7789  891.7789
3 423.39262 2.2903357e-09 0.97418089  69.08375 0.022531302 0.11670325  0.10234696 0.70682285 3.1312835 -22.569411 -22.569411 891.92406 891.92406
2 423.28038 2.3088354e-09 0.97210427  68.87834 0.022515474 0.11722294  0.10546194 0.70400956 3.1393283 -22.569411 -22.569411 891.69959 891.69959
3 423.03539 2.2992818e-09 0.97170839 68.865141 0.022507751 0.11725547    0.103193 0.70384379 3.1351819 -22.569411 -22.569411 891.20959 891.20959
