#weight  minuslogpost            As         ns        H0       ombh2      omch2         tau   omega_de      logA  minuslogprior  minuslogprior__0      chi2  chi2__ffp8_1_raw_545_0004
      5     420.16358 2.3577892e-09 0.97568343 70.198658 0.022610042 0.11347896  0.12241392 0.72244469 3.1603095     -22.569411        -22.569411 885.46598                  885.46598
      2     421.16596  2.232124e-09  0.9664278 68.801054 0.022606193 0.11713956 0.089192897 0.70332869 3.1055387     -22.569411        -22.569411 887.47075                  887.47075
      6     421.70297 2.2163457e-09 0.96968831 69.222528 0.022762918 0.11653019  0.08689665 0.70787501 3.0984448     -22.569411        -22.569411 888.54477                  888.54477
     18     421.18602  2.181019e-09 0.96954116   68.7924 0.022645628 0.11731637 0.078350093 0.70279711 3.0823773     -22.569411        -22.569411 887.51086                  887.51086
      1     420.40586 2.2036785e-09 0.97167685 69.169347 0.022635567 0.11629032 0.084803293 0.70819317 3.0927131     -22.569411        -22.569411 885.95053                  885.95053
      4     420.19231 2.2155772e-09 0.97144581 69.311025 0.022686778 0.11601376 0.087769088 0.70985398 3.0980981     -22.569411        -22.569411 885.52345                  885.52345
      2     421.34885 2.1941033e-09 0.96909478 68.122211 0.022351826 0.11850207  0.08021787 0.69499861 3.0883586     -22.569411        -22.569411 887.83653                  887.83653
      3      422.9113 2.2239657e-09 0.96948087 68.441879 0.022335394 0.11772174 0.087162286 0.69954201 3.1018771     -22.569411        -22.569411 890.96143                  890.96143
      3      420.1064 2.3826032e-09 0.97603424 69.616476  0.02249807 0.11514021  0.12693983 0.71458634 3.1707788     -22.569411        -22.569411 885.35163                  885.35163
      5     421.52494 2.3513124e-09  0.9828772 70.579545 0.022554894 0.11295954  0.12328754  0.7265857 3.1575587     -22.569411        -22.569411  888.1887                   888.1887
      5     421.99071  2.344671e-09 0.96504526 68.458302 0.022470842 0.11782111  0.11331339 0.69918509 3.1547302     -22.569411        -22.569411 889.12024                  889.12024
      2     421.61497 2.3454838e-09 0.96493436 68.289576 0.022470945 0.11819347  0.11351858  0.6968981 3.1550768     -22.569411        -22.569411 888.36875                  888.36875
      1     422.13678 2.3991626e-09 0.96704121 68.670985 0.022585959 0.11759761  0.12626651 0.70127537 3.1777048     -22.569411        -22.569411 889.41239                  889.41239
      1     423.84139 2.3038293e-09 0.97586786 69.012489 0.022589217 0.11674412  0.10863773 0.70600968 3.1371578     -22.569411        -22.569411 892.82161                  892.82161
